feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1094.9,0.10131478076155967,10,feature_importances_,1
vol_rolling_192,1073.1,0.09921761577674751,10,feature_importances_,2
bollinger_bandwidth,903.4,0.08349847130410294,10,feature_importances_,3
vol_rolling_96,781.6,0.07223126189574859,10,feature_importances_,4
ema_trend_48_192,720.8,0.06668857903105474,10,feature_importances_,5
bollinger_bandwidth_rank_192,604.9,0.05594295244576083,10,feature_importances_,6
atr_over_price_48,583.9,0.05400403503896707,10,feature_importances_,7
vol_rolling_48,552.1,0.05103567073142105,10,feature_importances_,8
atr_pct_rank_192,469.9,0.04348535757766267,10,feature_importances_,9
vol_rolling_24,427.9,0.03959091195037228,10,feature_importances_,10
mama_minus_fama_over_atr,387.9,0.03589595222277646,10,feature_importances_,11
close_over_bb_upper_192,300.5,0.027801411160765316,10,feature_importances_,12
ret_48,297.7,0.027532602157342823,10,feature_importances_,13
close_over_bb_mid_192,286.1,0.026437325237149433,10,feature_importances_,14
bollinger_percent_b,250.7,0.023157776793327894,10,feature_importances_,15
distance_from_ema96_atr,192.9,0.017843120504550287,10,feature_importances_,16
ret_24,174.0,0.016081970800260182,10,feature_importances_,17
roofing_filter_over_atr,168.7,0.015601540461732663,10,feature_importances_,18
atr_pct,139.8,0.01293235567759512,10,feature_importances_,19
ret_16,122.9,0.01136858577473647,10,feature_importances_,20
