fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34969,,0,0,4380,4380,0,0,0,4380,4380,0.4908675799086758,2.7239345358565354
1,39396,39349,,0,0,4380,4380,0,0,0,4380,4380,0.5454337899543379,2.6421510563979833
2,43752,43705,,0,0,4380,4380,0,0,0,4380,4380,0.5168949771689497,2.75197669798174
3,48108,48061,,0,0,4380,4380,0,0,0,4380,4380,0.5331050228310502,2.5655699832065624
4,52464,52417,,0,0,4380,4380,0,0,0,4380,4380,0.5285388127853882,2.634975894312409
5,56820,56773,,0,0,4380,4380,0,0,0,4380,4380,0.5230593607305936,2.5993841979281993
6,61176,61129,,0,0,4380,4380,0,0,0,4380,4380,0.5114155251141552,2.6867638779920733
7,65532,65485,,0,0,4380,4380,0,0,0,4380,4380,0.536986301369863,2.6502447031795673
8,69888,69841,,0,0,4380,4380,0,0,0,4380,4380,0.541324200913242,2.508294780151431
9,74244,74197,,0,0,4380,4380,0,0,0,4380,4380,0.5050228310502283,2.6474664883045396
