fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34969,,0,0,4380,4380,0,0,0,4380,4380,0.4988584474885845,2.7111043954398535
1,39396,39349,,0,0,4380,4380,0,0,0,4380,4380,0.5536529680365296,2.629015348512992
2,43752,43705,,0,0,4380,4380,0,0,0,4380,4380,0.5105022831050229,2.71133611931897
3,48108,48061,,0,0,4380,4380,0,0,0,4380,4380,0.5324200913242009,2.600282956828396
4,52464,52417,,0,0,4380,4380,0,0,0,4380,4380,0.5315068493150685,2.654929541444928
5,56820,56773,,0,0,4380,4380,0,0,0,4380,4380,0.5244292237442922,2.605967561110241
6,61176,61129,,0,0,4380,4380,0,0,0,4380,4380,0.5059360730593607,2.6430115378420354
7,65532,65485,,0,0,4380,4380,0,0,0,4380,4380,0.5289954337899543,2.6869669617513336
8,69888,69841,,0,0,4380,4380,0,0,0,4380,4380,0.5472602739726027,2.497385577503823
9,74244,74197,,0,0,4380,4380,0,0,0,4380,4380,0.5068493150684932,2.6443225171951696
