metric,value
counterfactual.baseline.avg_r,0.011934958891316846
counterfactual.baseline.median_r,0.20984041359646308
counterfactual.baseline.profit_factor,1.042298642503825
counterfactual.baseline.trade_count,944
counterfactual.baseline.win_rate,0.6694915254237288
counterfactual.best_policy_by_avg_r,exit_at_first_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_1_0r
counterfactual.breakeven_after_0_5r.avg_r,-0.14644623739292345
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.4608340106228214
counterfactual.breakeven_after_0_5r.trade_count,944
counterfactual.breakeven_after_0_5r.win_rate,0.3559322033898305
counterfactual.breakeven_after_1_0r.avg_r,-0.05188006338388028
counterfactual.breakeven_after_1_0r.median_r,0.1680473854778693
counterfactual.breakeven_after_1_0r.profit_factor,0.8144421646991763
counterfactual.breakeven_after_1_0r.trade_count,944
counterfactual.breakeven_after_1_0r.win_rate,0.5995762711864406
counterfactual.exit_at_first_0_5r.avg_r,0.031023559034769336
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,1.1142183520639293
counterfactual.exit_at_first_0_5r.trade_count,944
counterfactual.exit_at_first_0_5r.win_rate,0.7002118644067796
counterfactual.exit_at_first_1_0r.avg_r,0.046890928794264375
counterfactual.exit_at_first_1_0r.median_r,0.22114873636280175
counterfactual.exit_at_first_1_0r.profit_factor,1.1677133502695805
counterfactual.exit_at_first_1_0r.trade_count,944
counterfactual.exit_at_first_1_0r.win_rate,0.673728813559322
counterfactual.partial_50pct_at_1r.avg_r,0.029412943842790612
counterfactual.partial_50pct_at_1r.median_r,0.21886533631103255
counterfactual.partial_50pct_at_1r.profit_factor,1.1051900687145586
counterfactual.partial_50pct_at_1r.trade_count,944
counterfactual.partial_50pct_at_1r.win_rate,0.6716101694915254
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.004095471653136344
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.17111302174896714
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.0159254538979607
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,944
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.6091101694915254
counterfactual.trail_0_5r_after_1_0r.avg_r,0.04196018201952328
counterfactual.trail_0_5r_after_1_0r.median_r,0.22114873636280175
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.1500776991492745
counterfactual.trail_0_5r_after_1_0r.trade_count,944
counterfactual.trail_0_5r_after_1_0r.win_rate,0.673728813559322
