probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.233, 0.358]","(0.233, 0.358]",95,0.3269001167071493,0.7473684210526316,0.12562689892863,0.12562689892863,0.2364652944505698,0.7789188936628081,-0.5634979488884891,0.6532919947341782,1.563891582561384,,4.852631578947369
"(0.358, 0.385]","(0.358, 0.385]",94,0.37239361950691713,0.6595744680851063,0.03559218514679821,0.03559218514679821,0.2207751193534526,0.7161266429801828,-0.6457897500258943,0.6805344578333846,1.1237886900230107,,5.553191489361702
"(0.385, 0.402]","(0.385, 0.402]",94,0.39452228076914525,0.6702127659574468,0.04999709462618572,0.04999709462618572,0.2485742258999733,0.694385737184517,-0.6236103362098043,0.6443886425583312,1.1821172873924992,,5.159574468085107
"(0.402, 0.416]","(0.402, 0.416]",95,0.4093890789308046,0.6947368421052632,0.05526493472916633,0.05526493472916633,0.18940301747506888,0.6960583047049856,-0.5700787142549857,0.6407933699758193,1.217218880660192,,5.136842105263158
"(0.416, 0.577]","(0.416, 0.577]",94,0.5614292878419795,0.7127659574468085,0.10847597700628193,0.10847597700628193,0.24085958950321257,0.6675357735297773,-0.557543275093421,0.5590597965234955,1.5071289985237948,,5.797872340425532
"(0.577, 0.588]","(0.577, 0.588]",94,0.5829519737274089,0.5957446808510638,-0.14875322239495006,-0.14875322239495006,0.16203067305379165,0.5598842479419197,-0.6543380845233578,0.7086374703368697,0.5691160767371158,,4.340425531914893
"(0.588, 0.603]","(0.588, 0.603]",95,0.5951339489535281,0.6,-0.07130374284781121,-0.07130374284781121,0.12445168257003297,0.6246166980329481,-0.6658967994219784,0.6959204408807593,0.7758933476021149,,4.578947368421052
"(0.603, 0.623]","(0.603, 0.623]",94,0.6129472889798753,0.648936170212766,-0.05788279644381262,-0.05788279644381262,0.17563456131914876,0.6197294613317401,-0.6950720902547878,0.6776122577755527,0.8120612420526382,,5.1063829787234045
"(0.623, 0.656]","(0.623, 0.656]",94,0.6370826864496191,0.6382978723404256,-0.027091073219830446,-0.027091073219830446,0.21132497976805548,0.6929773039037084,-0.7553415787873357,0.720068377123539,0.9235298395603444,,4.48936170212766
"(0.656, 0.777]","(0.656, 0.777]",95,0.6885745268119009,0.7263157894736842,0.04825205350222392,0.04825205350222392,0.2344715287329309,0.6361168636469986,-0.6113352781929573,0.5878648101447747,1.1979751976101312,,5.978947368421053
