probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.233, 0.358]","(0.233, 0.358]",95,0.32690550622187164,0.7473684210526316,0.1306427510461488,0.1306427510461488,0.20955484761744325,0.7900904037221465,-0.5674107473344778,0.6594476526759977,1.586395152258098,,4.968421052631579
"(0.358, 0.385]","(0.358, 0.385]",94,0.372410182940199,0.6702127659574468,0.044620901366356325,0.044620901366356325,0.21133891798873455,0.731584043227037,-0.6610073541709179,0.6869631418606806,1.1568544982216744,,5.648936170212766
"(0.385, 0.402]","(0.385, 0.402]",94,0.39462780318361645,0.6595744680851063,0.028221543224804576,0.028221543224804576,0.20786906900894725,0.6898493964378809,-0.6111009121884929,0.6616278532130763,1.1026944252229547,,5.223404255319149
"(0.402, 0.416]","(0.402, 0.416]",94,0.4096109131549267,0.7021276595744681,0.0775665336337902,0.0775665336337902,0.19073757371521732,0.7104122545498432,-0.5766670069092374,0.6328457209160532,1.2994460336677263,,5.212765957446808
"(0.416, 0.577]","(0.416, 0.577]",95,0.5632939931593444,0.7263157894736842,0.10422248289473117,0.10422248289473117,0.20818522211662072,0.6817070290421794,-0.5537274877904561,0.5774845461474484,1.5003990032708483,,5.663157894736842
"(0.577, 0.588]","(0.577, 0.588]",94,0.583092470752432,0.6170212765957447,-0.1457518470470131,-0.1457518470470131,0.12272138435516045,0.5604975779742912,-0.6561621719167321,0.7062494250213044,0.5733838756712317,,4.287234042553192
"(0.588, 0.603]","(0.588, 0.603]",94,0.5953176801509046,0.5638297872340425,-0.07483961889390664,-0.07483961889390664,0.09381477328519672,0.6922351493413735,-0.6933211087580381,0.7670747682352803,0.7822217860745512,,4.680851063829787
"(0.603, 0.621]","(0.603, 0.621]",94,0.6126058583563947,0.6595744680851063,-0.037534327199517874,-0.037534327199517874,0.14272230163214167,0.6128682107430291,-0.6300582860645414,0.650402537942547,0.8736254348528179,,5.24468085106383
"(0.621, 0.656]","(0.621, 0.656]",94,0.6365535043655558,0.648936170212766,-0.011660007209768165,-0.011660007209768165,0.2134575371778167,0.7322489348017805,-0.7863243236060599,0.7439089420115487,0.9660610023691776,,4.5212765957446805
"(0.656, 0.777]","(0.656, 0.777]",95,0.688410376875024,0.7157894736842105,0.025524458395831198,0.025524458395831198,0.2029471163241688,0.6334490158096201,-0.6218252972764884,0.6079245574137889,1.1003424781590276,,6.094736842105263
