asset,signal_time,entry_time,exit_time,side,signal_module,entry_cluster,entry_price,exit_price,take_profit_price,stop_loss_price,exit_reason,bars_held,gross_return,net_return,cost_return,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,realized_r,cost,entry_context_age_bars,entry_macro_context_age_bars,entry_laggard_gap,signal_strength,entry_relay_score,signal_timestamp,entry_timestamp,exit_timestamp,signal,raw_entry_price,raw_exit_price,target_price,position_size,cost_paid,trade_r,max_favorable_r,max_adverse_r,breakeven_activated,profit_lock_activated,effective_stop_price,r_trailing_activated,r_trailing_activation_r,r_trailing_distance_r,initial_risk_distance,effective_trailing_stop,intrabar_policy,stop_mode,effective_risk_per_trade,risk_guard_reason,total_cost,entry_cost,exit_cost,holding_cost,cost_component_reconciliation,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-17 10:30:00,2022-03-17 11:00:00,2022-03-17 12:30:00,long,,,2772.9,2793.45,2871.5395248966292,2733.4441900413485,r_trailing_stop,4,0.0031250150517556745,0.0030406807039501907,8.433434780548378e-05,,,,,0.5067801173250318,1.1734646950226253,-0.17994814977668644,,,,,,,,2022-03-17 10:30:00,2022-03-17 11:00:00,2022-03-17 12:30:00,1.0,2772.9,2793.45,2871.5395248966292,0.42167173902741895,8.433434780548379e-05,0.5067801173250318,1.1734646950226253,-0.17994814977668644,False,False,2809.335691589766,True,0.75,0.5,19.72861682046717,2809.335691589766,adverse_first,volatility_stop,0.006,,8.433434780548378e-05,4.216717390274189e-05,4.216717390274189e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-17 15:30:00,2022-03-17 16:00:00,2022-03-17 18:30:00,long,,,2802.6,2807.9995358636643,2902.613562115375,2762.5945751538497,r_trailing_stop,6,0.000809820550752248,0.0007257539519613678,8.40665987908802e-05,,,,,0.12095899199356129,0.3849477929361892,-0.6686593156521429,,,,,,,,2022-03-17 15:30:00,2022-03-17 16:00:00,2022-03-17 18:30:00,1.0,2802.6,2807.9995358636643,2902.613562115375,0.42033299395440094,8.406659879088019e-05,0.12095899199356129,0.3849477929361892,-0.6686593156521429,False,False,2807.9995358636643,True,0.75,0.5,20.00092827267181,2807.9995358636643,adverse_first,volatility_stop,0.006,,8.40665987908802e-05,4.20332993954401e-05,4.20332993954401e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-18 00:00:00,2022-03-18 00:30:00,2022-03-18 00:30:00,long,,,2809.2,2772.3841745361683,2901.2395636595784,2772.3841745361683,stop_loss,1,-0.006,-0.006091564971246177,9.156497124617694e-05,,,,,-1.0152608285410294,0.09914214754158825,-1.0810568416861905,,,,,,,,2022-03-18 00:00:00,2022-03-18 00:30:00,2022-03-18 00:30:00,1.0,2809.2,2772.3841745361683,2901.2395636595784,0.45782485623088565,9.156497124617713e-05,-1.0152608285410294,0.09914214754158825,-1.0810568416861905,False,False,2772.3841745361683,False,0.75,0.5,18.407257064122824,,adverse_first,volatility_stop,0.006,,9.156497124617694e-05,4.578248562308847e-05,4.578248562308847e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-18 00:30:00,2022-03-18 01:00:00,2022-03-18 06:30:00,long,,,2776.45,2801.235509562356,2871.0931975953745,2738.59272096185,r_trailing_stop,12,0.003928255309217434,0.0038402473993873983,8.800790983003572e-05,,,,,0.6400412332312331,0.9047137266649622,-0.16773524567364753,,,,,,,,2022-03-18 00:30:00,2022-03-18 01:00:00,2022-03-18 06:30:00,1.0,2776.45,2801.235509562356,2871.0931975953745,0.44003954915017934,8.800790983003587e-05,0.6400412332312331,0.9047137266649622,-0.16773524567364753,False,False,2801.235509562356,True,0.75,0.5,18.928980875286936,2801.235509562356,adverse_first,volatility_stop,0.006,,8.800790983003572e-05,4.400395491501786e-05,4.400395491501786e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-24 05:30:00,2022-03-24 06:00:00,2022-03-24 08:30:00,short,,,3049.55,3042.9293412876095,2949.2549400869293,3089.6680239652287,r_trailing_stop,6,0.0009901771908999023,0.0008989598367457751,9.121735415412724e-05,,,,,0.14982663945762917,0.41502542633782596,-0.5608451707267889,,,,,,,,2022-03-24 05:30:00,2022-03-24 06:00:00,2022-03-24 08:30:00,-1.0,3049.55,3042.9293412876095,2949.2549400869293,0.4560867707706364,9.12173541541273e-05,0.14982663945762917,0.41502542633782596,-0.5608451707267889,False,False,3042.9293412876095,True,0.75,0.5,20.058682575219265,3042.9293412876095,adverse_first,volatility_stop,0.006,,9.121735415412724e-05,4.560867707706362e-05,4.560867707706362e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-24 08:30:00,2022-03-24 09:00:00,2022-03-24 13:00:00,short,,,3049.6,3020.0328054687225,2950.770324191451,3089.1318703234197,r_trailing_stop,9,0.004487598632098295,0.004395027246781573,9.25713853167226e-05,,,,,0.7325045411302621,0.9979290045537909,-0.4527992187962745,,,,,,,,2022-03-24 08:30:00,2022-03-24 09:00:00,2022-03-24 13:00:00,-1.0,3049.6,3020.0328054687225,2950.770324191451,0.462856926583615,9.2571385316723e-05,0.7325045411302621,0.9979290045537909,-0.4527992187962745,False,False,3020.0328054687225,True,0.75,0.5,19.765610937444972,3020.0328054687225,adverse_first,volatility_stop,0.006,,9.25713853167226e-05,4.62856926583613e-05,4.62856926583613e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-25 19:00:00,2022-03-25 19:30:00,2022-03-25 20:30:00,long,,,3092.5,3112.119364081694,3192.80311755836,3052.378752976656,r_trailing_stop,3,0.0029340111094172884,0.0028415164768890223,9.249463252826613e-05,,,,,0.4735860794815037,0.9595913102501341,-0.22556626903282825,,,,,,,,2022-03-25 19:00:00,2022-03-25 19:30:00,2022-03-25 20:30:00,1.0,3092.5,3112.119364081694,3192.80311755836,0.46247316264133087,9.249463252826617e-05,0.4735860794815037,0.9595913102501341,-0.22556626903282825,False,False,3112.119364081694,True,0.75,0.5,20.06127183661198,3112.119364081694,adverse_first,volatility_stop,0.006,,9.249463252826613e-05,4.6247316264133066e-05,4.6247316264133066e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-28 13:30:00,2022-03-28 14:00:00,2022-03-28 15:00:00,long,,,3380.4,3389.408340575568,3463.3190493375064,3347.2323802649976,r_trailing_stop,3,0.001629602723537329,0.0015073003083381127,0.00012230241519921629,,,,,0.2512167180563521,0.636162623926028,-0.6663125113158872,,,,,,,,2022-03-28 13:30:00,2022-03-28 14:00:00,2022-03-28 15:00:00,1.0,3380.4,3389.408340575568,3463.3190493375064,0.6115120759960817,0.00012230241519921634,0.2512167180563521,0.636162623926028,-0.6663125113158872,False,False,3389.408340575568,True,0.75,0.5,16.583318848862827,3389.408340575568,adverse_first,volatility_stop,0.006,,0.00012230241519921629,6.115120759960814e-05,6.115120759960814e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-28 15:00:00,2022-03-28 15:30:00,2022-03-28 16:00:00,long,,,3387.2,3353.0360857740043,3472.6097855649887,3353.0360857740043,stop_loss,2,-0.006,-0.006118974657678633,0.0001189746576786329,,,,,-1.0198291096131056,0.02048945549300198,-1.5132926414111225,,,,,,,,2022-03-28 15:00:00,2022-03-28 15:30:00,2022-03-28 16:00:00,1.0,3387.2,3353.0360857740043,3472.6097855649887,0.5948732883931651,0.00011897465767863303,-1.0198291096131056,0.02048945549300198,-1.5132926414111225,False,False,3353.0360857740043,False,0.75,0.5,17.081200835914753,,adverse_first,volatility_stop,0.006,,0.0001189746576786329,5.948732883931645e-05,5.948732883931645e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-28 16:00:00,2022-03-28 16:30:00,2022-03-28 17:00:00,long,,,3345.3,3362.25,3433.6770342171194,3309.9491863131525,r_trailing_stop,2,0.0028768786173042587,0.002763320835139444,0.00011355778216481493,,,,,0.46055347252324064,0.8033761330525155,-0.031116681209791223,,,,,,,,2022-03-28 16:00:00,2022-03-28 16:30:00,2022-03-28 17:00:00,1.0,3345.3,3362.25,3433.6770342171194,0.5677889108240736,0.00011355778216481473,0.46055347252324064,0.8033761330525155,-0.031116681209791223,False,False,3364.861768088859,True,0.75,0.5,17.676463822281114,3364.861768088859,adverse_first,volatility_stop,0.006,,0.00011355778216481493,5.6778891082407464e-05,5.6778891082407464e-05,0.0,0.0,fractional_return,R,False
