metric,value
counterfactual.baseline.avg_r,0.0025907790334069617
counterfactual.baseline.median_r,0.11709206788662307
counterfactual.baseline.profit_factor,1.0145172267999698
counterfactual.baseline.trade_count,676
counterfactual.baseline.win_rate,0.7130177514792899
counterfactual.best_policy_by_avg_r,exit_at_first_0_5r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.047708518224132315
counterfactual.breakeven_after_0_5r.median_r,0.08297784993278975
counterfactual.breakeven_after_0_5r.profit_factor,0.7324270673768323
counterfactual.breakeven_after_0_5r.trade_count,676
counterfactual.breakeven_after_0_5r.win_rate,0.606508875739645
counterfactual.breakeven_after_1_0r.avg_r,-0.013698461803258693
counterfactual.breakeven_after_1_0r.median_r,0.11107513837002735
counterfactual.breakeven_after_1_0r.profit_factor,0.923219860087668
counterfactual.breakeven_after_1_0r.trade_count,676
counterfactual.breakeven_after_1_0r.win_rate,0.6952662721893491
counterfactual.exit_at_first_0_5r.avg_r,0.02543781972782801
counterfactual.exit_at_first_0_5r.median_r,0.13384722336693794
counterfactual.exit_at_first_0_5r.profit_factor,1.1426994654616576
counterfactual.exit_at_first_0_5r.trade_count,676
counterfactual.exit_at_first_0_5r.win_rate,0.7174556213017751
counterfactual.exit_at_first_1_0r.avg_r,0.01463125371400153
counterfactual.exit_at_first_1_0r.median_r,0.12010532283212275
counterfactual.exit_at_first_1_0r.profit_factor,1.0820084563791408
counterfactual.exit_at_first_1_0r.trade_count,676
counterfactual.exit_at_first_1_0r.win_rate,0.7144970414201184
counterfactual.partial_50pct_at_1r.avg_r,0.008611016373704244
counterfactual.partial_50pct_at_1r.median_r,0.12010532283212275
counterfactual.partial_50pct_at_1r.profit_factor,1.0482649111598148
counterfactual.partial_50pct_at_1r.trade_count,676
counterfactual.partial_50pct_at_1r.win_rate,0.7144970414201184
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,-0.013570308673624949
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.06384694418907395
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,0.9089696711853287
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,676
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5769230769230769
counterfactual.trail_0_5r_after_1_0r.avg_r,0.006510218583773769
counterfactual.trail_0_5r_after_1_0r.median_r,0.12010532283212275
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.0364898994428051
counterfactual.trail_0_5r_after_1_0r.trade_count,676
counterfactual.trail_0_5r_after_1_0r.win_rate,0.7144970414201184
