rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,155337.606716156,0.12683986275562054,gain,asset,0
2,vol_rolling_192,129721.63599538803,0.1059233166644268,gain,asset,0
3,bollinger_bandwidth,108051.78008842468,0.08822894369654821,gain,asset,0
4,ema_trend_48_192,105884.45747804642,0.08645923120863887,gain,asset,0
5,vol_rolling_96,90561.33005094528,0.07394723607154469,gain,asset,0
6,bollinger_bandwidth_rank_192,77045.506483078,0.06291098256784522,gain,asset,0
7,atr_over_price_48,67817.76627635956,0.0553761342712353,gain,asset,0
8,vol_rolling_48,65194.50224161148,0.05323412592455594,gain,asset,0
9,atr_pct_rank_192,63538.87777042389,0.051882237060425274,gain,asset,0
10,vol_rolling_24,42454.02458238602,0.03466554407068463,gain,asset,0
11,mama_minus_fama_over_atr,40836.72624540329,0.0333449501499052,gain,asset,0
12,ret_48,38494.760865688324,0.03143263430043894,gain,asset,0
13,close_over_bb_upper_192,37427.401428222656,0.030561089235331528,gain,asset,0
14,bollinger_percent_b,32594.66467142105,0.02661495101468258,gain,asset,0
15,close_over_bb_mid_192,28755.865370750427,0.023480405641306535,gain,asset,0
16,distance_from_ema96_atr,18849.94268655777,0.015391792070565168,gain,asset,0
17,atr_pct,18252.445807933807,0.014903910071584345,gain,asset,0
18,ret_24,13138.273795127869,0.010727967813131394,gain,asset,0
19,close_over_vwap_32,11952.718686580658,0.009759910879357911,gain,asset,0
20,roofing_filter_over_atr,10425.48030424118,0.008512854799982202,gain,asset,0
21,ret_16,10064.443127155304,0.008218052356714701,gain,asset,0
22,rolling_return_48,9580.616415023804,0.00782298695650933,gain,asset,0
23,ema_alignment_score,6450.315932273865,0.0052669614581806,gain,asset,0
24,close_minus_decycler_over_atr,6411.265992164612,0.005235075496057316,gain,asset,0
25,frama_slope_over_atr,4325.0124769210815,0.0035315594245727525,gain,asset,0
26,distance_from_ema24_atr,3861.9529399871826,0.0031534513195618347,gain,asset,0
27,decycler_slope_over_atr,3563.854293823242,0.002910040904232332,gain,asset,0
28,rolling_return_24,2958.8568019866943,0.002416034330716215,gain,asset,0
29,instantaneous_trendline_slope_over_atr,2704.3567085266113,0.002208224016084838,gain,asset,0
30,ret_4,1863.7485547065735,0.0015218311643099443,gain,asset,0
31,upper_wick_ratio,1327.142761707306,0.0010836693657812234,gain,asset,0
32,lag_close_ret_24,1290.1492395401,0.001053462557695726,gain,asset,0
33,supersmoother_slope_over_atr,1266.9814958572388,0.0010345450946858759,gain,asset,0
34,range_to_atr,1254.1251201629639,0.0010240473088433512,gain,asset,0
35,ret_8,1117.3980436325073,0.0009124037475144473,gain,asset,0
36,lag_close_ret_1,1078.6240787506104,0.0008807431310798337,gain,asset,0
37,lag_close_ret_2,1045.1638474464417,0.0008534214075377221,gain,asset,0
38,close_ret_robust_z_128,995.773663520813,0.0008130921898869777,gain,asset,0
39,lag_close_ret_48,986.6316800117493,0.0008056273656366425,gain,asset,0
40,lag_close_ret_8,962.2559032440186,0.0007857234914548406,gain,asset,0
41,lag_close_ret_16,933.9197225570679,0.000762585776478204,gain,asset,0
42,close_location,862.0580296516418,0.0007039076015133596,gain,asset,0
43,close_ret,835.0188345909119,0.000681828931299312,gain,asset,0
44,lag_close_ret_4,749.6314215660095,0.0006121064218690848,gain,asset,0
45,body_ratio,559.8046588897705,0.00045710467416484586,gain,asset,0
46,dominant_cycle_phase_normalized,535.8633995056152,0.00043755560218749877,gain,asset,0
47,lower_wick_ratio,472.9312152862549,0.00038616875660617766,gain,asset,0
48,ret_1,281.3187198638916,0.0002297088810137545,gain,asset,0
1,atr_48,1203.0,0.1157621247113164,split,asset,0
2,vol_rolling_192,987.0,0.09497690531177828,split,asset,0
3,bollinger_bandwidth,741.0,0.07130484988452655,split,asset,0
4,ema_trend_48_192,726.0,0.06986143187066975,split,asset,0
5,vol_rolling_96,713.0,0.06861046959199384,split,asset,0
6,bollinger_bandwidth_rank_192,573.0,0.055138568129330254,split,asset,0
7,vol_rolling_48,510.0,0.04907621247113164,split,asset,0
8,atr_pct_rank_192,496.0,0.04772902232486528,split,asset,0
9,atr_over_price_48,490.0,0.04715165511932255,split,asset,0
10,vol_rolling_24,436.0,0.04195535026943803,split,asset,0
11,mama_minus_fama_over_atr,396.0,0.03810623556581986,split,asset,0
12,ret_48,304.0,0.029253271747498075,split,asset,0
13,close_over_bb_upper_192,286.0,0.0275211701308699,split,asset,0
14,bollinger_percent_b,239.0,0.022998460354118552,split,asset,0
15,close_over_bb_mid_192,237.0,0.022806004618937645,split,asset,0
16,distance_from_ema96_atr,182.0,0.017513471901462664,split,asset,0
17,ret_24,156.0,0.015011547344110854,split,asset,0
18,roofing_filter_over_atr,152.0,0.014626635873749037,split,asset,0
19,atr_pct,138.0,0.013279445727482679,split,asset,0
20,ret_16,130.0,0.012509622786759045,split,asset,0
21,close_over_vwap_32,115.0,0.011066204772902233,split,asset,0
22,frama_slope_over_atr,91.0,0.008756735950731332,split,asset,0
23,close_minus_decycler_over_atr,80.0,0.007698229407236336,split,asset,0
24,rolling_return_48,77.0,0.007409545804464973,split,asset,0
25,ret_4,68.0,0.006543494996150885,split,asset,0
26,distance_from_ema24_atr,59.0,0.005677444187836798,split,asset,0
