fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34969,,0,0,4380,4380,0,0,0,4380,4380,0.49611872146118724,2.7329046869460787
1,39396,39349,,0,0,4380,4380,0,0,0,4380,4380,0.563013698630137,2.619408923887012
2,43752,43705,,0,0,4380,4380,0,0,0,4380,4380,0.5150684931506849,2.7487915127490314
3,48108,48061,,0,0,4380,4380,0,0,0,4380,4380,0.5404109589041096,2.5498332352069957
4,52464,52417,,0,0,4380,4380,0,0,0,4380,4380,0.5116438356164383,2.6714791846635175
5,56820,56773,,0,0,4380,4380,0,0,0,4380,4380,0.5308219178082192,2.579137795702397
6,61176,61129,,0,0,4380,4380,0,0,0,4380,4380,0.5045662100456622,2.672779083956509
7,65532,65485,,0,0,4380,4380,0,0,0,4380,4380,0.5205479452054794,2.66782015496235
8,69888,69841,,0,0,4380,4380,0,0,0,4380,4380,0.5390410958904109,2.503154031821525
9,74244,74197,,0,0,4380,4380,0,0,0,4380,4380,0.5118721461187214,2.62088696806149
