trade_id,policy,counterfactual_r
0,baseline,-2.7598664323378546
0,breakeven_after_0_5r,0.0
0,breakeven_after_1_0r,0.0
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,0.5400258550261241
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.7598664323378546
0,partial_50pct_at_1r,-0.8799332161689273
1,baseline,2.4201088416126266
1,breakeven_after_0_5r,2.4201088416126266
1,breakeven_after_1_0r,2.4201088416126266
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,1.8417759298802077
1,time_exit_after_4_bars_if_mfe_lt_0_3r,2.4201088416126266
1,partial_50pct_at_1r,1.7100544208063133
2,baseline,2.5841242529957444
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,1.005648775098505
2,time_exit_after_4_bars_if_mfe_lt_0_3r,2.5841242529957444
2,partial_50pct_at_1r,1.7920621264978722
3,baseline,-2.5205992372830166
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.9681921352293943
3,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830166
3,partial_50pct_at_1r,-0.7602996186415083
4,baseline,0.2115256809145583
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.6414876981898394
4,time_exit_after_4_bars_if_mfe_lt_0_3r,0.2115256809145583
4,partial_50pct_at_1r,0.6057628404572791
5,baseline,0.5954139873923531
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.5492471476053669
5,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923531
5,partial_50pct_at_1r,0.7977069936961765
6,baseline,0.9883816260852919
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.7798266803617269
6,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852919
6,partial_50pct_at_1r,0.994190813042646
7,baseline,2.8104884079566173
7,breakeven_after_0_5r,2.8104884079566173
7,breakeven_after_1_0r,2.8104884079566173
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.5159626043202692
7,time_exit_after_4_bars_if_mfe_lt_0_3r,2.8104884079566173
7,partial_50pct_at_1r,1.9052442039783086
8,baseline,1.1060689210700145
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.6240887895856377
8,time_exit_after_4_bars_if_mfe_lt_0_3r,1.1060689210700145
8,partial_50pct_at_1r,1.0530344605350073
9,baseline,0.4511543361130192
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.5681683085229843
9,time_exit_after_4_bars_if_mfe_lt_0_3r,0.4511543361130192
9,partial_50pct_at_1r,0.7255771680565096
10,baseline,3.999130109873891
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,1.9908862061429433
10,time_exit_after_4_bars_if_mfe_lt_0_3r,3.999130109873891
10,partial_50pct_at_1r,2.4995650549369453
11,baseline,0.4622165292963623
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,0.9628615082072018
11,time_exit_after_4_bars_if_mfe_lt_0_3r,0.4622165292963623
11,partial_50pct_at_1r,0.7311082646481811
12,baseline,3.6717907479310226
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,0.0
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,0.872890020863528
12,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6717907479310226
12,partial_50pct_at_1r,2.3358953739655113
13,baseline,4.730865209002442
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,4.730865209002442
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,0.8199279261763441
13,time_exit_after_4_bars_if_mfe_lt_0_3r,4.730865209002442
13,partial_50pct_at_1r,2.865432604501221
14,baseline,-8.638127745073607
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,0.7123948418399424
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.638127745073607
14,partial_50pct_at_1r,-3.8190638725368036
15,baseline,-1.4832947820155495
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,0.0
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,0.5121118890118364
15,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.4832947820155495
15,partial_50pct_at_1r,-0.24164739100777477
16,baseline,-0.35572047635964144
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,0.7953301306495029
16,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.35572047635964144
16,partial_50pct_at_1r,0.3221397618201793
17,baseline,0.8362472162286819
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,0.6126757328385115
17,time_exit_after_4_bars_if_mfe_lt_0_3r,0.8362472162286819
17,partial_50pct_at_1r,0.9181236081143409
18,baseline,0.7341449568601418
18,breakeven_after_0_5r,0.0
18,breakeven_after_1_0r,0.0
18,exit_at_first_0_5r,0.5
18,exit_at_first_1_0r,1.0
18,trail_0_5r_after_1_0r,0.5395447869813013
18,time_exit_after_4_bars_if_mfe_lt_0_3r,0.7341449568601418
18,partial_50pct_at_1r,0.867072478430071
19,baseline,0.05512159737256959
19,breakeven_after_0_5r,0.0
19,breakeven_after_1_0r,0.05512159737256959
19,exit_at_first_0_5r,0.5
19,exit_at_first_1_0r,0.05512159737256959
19,trail_0_5r_after_1_0r,0.05512159737256959
19,time_exit_after_4_bars_if_mfe_lt_0_3r,0.05512159737256959
19,partial_50pct_at_1r,0.05512159737256959
20,baseline,-2.3090419740799355
20,breakeven_after_0_5r,0.0
20,breakeven_after_1_0r,-2.3090419740799355
20,exit_at_first_0_5r,0.5
20,exit_at_first_1_0r,-2.3090419740799355
20,trail_0_5r_after_1_0r,-2.3090419740799355
20,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.3090419740799355
20,partial_50pct_at_1r,-2.3090419740799355
21,baseline,-3.9102900170023385
21,breakeven_after_0_5r,0.0
21,breakeven_after_1_0r,0.0
21,exit_at_first_0_5r,0.5
21,exit_at_first_1_0r,1.0
21,trail_0_5r_after_1_0r,1.1348720814899427
21,time_exit_after_4_bars_if_mfe_lt_0_3r,-3.9102900170023385
21,partial_50pct_at_1r,-1.4551450085011692
22,baseline,2.9121867887790174
22,breakeven_after_0_5r,2.9121867887790174
22,breakeven_after_1_0r,2.9121867887790174
22,exit_at_first_0_5r,0.5
22,exit_at_first_1_0r,1.0
22,trail_0_5r_after_1_0r,0.7188788686141421
22,time_exit_after_4_bars_if_mfe_lt_0_3r,2.9121867887790174
22,partial_50pct_at_1r,1.9560933943895087
23,baseline,0.594549250110309
23,breakeven_after_0_5r,0.0
23,breakeven_after_1_0r,0.594549250110309
23,exit_at_first_0_5r,0.5
23,exit_at_first_1_0r,0.594549250110309
23,trail_0_5r_after_1_0r,0.594549250110309
23,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.291844097098079
23,partial_50pct_at_1r,0.594549250110309
24,baseline,-0.2056784211888051
24,breakeven_after_0_5r,0.0
24,breakeven_after_1_0r,0.0
24,exit_at_first_0_5r,0.5
24,exit_at_first_1_0r,1.0
24,trail_0_5r_after_1_0r,0.85034671837411
24,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.2056784211888051
24,partial_50pct_at_1r,0.39716078940559746
25,baseline,-0.9111901142038729
