metric,value
counterfactual.baseline.avg_r,0.74863826933653
counterfactual.baseline.median_r,0.5350077098270534
counterfactual.baseline.profit_factor,1.668055887304694
counterfactual.baseline.trade_count,326
counterfactual.baseline.win_rate,0.5797546012269938
counterfactual.best_policy_by_avg_r,baseline
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.0758202844113815
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.14815032064268602
counterfactual.breakeven_after_0_5r.trade_count,326
counterfactual.breakeven_after_0_5r.win_rate,0.006134969325153374
counterfactual.breakeven_after_1_0r.avg_r,0.16805426700181275
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.4909108703394807
counterfactual.breakeven_after_1_0r.trade_count,326
counterfactual.breakeven_after_1_0r.win_rate,0.12269938650306748
counterfactual.exit_at_first_0_5r.avg_r,0.39718967119224763
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,5.462471971397187
counterfactual.exit_at_first_0_5r.trade_count,326
counterfactual.exit_at_first_0_5r.win_rate,0.9723926380368099
counterfactual.exit_at_first_1_0r.avg_r,0.5347924974652432
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.5622063935981774
counterfactual.exit_at_first_1_0r.trade_count,326
counterfactual.exit_at_first_1_0r.win_rate,0.8803680981595092
counterfactual.partial_50pct_at_1r.avg_r,0.6417153834008865
counterfactual.partial_50pct_at_1r.median_r,0.7622366748638448
counterfactual.partial_50pct_at_1r.profit_factor,2.0524717570693616
counterfactual.partial_50pct_at_1r.trade_count,326
counterfactual.partial_50pct_at_1r.win_rate,0.6871165644171779
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.7026088136974503
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.45002376841354735
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.6173769091352692
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,326
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5644171779141104
counterfactual.trail_0_5r_after_1_0r.avg_r,0.7281067728372523
counterfactual.trail_0_5r_after_1_0r.median_r,0.8227628173723277
counterfactual.trail_0_5r_after_1_0r.profit_factor,3.126905409368455
counterfactual.trail_0_5r_after_1_0r.trade_count,326
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8803680981595092
