rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,150156.62005615234,0.12270646004064181,gain,asset,0
2,vol_rolling_192,131545.46932172775,0.10749761727999615,gain,asset,0
3,bollinger_bandwidth,117631.39642906189,0.09612717867550437,gain,asset,0
4,ema_trend_48_192,97290.3837966919,0.07950471039653866,gain,asset,0
5,vol_rolling_96,87164.68174552917,0.07123008984594419,gain,asset,0
6,bollinger_bandwidth_rank_192,81478.45555067062,0.06658336373356541,gain,asset,0
7,atr_over_price_48,80336.34443426132,0.0656500421656236,gain,asset,0
8,vol_rolling_48,64301.3325176239,0.05254639379990863,gain,asset,0
9,atr_pct_rank_192,57667.21784114838,0.04712506287790493,gain,asset,0
10,vol_rolling_24,41640.86830186844,0.03402849331870995,gain,asset,0
11,mama_minus_fama_over_atr,40586.281005859375,0.033166695325063625,gain,asset,0
12,close_over_bb_upper_192,39411.36430120468,0.0322065653646471,gain,asset,0
13,ret_48,31462.108872890472,0.025710514819539433,gain,asset,0
14,bollinger_percent_b,27203.418230056763,0.022230356215843433,gain,asset,0
15,close_over_bb_mid_192,26666.756130695343,0.0217918014160218,gain,asset,0
16,atr_pct,18550.970301151276,0.015159663923722453,gain,asset,0
17,distance_from_ema96_atr,18416.473266124725,0.015049754317020474,gain,asset,0
18,ret_24,13824.185983657837,0.011296983938262322,gain,asset,0
19,ret_16,13035.677443504333,0.01065262279296038,gain,asset,0
20,rolling_return_48,12744.74234008789,0.010414873590637901,gain,asset,0
21,close_over_vwap_48,11891.075277805328,0.009717265564919055,gain,asset,0
22,roofing_filter_over_atr,10930.373642921448,0.008932189976991103,gain,asset,0
23,ema_alignment_score,6683.026226043701,0.00546130094197597,gain,asset,0
24,close_minus_decycler_over_atr,5266.6769490242,0.004303874743256306,gain,asset,0
25,distance_from_ema24_atr,4779.89425945282,0.0039060808889192166,gain,asset,0
26,frama_slope_over_atr,4068.9262442588806,0.0033250850705933564,gain,asset,0
27,instantaneous_trendline_slope_over_atr,3499.7487325668335,0.0028599590070980925,gain,asset,0
28,decycler_slope_over_atr,3367.2360229492188,0.002751670970903016,gain,asset,0
29,rolling_return_24,2490.7948932647705,0.00203545220933671,gain,asset,0
30,ret_8,1726.1811027526855,0.001410617609990315,gain,asset,0
31,lag_close_ret_24,1584.109414100647,0.0012945180735198709,gain,asset,0
32,close_ret_robust_z_192,1380.925232410431,0.0011284780303826621,gain,asset,0
33,supersmoother_slope_over_atr,1261.270691394806,0.001030697558563807,gain,asset,0
34,lag_close_ret_2,1237.2932901382446,0.001011103470550462,gain,asset,0
35,ret_4,1220.52046585083,0.0009973968894325422,gain,asset,0
36,lag_close_ret_16,1096.119430065155,0.0008957376304472174,gain,asset,0
37,close_ret_over_vol_48,1064.654450416565,0.0008700247696590252,gain,asset,0
38,lag_close_ret_48,1025.7104043960571,0.0008382000920320958,gain,asset,0
39,lag_close_ret_8,1017.1123094558716,0.0008311738164485819,gain,asset,0
40,lag_close_ret_1,981.029200553894,0.0008016870674862858,gain,asset,0
41,upper_wick_ratio,979.79292345047,0.0008006767944331647,gain,asset,0
42,close_ret,936.0764737129211,0.0007649521571122578,gain,asset,0
43,lag_close_ret_4,821.7614507675171,0.0006715350850587601,gain,asset,0
44,range_to_atr,746.9987716674805,0.0006104397854170304,gain,asset,0
45,dominant_cycle_phase_normalized,719.0806436538696,0.0005876253756478802,gain,asset,0
46,body_ratio,619.3954000473022,0.000506163610214717,gain,asset,0
47,lower_wick_ratio,575.332576751709,0.0004701559199511997,gain,asset,0
48,close_location,559.6149778366089,0.00045731165825638176,gain,asset,0
49,ret_1,60.42830276489258,4.938139334630212e-05,gain,asset,0
1,atr_48,1134.0,0.10898606439211918,split,asset,0
2,vol_rolling_192,973.0,0.09351273426237386,split,asset,0
3,bollinger_bandwidth,799.0,0.07679000480538203,split,asset,0
4,ema_trend_48_192,729.0,0.07006246996636233,split,asset,0
5,vol_rolling_96,697.0,0.06698702546852475,split,asset,0
6,bollinger_bandwidth_rank_192,609.0,0.05852955309947141,split,asset,0
7,atr_over_price_48,571.0,0.05487746275828929,split,asset,0
8,vol_rolling_48,547.0,0.0525708793849111,split,asset,0
9,atr_pct_rank_192,437.0,0.041999038923594426,split,asset,0
10,vol_rolling_24,435.0,0.041806823642479576,split,asset,0
11,mama_minus_fama_over_atr,384.0,0.036905333974050936,split,asset,0
12,close_over_bb_upper_192,312.0,0.029985583853916385,split,asset,0
13,ret_48,271.0,0.02604517059106199,split,asset,0
14,close_over_bb_mid_192,213.0,0.020470927438731377,split,asset,0
15,bollinger_percent_b,198.0,0.019029312830370015,split,asset,0
16,distance_from_ema96_atr,190.0,0.01826045170591062,split,asset,0
17,roofing_filter_over_atr,150.0,0.014416146083613647,split,asset,0
18,ret_24,149.0,0.014320038443056222,split,asset,0
19,ret_16,141.0,0.013551177318596829,split,asset,0
20,close_over_vwap_48,140.0,0.013455069678039404,split,asset,0
21,atr_pct,128.0,0.012301777991350312,split,asset,0
22,frama_slope_over_atr,83.0,0.007976934166266218,split,asset,0
23,close_minus_decycler_over_atr,81.0,0.007784718885151369,split,asset,0
24,rolling_return_48,75.0,0.007208073041806823,split,asset,0
25,distance_from_ema24_atr,60.0,0.005766458433445459,split,asset,0
26,lag_close_ret_2,54.0,0.005189812590100913,split,asset,0
27,lag_close_ret_1,52.0,0.0049975973089860645,split,asset,0
28,lag_close_ret_24,51.0,0.00490148966842864,split,asset,0
29,ret_4,50.0,0.004805382027871216,split,asset,0
30,close_ret_robust_z_192,50.0,0.004805382027871216,split,asset,0
31,instantaneous_trendline_slope_over_atr,48.0,0.004613166746756367,split,asset,0
32,supersmoother_slope_over_atr,48.0,0.004613166746756367,split,asset,0
33,lag_close_ret_4,45.0,0.004324843825084094,split,asset,0
34,lag_close_ret_16,44.0,0.00422873618452667,split,asset,0
35,lag_close_ret_48,42.0,0.004036520903411821,split,asset,0
36,close_ret,41.0,0.003940413262854397,split,asset,0
37,upper_wick_ratio,39.0,0.003748197981739548,split,asset,0
38,decycler_slope_over_atr,39.0,0.003748197981739548,split,asset,0
39,close_ret_over_vol_48,38.0,0.003652090341182124,split,asset,0
40,lag_close_ret_8,37.0,0.0035559827006247,split,asset,0
41,ema_alignment_score,35.0,0.003363767419509851,split,asset,0
42,ret_8,33.0,0.0031715521383950023,split,asset,0
43,lower_wick_ratio,28.0,0.002691013935607881,split,asset,0
44,dominant_cycle_phase_normalized,26.0,0.0024987986544930322,split,asset,0
45,close_location,25.0,0.002402691013935608,split,asset,0
46,range_to_atr,25.0,0.002402691013935608,split,asset,0
47,body_ratio,24.0,0.0023065833733781835,split,asset,0
48,rolling_return_24,23.0,0.0022104757328207593,split,asset,0
49,ret_1,2.0,0.00019221528111484863,split,asset,0
1,atr_48,159847.7742638588,0.11916275311019675,gain,asset,1
2,vol_rolling_192,140977.42669010162,0.10509535317678623,gain,asset,1
3,bollinger_bandwidth,126671.52685451508,0.09443064159116711,gain,asset,1
4,ema_trend_48_192,108244.08312940598,0.08069341605155758,gain,asset,1
5,bollinger_bandwidth_rank_192,96957.04120874405,0.07227919198162396,gain,asset,1
6,vol_rolling_96,93124.18929338455,0.06942189109894789,gain,asset,1
7,atr_over_price_48,86255.65082979202,0.0643015573505785,gain,asset,1
8,vol_rolling_48,66203.09061479568,0.04935284572083374,gain,asset,1
9,atr_pct_rank_192,58421.622483730316,0.04355194439451069,gain,asset,1
10,vol_rolling_24,50579.172548770905,0.03770558256881499,gain,asset,1
11,mama_minus_fama_over_atr,48678.234538555145,0.03628847802774573,gain,asset,1
12,close_over_bb_upper_192,42667.60594892502,0.03180769589636058,gain,asset,1
13,close_over_bb_mid_192,39576.94656085968,0.02950368207255965,gain,asset,1
14,ret_48,32734.038732528687,0.02440245535946676,gain,asset,1
15,bollinger_percent_b,26849.305720329285,0.02001552541764216,gain,asset,1
16,distance_from_ema96_atr,20399.578546524048,0.01520740562754977,gain,asset,1
17,atr_pct,19295.748710632324,0.01438452646757529,gain,asset,1
18,ret_24,16044.207030296326,0.011960578681841263,gain,asset,1
19,close_over_vwap_48,14647.586687088013,0.010919431090560483,gain,asset,1
20,roofing_filter_over_atr,11839.362344264984,0.008825965944843247,gain,asset,1
21,ret_16,10678.595680713654,0.007960641720065548,gain,asset,1
22,rolling_return_48,8910.239603996277,0.006642373889617361,gain,asset,1
23,ema_alignment_score,8304.178712844849,0.006190569761129397,gain,asset,1
24,close_minus_decycler_over_atr,7576.22553062439,0.005647897798831506,gain,asset,1
25,decycler_slope_over_atr,5351.155799865723,0.003989160689726098,gain,asset,1
26,distance_from_ema24_atr,5205.812457084656,0.0038808106488713414,gain,asset,1
