fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34969,,0,0,4380,4380,0,0,0,4380,4380,0.4805936073059361,2.7169807124828087
1,39396,39349,,0,0,4380,4380,0,0,0,4380,4380,0.5573059360730593,2.645348849875322
2,43752,43705,,0,0,4380,4380,0,0,0,4380,4380,0.5255707762557078,2.7245807632656267
3,48108,48061,,0,0,4380,4380,0,0,0,4380,4380,0.55,2.5623185973689364
4,52464,52417,,0,0,4380,4380,0,0,0,4380,4380,0.5255707762557078,2.65625813850741
5,56820,56773,,0,0,4380,4380,0,0,0,4380,4380,0.523972602739726,2.5826531897534437
6,61176,61129,,0,0,4380,4380,0,0,0,4380,4380,0.5146118721461187,2.635145585382398
7,65532,65485,,0,0,4380,4380,0,0,0,4380,4380,0.5205479452054794,2.6562417939269776
8,69888,69841,,0,0,4380,4380,0,0,0,4380,4380,0.5376712328767124,2.5085396708595034
9,74244,74197,,0,0,4380,4380,0,0,0,4380,4380,0.5235159817351598,2.6356797174539444
