metric,value
counterfactual.baseline.avg_r,0.7431186551656216
counterfactual.baseline.median_r,0.5244733497276897
counterfactual.baseline.profit_factor,1.6786669325192254
counterfactual.baseline.trade_count,322
counterfactual.baseline.win_rate,0.562111801242236
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.07312615168292823
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.15437947682762013
counterfactual.breakeven_after_0_5r.trade_count,322
counterfactual.breakeven_after_0_5r.win_rate,0.006211180124223602
counterfactual.breakeven_after_1_0r.avg_r,0.18586670003841274
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.6082044505522883
counterfactual.breakeven_after_1_0r.trade_count,322
counterfactual.breakeven_after_1_0r.win_rate,0.11801242236024845
counterfactual.exit_at_first_0_5r.avg_r,0.39489013877291984
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,5.566453971113697
counterfactual.exit_at_first_0_5r.trade_count,322
counterfactual.exit_at_first_0_5r.win_rate,0.9627329192546584
counterfactual.exit_at_first_1_0r.avg_r,0.562707007281278
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.841324487467104
counterfactual.exit_at_first_1_0r.trade_count,322
counterfactual.exit_at_first_1_0r.win_rate,0.8695652173913043
counterfactual.partial_50pct_at_1r.avg_r,0.6529128312234499
counterfactual.partial_50pct_at_1r.median_r,0.757701751690304
counterfactual.partial_50pct_at_1r.profit_factor,2.134516247915403
counterfactual.partial_50pct_at_1r.trade_count,322
counterfactual.partial_50pct_at_1r.win_rate,0.6739130434782609
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.7046246292492822
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.38910026784944346
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.637952165886575
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,322
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.546583850931677
counterfactual.trail_0_5r_after_1_0r.avg_r,0.761125583891863
counterfactual.trail_0_5r_after_1_0r.median_r,0.8227628173723277
counterfactual.trail_0_5r_after_1_0r.profit_factor,3.4906019607415937
counterfactual.trail_0_5r_after_1_0r.trade_count,322
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8695652173913043
