probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.268, 0.373]","(0.268, 0.373]",33,0.34222091328014026,0.5757575757575758,0.5100876991849934,0.5100876991849934,0.5068722717531929,3.7467257209409137,-2.776991129294999,3.2366380217559207,1.3857954604425518,0.4688157464816433,24.0
"(0.373, 0.401]","(0.373, 0.401]",32,0.38966698199510574,0.59375,-0.2004075899798321,-0.2004075899798321,0.3814936862319922,3.437998010289694,-3.7874361730896995,3.638405600269526,0.8924589876465175,-0.23703361221477648,24.0
"(0.401, 0.414]","(0.401, 0.414]",32,0.40847433637827635,0.65625,1.5733644464178544,1.5733644464178544,1.3005420138717334,4.351940549865323,-2.318212798072254,2.7785761034474685,3.3021118327343517,1.5341367491681042,24.15625
"(0.414, 0.419]","(0.414, 0.419]",32,0.4170919554308057,0.46875,0.33595149513452255,0.33595149513452255,-0.1620682648425333,3.086619332784239,-2.8718441550453235,2.7506678376497167,1.2531056867438664,0.29597720014525886,24.1875
"(0.419, 0.563]","(0.419, 0.563]",32,0.5040270080789924,0.53125,0.4953304672856983,0.4953304672856983,0.29356389302649427,3.035330332698488,-2.4898438337714937,2.53999986541279,1.4407068515912222,0.4527186344164922,24.0
"(0.563, 0.571]","(0.563, 0.571]",32,0.5668982863426208,0.59375,1.5525627497397054,1.5525627497397054,0.992898960665807,4.239286630175272,-2.296036837947116,2.6867238804355664,2.7723547990841184,1.5111781745071224,24.0625
"(0.571, 0.581]","(0.571, 0.581]",32,0.575517987832427,0.625,0.49624792932519135,0.49624792932519135,1.371860570541482,3.418731832683343,-3.6398093824855184,2.9224839033581516,1.2980380789982275,0.46039173317302373,24.15625
"(0.581, 0.605]","(0.581, 0.605]",32,0.5912201013416052,0.53125,0.7556831233937433,0.7556831233937433,0.2606513843755296,2.6882384517442333,-2.6503518531094223,1.93255532835049,2.232727800412083,0.7201924552740282,24.0625
"(0.605, 0.637]","(0.605, 0.637]",32,0.6206481959670782,0.53125,0.8840161259054221,0.8840161259054221,0.4686161780971455,3.3998887778852795,-2.5560546530894177,2.5158726519798575,2.183754898524463,0.8395063704301189,24.03125
"(0.637, 0.783]","(0.637, 0.783]",33,0.6745883732131033,0.5151515151515151,1.0267682720942906,1.0267682720942906,0.10397082604831961,3.429330663397785,-2.2780536720228635,2.402562391303495,2.4014708959232767,0.9860665049929088,24.575757575757574
