asset,signal_time,entry_time,exit_time,side,signal_module,entry_cluster,entry_price,exit_price,take_profit_price,stop_loss_price,exit_reason,bars_held,gross_return,net_return,cost_return,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,realized_r,cost,entry_context_age_bars,entry_macro_context_age_bars,entry_laggard_gap,signal_strength,entry_relay_score,trade_id,signal_timestamp,entry_timestamp,exit_timestamp,raw_entry_price,raw_exit_price,position_size,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,risk_distance,risk_distance_source,cost_component_reconciliation,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,long,,,2809.1,2804.1,,,position_exit,24,-0.001779929514791334,-0.001979314381474806,0.00019938486668347188,,,,-0.27163199723794745,-0.3021536549755922,0.3123767968236396,-2.156758058069293,,,,,,,,0,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,1.0,0.0001,9.938486668347188e-05,0.0,0.00019938486668347188,1.0,1.0,0.0,2.0,-0.3021536549755922,-0.27163199723794745,0.03052165773764473,0.3123767968236396,-2.156758058069293,17,1,18.407257064122824,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,short,,,3049.5,3099.45,,,position_exit,24,-0.01677584747175176,-0.016971814464463608,0.00019596699271184903,,,,-2.490193451772782,-2.5205992372830166,2.260866327085002,-4.005746623622516,,,,,,,,1,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,1.0,0.0001,9.596699271184903e-05,0.0,0.00019596699271184903,1.0,1.0,0.0,2.0,-2.5205992372830166,-2.490193451772782,0.03040578551023474,2.260866327085002,-4.005746623622516,16,20,20.058682575219265,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-25 17:00:00,2022-03-25 17:00:00,2022-03-26 06:00:00,short,,,3095.7,3129.05,,,position_exit,24,-0.011019043688344499,-0.01121688377379415,0.00019784008544965204,,,,-1.6808235494450618,-1.7120279000418657,0.6173939574423323,-1.887461527038001,,,,,,,,2,2022-03-25 17:00:00,2022-03-25 17:00:00,2022-03-26 06:00:00,3095.7,3129.05,1.0,0.0001,9.784008544965203e-05,0.0,0.00019784008544965204,1.0,1.0,0.0,2.0,-1.7120279000418657,-1.6808235494450618,0.031204350596803727,0.6173939574423323,-1.887461527038001,5,24,19.841464031730844,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,long,,,3380.3,3390.8500000000004,,,reversal,24,0.003121024761115976,0.0029208542905958534,0.00020017047052012238,,,,0.6361814601860369,0.5954139873923531,3.147741442816155,-3.7899530590229347,,,,,,,,3,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,1.0,0.0001,0.00010017047052012237,0.0,0.00020017047052012238,1.0,1.0,0.0,2.0,0.5954139873923531,0.6361814601860369,0.04076747279368386,3.147741442816155,-3.7899530590229347,12,20,16.583318848862827,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,short,,,3390.8500000000004,3445.45,,,position_exit,24,-0.016144767156005657,-0.016341152932975667,0.00019638577697000947,,,,-2.703086408307,-2.7366606227671024,1.081729634093581,-4.576929275604106,,,,,,,,4,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,3390.8500000000004,3445.45,1.0,0.0001,9.638577697000947e-05,0.0,0.00019638577697000947,1.0,1.0,0.0,2.0,-2.7366606227671024,-2.703086408307,0.033574214460102135,1.081729634093581,-4.576929275604106,3,21,20.199132307500516,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,short,,,3413.3,3391.65,,,position_exit,24,0.005836750693178461,0.005635550367325326,0.00020120032585313474,,,,1.0205616069919488,0.9883816260852919,2.9768344333275465,-1.623942141379783,,,,,,,,5,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,3413.3,3391.65,1.0,0.0001,0.00010120032585313474,0.0,0.00020120032585313474,1.0,1.0,0.0,2.0,0.9883816260852919,1.0205616069919488,0.03217998090665685,2.9768344333275465,-1.623942141379783,8,14,21.213809976462194,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-03 07:00:00,2022-04-03 07:00:00,2022-04-03 19:00:00,short,,,3484.3,3500.15,,,position_exit,24,-0.004698722798839761,-0.004897486169263665,0.00019876337042390446,,,,-0.7146694515016012,-0.74609055900781,0.5568560079523713,-1.6638045905620806,,,,,,,,6,2022-04-03 07:00:00,2022-04-03 07:00:00,2022-04-03 19:00:00,3484.3,3500.15,1.0,0.0001,9.876337042390446e-05,0.0,0.00019876337042390446,1.0,1.0,0.0,2.0,-0.74609055900781,-0.7146694515016012,0.03142110750620875,0.5568560079523713,-1.6638045905620806,4,23,22.178085220653085,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-04 15:00:00,2022-04-04 15:00:00,2022-04-05 03:00:00,long,,,3433.8,3524.05,,,position_exit,24,0.02628283534276954,0.02607782927310942,0.00020500606966011858,,,,4.286662979158678,4.254043492537437,5.376734063609547,-1.1660673256326464,,,,,,,,7,2022-04-04 15:00:00,2022-04-04 15:00:00,2022-04-05 03:00:00,3433.8,3524.05,1.0,0.0001,0.00010500606966011858,0.0,0.00020500606966011858,1.0,1.0,0.0,2.0,4.254043492537437,4.286662979158678,0.03261948662124115,5.376734063609547,-1.1660673256326464,15,6,21.053672854335964,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-07 11:30:00,2022-04-07 11:30:00,2022-04-07 23:30:00,short,,,3251.3,3228.0,,,position_exit,24,0.006599272536444989,0.0063983157097908805,0.0002009568266541084,,,,0.9169067249042291,0.8913175503576102,3.6046633476921484,-0.663084906207556,,,,,,,,8,2022-04-07 11:30:00,2022-04-07 11:30:00,2022-04-07 23:30:00,3251.3,3228.0,1.0,0.0001,0.0001009568266541084,0.0,0.0002009568266541084,1.0,1.0,0.0,2.0,0.8913175503576102,0.9169067249042291,0.025589174546618857,3.6046633476921484,-0.663084906207556,8,1,25.41152700394238,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-08 12:30:00,2022-04-08 12:30:00,2022-04-09 01:00:00,short,,,3237.2,3207.7,,,position_exit,24,0.008308698380733448,0.008107309367843207,0.0002013890128902407,,,,1.3001303448674058,1.271596229935848,2.8074001006119835,-3.1026839416496976,,,,,,,,9,2022-04-08 12:30:00,2022-04-08 12:30:00,2022-04-09 01:00:00,3237.2,3207.7,1.0,0.0001,0.00010138901289024069,0.0,0.0002013890128902407,1.0,1.0,0.0,2.0,1.271596229935848,1.3001303448674058,0.028534114931557737,2.8074001006119835,-3.1026839416496976,21,5,22.690032669769405,atr_48,0.0,fractional_return,R,False
