rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,156306.65468597412,0.12759113912504302,gain,asset,0
2,vol_rolling_192,135818.38329935074,0.1108668231311132,gain,asset,0
3,bollinger_bandwidth,110567.28102445602,0.09025466871011602,gain,asset,0
4,ema_trend_48_192,103238.49873924255,0.08427227671248516,gain,asset,0
5,vol_rolling_96,81983.74575805664,0.06692229151742575,gain,asset,0
6,atr_over_price_48,80589.55186510086,0.06578422873103455,gain,asset,0
7,bollinger_bandwidth_rank_192,76861.45342111588,0.06274102927037187,gain,asset,0
8,atr_pct_rank_192,66720.81987857819,0.054463358765930406,gain,asset,0
9,vol_rolling_48,61822.644872665405,0.05046504065277136,gain,asset,0
10,vol_rolling_24,43700.16027832031,0.035671886402148016,gain,asset,0
11,mama_minus_fama_over_atr,42373.08399105072,0.0345886108657434,gain,asset,0
12,close_over_bb_upper_192,38571.74517059326,0.03148562621498216,gain,asset,0
13,ret_48,32527.95832157135,0.02655215968890945,gain,asset,0
14,close_over_bb_mid_192,29829.277323246002,0.02434926062870496,gain,asset,0
15,bollinger_percent_b,23723.461894512177,0.019365160959982936,gain,asset,0
16,distance_from_ema96_atr,22403.952507019043,0.018288062187863007,gain,asset,0
17,atr_pct,15027.28165435791,0.012266579360196853,gain,asset,0
18,rolling_return_48,14239.243353843689,0.011623313693493316,gain,asset,0
19,ret_24,12329.877089500427,0.010064722236437808,gain,asset,0
20,close_over_vwap_32,10483.123104572296,0.008557240388693826,gain,asset,0
21,roofing_filter_over_atr,10206.892235279083,0.008331756634688409,gain,asset,0
22,ret_16,8652.834206581116,0.007063198782520486,gain,asset,0
23,ema_alignment_score,6089.351551055908,0.004970660414254191,gain,asset,0
24,close_minus_decycler_over_atr,4976.335112571716,0.004062119216591162,gain,asset,0
25,distance_from_ema24_atr,4741.416479110718,0.003870358116558632,gain,asset,0
26,frama_slope_over_atr,3821.491057872772,0.003119434666487719,gain,asset,0
27,decycler_slope_over_atr,3286.5056924819946,0.0026827329001901015,gain,asset,0
28,rolling_return_24,3218.1487126350403,0.002626933964800288,gain,asset,0
29,instantaneous_trendline_slope_over_atr,2681.8450932502747,0.002189156124492341,gain,asset,0
30,lag_close_ret_24,1572.722201347351,0.0012837931795053644,gain,asset,0
31,upper_wick_ratio,1408.8629574775696,0.0011500369576508533,gain,asset,0
32,close_ret_over_vol_64,1258.884422302246,0.0010276113821961826,gain,asset,0
33,ret_4,1250.4636917114258,0.0010207376466504607,gain,asset,0
34,lag_close_ret_16,1243.644076347351,0.0010151708811506487,gain,asset,0
35,range_to_atr,1150.1980199813843,0.0009388920509087103,gain,asset,0
36,supersmoother_slope_over_atr,1136.8174481391907,0.0009279696598760325,gain,asset,0
37,ret_8,1005.7925682067871,0.0008210157127271816,gain,asset,0
38,lag_close_ret_2,963.8416390419006,0.0007867717014900697,gain,asset,0
39,lag_close_ret_1,956.5265011787415,0.0007808004472610522,gain,asset,0
40,close_ret,882.187747001648,0.0007201186653775645,gain,asset,0
41,close_ret_robust_z_256,820.2643270492554,0.0006695713633057663,gain,asset,0
42,lag_close_ret_8,775.222318649292,0.0006328041433062279,gain,asset,0
43,close_location,757.3708248138428,0.000618232195373975,gain,asset,0
44,lag_close_ret_4,677.7889447212219,0.0005532705163262741,gain,asset,0
45,body_ratio,606.0832986831665,0.0004947381072098911,gain,asset,0
46,lag_close_ret_48,577.9799065589905,0.0004717976647725217,gain,asset,0
47,lower_wick_ratio,540.943160533905,0.0004415650388851633,gain,asset,0
48,dominant_cycle_phase_normalized,535.138240814209,0.0004368265565662023,gain,asset,0
49,ret_1,145.10340118408203,0.00011844606542946154,gain,asset,0
1,atr_48,1172.0,0.11304012345679013,split,asset,0
2,vol_rolling_192,998.0,0.09625771604938271,split,asset,0
3,bollinger_bandwidth,773.0,0.07455632716049383,split,asset,0
4,ema_trend_48_192,741.0,0.07146990740740741,split,asset,0
5,vol_rolling_96,647.0,0.06240354938271605,split,asset,0
6,bollinger_bandwidth_rank_192,577.0,0.055652006172839504,split,asset,0
7,atr_over_price_48,551.0,0.05314429012345679,split,asset,0
8,atr_pct_rank_192,496.0,0.047839506172839504,split,asset,0
9,vol_rolling_48,485.0,0.04677854938271605,split,asset,0
10,vol_rolling_24,445.0,0.04292052469135803,split,asset,0
11,mama_minus_fama_over_atr,403.0,0.0388695987654321,split,asset,0
12,close_over_bb_upper_192,302.0,0.029128086419753087,split,asset,0
13,ret_48,287.0,0.02768132716049383,split,asset,0
14,close_over_bb_mid_192,244.0,0.02353395061728395,split,asset,0
15,distance_from_ema96_atr,196.0,0.01890432098765432,split,asset,0
16,bollinger_percent_b,188.0,0.018132716049382717,split,asset,0
17,ret_24,156.0,0.015046296296296295,split,asset,0
18,roofing_filter_over_atr,153.0,0.014756944444444444,split,asset,0
19,atr_pct,139.0,0.013406635802469136,split,asset,0
20,ret_16,132.0,0.01273148148148148,split,asset,0
21,close_over_vwap_32,102.0,0.009837962962962963,split,asset,0
22,frama_slope_over_atr,85.0,0.008198302469135802,split,asset,0
23,rolling_return_48,80.0,0.007716049382716049,split,asset,0
24,close_minus_decycler_over_atr,80.0,0.007716049382716049,split,asset,0
25,lag_close_ret_1,56.0,0.005401234567901234,split,asset,0
26,distance_from_ema24_atr,55.0,0.005304783950617284,split,asset,0
27,ret_4,53.0,0.005111882716049383,split,asset,0
28,lag_close_ret_24,52.0,0.005015432098765432,split,asset,0
29,upper_wick_ratio,52.0,0.005015432098765432,split,asset,0
30,lag_close_ret_16,51.0,0.004918981481481482,split,asset,0
31,lag_close_ret_2,49.0,0.00472608024691358,split,asset,0
32,close_ret_over_vol_64,48.0,0.004629629629629629,split,asset,0
33,instantaneous_trendline_slope_over_atr,43.0,0.004147376543209877,split,asset,0
34,lag_close_ret_4,41.0,0.0039544753086419755,split,asset,0
35,close_ret,37.0,0.0035686728395061726,split,asset,0
36,rolling_return_24,37.0,0.0035686728395061726,split,asset,0
37,ema_alignment_score,36.0,0.003472222222222222,split,asset,0
38,supersmoother_slope_over_atr,36.0,0.003472222222222222,split,asset,0
39,range_to_atr,35.0,0.0033757716049382714,split,asset,0
40,decycler_slope_over_atr,34.0,0.003279320987654321,split,asset,0
41,close_location,34.0,0.003279320987654321,split,asset,0
42,lag_close_ret_8,30.0,0.0028935185185185184,split,asset,0
43,lag_close_ret_48,29.0,0.0027970679012345677,split,asset,0
44,lower_wick_ratio,28.0,0.002700617283950617,split,asset,0
45,ret_8,27.0,0.0026041666666666665,split,asset,0
46,close_ret_robust_z_256,26.0,0.002507716049382716,split,asset,0
47,dominant_cycle_phase_normalized,22.0,0.0021219135802469135,split,asset,0
48,body_ratio,21.0,0.002025462962962963,split,asset,0
49,ret_1,4.0,0.00038580246913580245,split,asset,0
1,atr_48,154145.00820064545,0.11557489244436926,gain,asset,1
2,vol_rolling_192,144801.68102312088,0.10856944967187711,gain,asset,1
3,bollinger_bandwidth,128007.33876180649,0.09597738248019229,gain,asset,1
4,ema_trend_48_192,107384.18064212799,0.08051454453708799,gain,asset,1
5,vol_rolling_96,99787.58643865585,0.07481876776002247,gain,asset,1
6,atr_over_price_48,90819.06485271454,0.06809434684117606,gain,asset,1
7,bollinger_bandwidth_rank_192,90688.87249040604,0.06799673117105785,gain,asset,1
8,atr_pct_rank_192,68345.47449302673,0.051244091234592906,gain,asset,1
9,vol_rolling_48,66443.16432857513,0.049817776524705315,gain,asset,1
10,mama_minus_fama_over_atr,50642.910131931305,0.037971056992965345,gain,asset,1
11,vol_rolling_24,46853.54196834564,0.03512986334647076,gain,asset,1
12,close_over_bb_upper_192,40304.29562520981,0.030219367375596797,gain,asset,1
13,close_over_bb_mid_192,33669.12475681305,0.025244446887307145,gain,asset,1
14,ret_48,33330.421161174774,0.024990493599468852,gain,asset,1
15,bollinger_percent_b,26859.14486503601,0.020138458034810833,gain,asset,1
16,atr_pct,20998.760764598846,0.01574445741165033,gain,asset,1
17,distance_from_ema96_atr,20647.450846672058,0.015481052151545,gain,asset,1
18,roofing_filter_over_atr,12857.768834114075,0.009640501936611366,gain,asset,1
19,ret_24,11936.766527175903,0.008949952538950433,gain,asset,1
20,close_over_vwap_32,11022.063165187836,0.008264125966203647,gain,asset,1
21,rolling_return_48,10281.70128440857,0.007709017203748009,gain,asset,1
