metric,value
counterfactual.baseline.avg_r,0.7619415539863367
counterfactual.baseline.median_r,0.5491602615469612
counterfactual.baseline.profit_factor,1.6639971614323603
counterfactual.baseline.trade_count,321
counterfactual.baseline.win_rate,0.5887850467289719
counterfactual.best_policy_by_avg_r,baseline
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.05821074728493233
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.2525202554683389
counterfactual.breakeven_after_0_5r.trade_count,321
counterfactual.breakeven_after_0_5r.win_rate,0.009345794392523364
counterfactual.breakeven_after_1_0r.avg_r,0.1324042770353971
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.345632962668649
counterfactual.breakeven_after_1_0r.trade_count,321
counterfactual.breakeven_after_1_0r.win_rate,0.1308411214953271
counterfactual.exit_at_first_0_5r.avg_r,0.4049900239479105
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,6.200445858505822
counterfactual.exit_at_first_0_5r.trade_count,321
counterfactual.exit_at_first_0_5r.win_rate,0.9657320872274143
counterfactual.exit_at_first_1_0r.avg_r,0.4974508793045984
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.2985639516026164
counterfactual.exit_at_first_1_0r.trade_count,321
counterfactual.exit_at_first_1_0r.win_rate,0.8847352024922118
counterfactual.partial_50pct_at_1r.avg_r,0.6296962166454676
counterfactual.partial_50pct_at_1r.median_r,0.7663977347042155
counterfactual.partial_50pct_at_1r.profit_factor,1.973048142009937
counterfactual.partial_50pct_at_1r.trade_count,321
counterfactual.partial_50pct_at_1r.win_rate,0.6947040498442367
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.6522341954945946
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.39901606572975423
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.5603908520961505
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,321
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5669781931464174
counterfactual.trail_0_5r_after_1_0r.avg_r,0.6539135844097815
counterfactual.trail_0_5r_after_1_0r.median_r,0.8285257951178775
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.7069999139710985
counterfactual.trail_0_5r_after_1_0r.trade_count,321
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8847352024922118
