trade_id,policy,counterfactual_r
0,baseline,-0.3021536549755922
0,breakeven_after_0_5r,-0.3021536549755922
0,breakeven_after_1_0r,-0.3021536549755922
0,exit_at_first_0_5r,-0.3021536549755922
0,exit_at_first_1_0r,-0.3021536549755922
0,trail_0_5r_after_1_0r,-0.3021536549755922
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.3021536549755922
0,partial_50pct_at_1r,-0.3021536549755922
1,baseline,-2.5205992372830166
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,0.9681921352293943
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830166
1,partial_50pct_at_1r,-0.7602996186415083
2,baseline,0.2115256809145583
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.6414876981898394
2,time_exit_after_4_bars_if_mfe_lt_0_3r,0.2115256809145583
2,partial_50pct_at_1r,0.6057628404572791
3,baseline,0.5954139873923531
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.5492471476053669
3,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923531
3,partial_50pct_at_1r,0.7977069936961765
4,baseline,-2.7366606227671024
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.5817296340935809
4,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.7366606227671024
4,partial_50pct_at_1r,-0.8683303113835512
5,baseline,0.9883816260852919
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.7798266803617269
5,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852919
5,partial_50pct_at_1r,0.994190813042646
6,baseline,0.2126664922351459
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.8522449727660659
6,time_exit_after_4_bars_if_mfe_lt_0_3r,0.2126664922351459
6,partial_50pct_at_1r,0.606333246117573
7,baseline,4.693390021318769
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.8146156782058809
7,time_exit_after_4_bars_if_mfe_lt_0_3r,4.693390021318769
7,partial_50pct_at_1r,2.8466950106593845
8,baseline,-1.040884199507897
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.5098302587876584
8,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.040884199507897
8,partial_50pct_at_1r,-0.020442099753948506
9,baseline,0.4622165292963623
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.9628615082072018
9,time_exit_after_4_bars_if_mfe_lt_0_3r,0.4622165292963623
9,partial_50pct_at_1r,0.7311082646481811
10,baseline,2.0434484266243516
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.7415347730822268
10,time_exit_after_4_bars_if_mfe_lt_0_3r,2.0434484266243516
10,partial_50pct_at_1r,1.5217242133121758
11,baseline,4.730865209002442
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,4.730865209002442
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,0.8199279261763441
