probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.231, 0.364]","(0.231, 0.364]",33,0.33312736948331195,0.5757575757575758,-0.6141353167157936,-0.6141353167157936,0.594549250110309,3.046471155933437,-3.782223074425253,3.6606064726492304,0.6876136722762379,-0.6535174225748537,24.12121212121212
"(0.364, 0.395]","(0.364, 0.395]",32,0.38232446648180485,0.5625,0.9460694690618251,0.9460694690618251,0.192156757748448,3.8160448891742424,-2.129651964088413,2.869975420112418,2.102186115367324,0.9065381677844678,24.15625
"(0.395, 0.406]","(0.395, 0.406]",32,0.40081819985061884,0.65625,1.3265073085800145,1.3265073085800145,1.6424825577052578,5.149987469440414,-2.9111771254129684,3.823480160860399,1.8256769923916065,1.285600531374822,24.0
"(0.406, 0.414]","(0.406, 0.414]",32,0.40907205920666456,0.625,0.7881027113230726,0.7881027113230726,1.0975099318370996,3.647825519900321,-2.8551260907843177,2.8597228085772484,1.6134335707225063,0.7496173311705389,24.1875
"(0.414, 0.572]","(0.414, 0.572]",32,0.5025014644488692,0.75,1.2934362495946914,1.2934362495946914,0.9562045247549871,3.4121720900390367,-1.8225758841540676,2.1187358404443453,2.97791850960021,1.2593541897391174,24.0625
"(0.572, 0.583]","(0.572, 0.583]",32,0.5777832753956318,0.65625,1.1985303250672785,1.1985303250672785,0.8718221500986492,4.2100586269919145,-3.2558309643545775,3.0115283019246357,1.9123086609109674,1.155455668303302,24.09375
"(0.583, 0.599]","(0.583, 0.599]",32,0.5912129282951355,0.5,0.2633940228048065,0.2633940228048065,0.10531170987875035,3.2130162223011314,-3.2062111305755012,2.949622199496325,1.1799838875314583,0.22347390195886702,24.03125
"(0.599, 0.619]","(0.599, 0.619]",32,0.6078176070004702,0.65625,1.0043816955855658,1.0043816955855658,0.5098397763424234,3.2282931557440477,-1.947453461006063,2.2239114601584817,2.5156849520042073,0.9651988477865959,24.0625
"(0.619, 0.645]","(0.619, 0.645]",32,0.6309767104685307,0.40625,0.4076417340096261,0.4076417340096261,-0.12947149627206284,2.659042198693494,-2.5663819634046137,2.251400464683868,1.6737040460937176,0.3705796563584103,24.125
"(0.645, 0.803]","(0.645, 0.803]",32,0.679028233513236,0.5,1.0484897427617221,1.0484897427617221,0.0033055251638279687,3.7378373714665054,-2.9642058798210194,2.689347628704784,2.0129897274647712,0.9998307312189593,24.59375
