rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,147712.82881736755,0.12062511850426424,gain,asset,0
2,vol_rolling_192,134789.41282224655,0.11007161006242953,gain,asset,0
3,bollinger_bandwidth,114869.31532907486,0.09380447781692065,gain,asset,0
4,ema_trend_48_192,104985.1894788742,0.08573291178208664,gain,asset,0
5,vol_rolling_96,81244.01145982742,0.06634541216606386,gain,asset,0
6,atr_over_price_48,76783.43355512619,0.0627028190165051,gain,asset,0
7,bollinger_bandwidth_rank_192,76767.04556751251,0.06268943627267863,gain,asset,0
8,vol_rolling_48,65504.48561382294,0.05349221460986086,gain,asset,0
9,atr_pct_rank_192,62551.8935585022,0.051081071519451515,gain,asset,0
10,vol_rolling_24,42184.5834312439,0.034448736891622825,gain,asset,0
11,mama_minus_fama_over_atr,41809.5446434021,0.03414247305124207,gain,asset,0
12,close_over_bb_upper_192,35623.85222673416,0.029091118427778458,gain,asset,0
13,close_over_bb_mid_192,31183.728582382202,0.025465228618060266,gain,asset,0
14,ret_48,29668.425983905792,0.02422780356179091,gain,asset,0
15,bollinger_percent_b,28436.335701942444,0.023221655094797997,gain,asset,0
16,distance_from_ema96_atr,19270.19447183609,0.01573640901996011,gain,asset,0
17,ret_24,15364.69983959198,0.012547107477203225,gain,asset,0
18,atr_pct,15186.539191246033,0.012401618087475962,gain,asset,0
19,rolling_return_48,14613.883393287659,0.011933976420574508,gain,asset,0
20,close_over_vwap_48,12727.908120155334,0.01039385297537954,gain,asset,0
21,ret_16,12112.21249961853,0.00989106416695699,gain,asset,0
22,roofing_filter_over_atr,11453.509965896606,0.00935315509145275,gain,asset,0
23,ema_alignment_score,6576.204908370972,0.005370254586088493,gain,asset,0
24,distance_from_ema24_atr,5056.930013179779,0.004129585676419329,gain,asset,0
25,frama_slope_over_atr,4050.364321231842,0.003307604898949642,gain,asset,0
26,close_minus_decycler_over_atr,3969.106234550476,0.0032412479926887208,gain,asset,0
27,decycler_slope_over_atr,3469.484475135803,0.0028332473171941226,gain,asset,0
28,rolling_return_24,3454.721218109131,0.0028211913594102995,gain,asset,0
29,instantaneous_trendline_slope_over_atr,3364.2471237182617,0.0027473084851546183,gain,asset,0
30,ret_8,1709.283805847168,0.0013958338167950122,gain,asset,0
31,lag_close_ret_2,1370.8514332771301,0.0011194634745993841,gain,asset,0
32,range_to_atr,1328.8573899269104,0.0010851703363787594,gain,asset,0
33,ret_4,1294.0679025650024,0.0010567605762426152,gain,asset,0
34,lag_close_ret_16,1191.5892391204834,0.0009730745415148021,gain,asset,0
35,close_ret_robust_z_192,1117.770649433136,0.0009127928706528668,gain,asset,0
36,close_ret_over_vol_48,1116.7978773117065,0.000911998486350809,gain,asset,0
37,lag_close_ret_24,1109.7368993759155,0.0009062323568475018,gain,asset,0
38,close_location,1098.1401724815369,0.0008967622480756661,gain,asset,0
39,supersmoother_slope_over_atr,1090.3650221824646,0.0008904129117741209,gain,asset,0
40,lag_close_ret_8,1088.1249375343323,0.0008885836158469902,gain,asset,0
41,lag_close_ret_4,1031.655659198761,0.000842469724145001,gain,asset,0
42,lag_close_ret_1,957.4909629821777,0.0007819054160778992,gain,asset,0
43,lag_close_ret_48,849.571521282196,0.0006937763378644587,gain,asset,0
44,upper_wick_ratio,799.5926837921143,0.000652962664176032,gain,asset,0
45,close_ret,786.260365486145,0.0006420752382938664,gain,asset,0
46,dominant_cycle_phase_normalized,669.0665640830994,0.0005463725407327358,gain,asset,0
47,lower_wick_ratio,635.313702583313,0.0005188093090834137,gain,asset,0
48,body_ratio,473.9339199066162,0.00038702349490990463,gain,asset,0
49,ret_1,58.545151233673096,4.7809089176292065e-05,gain,asset,0
1,atr_48,1105.0,0.10636249879680432,split,asset,0
2,vol_rolling_192,996.0,0.09587063239965347,split,asset,0
3,bollinger_bandwidth,820.0,0.07892963711618058,split,asset,0
4,ema_trend_48_192,791.0,0.07613822312060833,split,asset,0
5,vol_rolling_96,642.0,0.061796130522668205,split,asset,0
6,bollinger_bandwidth_rank_192,569.0,0.05476946770622774,split,asset,0
7,atr_over_price_48,563.0,0.05419193377610935,split,asset,0
8,vol_rolling_48,513.0,0.049379151025122726,split,asset,0
9,atr_pct_rank_192,460.0,0.04427760130907691,split,asset,0
10,vol_rolling_24,428.0,0.04119742034844547,split,asset,0
11,mama_minus_fama_over_atr,395.0,0.0380209837327943,split,asset,0
12,close_over_bb_upper_192,282.0,0.02714409471556454,split,asset,0
13,close_over_bb_mid_192,258.0,0.02483395899509096,split,asset,0
14,ret_48,256.0,0.024641447685051495,split,asset,0
15,bollinger_percent_b,204.0,0.01963615362402541,split,asset,0
16,distance_from_ema96_atr,195.0,0.01876985272884782,split,asset,0
17,ret_24,159.0,0.015304649148137454,split,asset,0
18,roofing_filter_over_atr,158.0,0.015208393493117721,split,asset,0
19,close_over_vwap_48,147.0,0.014149581287900665,split,asset,0
20,ret_16,138.0,0.013283280392723073,split,asset,0
21,atr_pct,122.0,0.011743189912407354,split,asset,0
22,frama_slope_over_atr,84.0,0.008085475021657523,split,asset,0
23,close_minus_decycler_over_atr,75.0,0.007219174126479931,split,asset,0
24,rolling_return_48,72.0,0.006930407161420733,split,asset,0
25,distance_from_ema24_atr,68.0,0.006545384541341803,split,asset,0
26,ret_4,55.0,0.0052940610260852825,split,asset,0
27,lag_close_ret_4,54.0,0.0051978053710655505,split,asset,0
28,lag_close_ret_2,52.0,0.005005294061026086,split,asset,0
29,instantaneous_trendline_slope_over_atr,49.0,0.004716527095966888,split,asset,0
30,lag_close_ret_1,48.0,0.004620271440947156,split,asset,0
31,lag_close_ret_16,45.0,0.004331504475887958,split,asset,0
32,close_ret_over_vol_48,44.0,0.004235248820868226,split,asset,0
33,decycler_slope_over_atr,43.0,0.0041389931658484935,split,asset,0
34,close_location,41.0,0.003946481855809029,split,asset,0
35,close_ret_robust_z_192,39.0,0.003753970545769564,split,asset,0
36,lag_close_ret_8,38.0,0.0036577148907498314,split,asset,0
37,range_to_atr,37.0,0.003561459235730099,split,asset,0
38,ret_8,35.0,0.003368947925690634,split,asset,0
39,lag_close_ret_48,35.0,0.003368947925690634,split,asset,0
40,lag_close_ret_24,35.0,0.003368947925690634,split,asset,0
41,ema_alignment_score,34.0,0.0032726922706709017,split,asset,0
42,supersmoother_slope_over_atr,34.0,0.0032726922706709017,split,asset,0
43,upper_wick_ratio,33.0,0.0031764366156511693,split,asset,0
44,rolling_return_24,32.0,0.003080180960631437,split,asset,0
45,close_ret,32.0,0.003080180960631437,split,asset,0
46,lower_wick_ratio,28.0,0.0026951583405525077,split,asset,0
47,dominant_cycle_phase_normalized,25.0,0.0024063913754933104,split,asset,0
48,body_ratio,18.0,0.0017326017903551833,split,asset,0
49,ret_1,3.0,0.00028876696505919725,split,asset,0
1,atr_48,160395.93443393707,0.1202686624443656,gain,asset,1
2,vol_rolling_192,142763.53040266037,0.10704746917656666,gain,asset,1
3,bollinger_bandwidth,121277.62562513351,0.09093682997539367,gain,asset,1
4,ema_trend_48_192,111577.30916118622,0.08366330343294562,gain,asset,1
5,vol_rolling_96,100671.18745946884,0.07548563562515427,gain,asset,1
6,bollinger_bandwidth_rank_192,91519.65400505066,0.06862359955321715,gain,asset,1
7,atr_over_price_48,80385.05223894119,0.06027461199323497,gain,asset,1
8,vol_rolling_48,66253.27058267593,0.04967826811610965,gain,asset,1
9,atr_pct_rank_192,65995.67449569702,0.049485116482053636,gain,asset,1
10,vol_rolling_24,49793.12106657028,0.03733605898890972,gain,asset,1
11,mama_minus_fama_over_atr,45128.2399520874,0.03383822087922924,gain,asset,1
12,close_over_bb_upper_192,44138.754081726074,0.033096280988072144,gain,asset,1
13,close_over_bb_mid_192,33810.91534900665,0.025352223417605034,gain,asset,1
14,ret_48,32701.308133125305,0.02452021370262294,gain,asset,1
15,bollinger_percent_b,26846.95288848877,0.020130479778060213,gain,asset,1
16,distance_from_ema96_atr,20065.897871494293,0.01504588446251321,gain,asset,1
17,atr_pct,18199.57697725296,0.01364647294728664,gain,asset,1
18,ret_24,15434.48302936554,0.011573140154787458,gain,asset,1
19,close_over_vwap_48,14348.745802879333,0.010759028721998408,gain,asset,1
20,roofing_filter_over_atr,12471.522479057312,0.009351442307403653,gain,asset,1
21,ret_16,12424.230366706848,0.009315981563859049,gain,asset,1
22,rolling_return_48,10012.17917919159,0.007507368576917749,gain,asset,1
23,ema_alignment_score,7137.548415184021,0.00535190249089291,gain,asset,1
24,close_minus_decycler_over_atr,7104.568014621735,0.005327173007090817,gain,asset,1
25,distance_from_ema24_atr,5600.014346122742,0.004199023107751154,gain,asset,1
26,rolling_return_24,4478.644844055176,0.0033581937525961575,gain,asset,1
27,frama_slope_over_atr,4060.706629753113,0.0030448138019391253,gain,asset,1
28,instantaneous_trendline_slope_over_atr,4048.1722679138184,0.0030354152411942673,gain,asset,1
29,decycler_slope_over_atr,4038.1990070343018,0.0030279370544782427,gain,asset,1
30,ret_4,2046.3378338813782,0.0015343924710983258,gain,asset,1
31,ret_8,1607.9770693778992,0.0012056992096326658,gain,asset,1
32,supersmoother_slope_over_atr,1491.439691543579,0.001118316729482085,gain,asset,1
33,range_to_atr,1380.7570323944092,0.001035324255772354,gain,asset,1
34,upper_wick_ratio,1288.8355283737183,0.0009663993395800657,gain,asset,1
35,lag_close_ret_16,1264.4114303588867,0.0009480855736481509,gain,asset,1
36,lag_close_ret_48,1256.6185884475708,0.000942242316606618,gain,asset,1
37,lag_close_ret_24,1254.4947381019592,0.0009406498034222896,gain,asset,1
38,lag_close_ret_8,1151.7013006210327,0.0008635728545736798,gain,asset,1
39,close_ret_robust_z_192,1085.5702981948853,0.0008139862660110271,gain,asset,1
40,lag_close_ret_4,1065.2388796806335,0.0007987412878952458,gain,asset,1
41,body_ratio,912.2159156799316,0.000684001052934884,gain,asset,1
42,lag_close_ret_1,878.4323692321777,0.0006586693513662763,gain,asset,1
43,lag_close_ret_2,861.2712984085083,0.0006458015748770547,gain,asset,1
44,close_ret_over_vol_48,792.4647107124329,0.0005942087692440895,gain,asset,1
45,lower_wick_ratio,658.8643245697021,0.0004940320421958429,gain,asset,1
46,close_ret,658.6292152404785,0.0004938557516642049,gain,asset,1
47,close_location,618.5440464019775,0.000463798944694146,gain,asset,1
