feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1100.5,0.101510078288733,10,feature_importances_,1
vol_rolling_192,1078.9,0.09947334380124653,10,feature_importances_,2
bollinger_bandwidth,907.5,0.08365918258576639,10,feature_importances_,3
vol_rolling_96,775.1,0.07142590576830601,10,feature_importances_,4
ema_trend_48_192,741.3,0.06840874246843427,10,feature_importances_,5
bollinger_bandwidth_rank_192,601.1,0.05543183585383016,10,feature_importances_,6
atr_over_price_48,576.9,0.05320533743109292,10,feature_importances_,7
vol_rolling_48,557.7,0.05141689563646077,10,feature_importances_,8
atr_pct_rank_192,470.5,0.04339520690301315,10,feature_importances_,9
vol_rolling_24,413.1,0.038112802877646776,10,feature_importances_,10
mama_minus_fama_over_atr,389.3,0.035909950218006095,10,feature_importances_,11
close_over_bb_upper_192,292.4,0.026973031300107288,10,feature_importances_,12
ret_48,289.8,0.026719589652616987,10,feature_importances_,13
close_over_bb_mid_192,282.5,0.026037719435005623,10,feature_importances_,14
bollinger_percent_b,243.6,0.022451841882459973,10,feature_importances_,15
distance_from_ema96_atr,186.0,0.017162030280822103,10,feature_importances_,16
close_over_vwap_48,177.3,0.016340072998389816,10,feature_importances_,17
ret_24,168.3,0.015519118113561464,10,feature_importances_,18
roofing_filter_over_atr,161.1,0.014860265560128746,10,feature_importances_,19
atr_pct,138.4,0.01275745604834574,10,feature_importances_,20
