fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34969,,0,0,4380,4380,0,0,0,4380,4380,0.4968036529680365,2.705108203501579
1,39396,39349,,0,0,4380,4380,0,0,0,4380,4380,0.5559360730593608,2.656274609073633
2,43752,43705,,0,0,4380,4380,0,0,0,4380,4380,0.5171232876712328,2.7338855117245666
3,48108,48061,,0,0,4380,4380,0,0,0,4380,4380,0.5527397260273973,2.540670720075344
4,52464,52417,,0,0,4380,4380,0,0,0,4380,4380,0.5255707762557078,2.643671881029751
5,56820,56773,,0,0,4380,4380,0,0,0,4380,4380,0.5171232876712328,2.607273131207131
6,61176,61129,,0,0,4380,4380,0,0,0,4380,4380,0.5102739726027398,2.6526732720090305
7,65532,65485,,0,0,4380,4380,0,0,0,4380,4380,0.5232876712328767,2.655207472018307
8,69888,69841,,0,0,4380,4380,0,0,0,4380,4380,0.5422374429223744,2.504673124887104
9,74244,74197,,0,0,4380,4380,0,0,0,4380,4380,0.5235159817351598,2.6356797174539444
