metric,value
counterfactual.baseline.avg_r,0.7889597740475902
counterfactual.baseline.median_r,0.5289037169278934
counterfactual.baseline.profit_factor,1.7227270970488229
counterfactual.baseline.trade_count,300
counterfactual.baseline.win_rate,0.57
counterfactual.best_policy_by_avg_r,baseline
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.06668912353166358
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.3969080002627428
counterfactual.breakeven_after_0_5r.trade_count,300
counterfactual.breakeven_after_0_5r.win_rate,0.016666666666666666
counterfactual.breakeven_after_1_0r.avg_r,0.22866250990816406
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.6762845353413458
counterfactual.breakeven_after_1_0r.trade_count,300
counterfactual.breakeven_after_1_0r.win_rate,0.14333333333333334
counterfactual.exit_at_first_0_5r.avg_r,0.3694213095834179
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,4.340800186651697
counterfactual.exit_at_first_0_5r.trade_count,300
counterfactual.exit_at_first_0_5r.win_rate,0.96
counterfactual.exit_at_first_1_0r.avg_r,0.5361263121817861
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.5856291180558912
counterfactual.exit_at_first_1_0r.trade_count,300
counterfactual.exit_at_first_1_0r.win_rate,0.88
counterfactual.partial_50pct_at_1r.avg_r,0.6625430431146881
counterfactual.partial_50pct_at_1r.median_r,0.757701751690304
counterfactual.partial_50pct_at_1r.profit_factor,2.117865364067145
counterfactual.partial_50pct_at_1r.trade_count,300
counterfactual.partial_50pct_at_1r.win_rate,0.6933333333333334
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.7678852544273866
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.42766303459025445
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.7053573935559552
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,300
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5566666666666666
counterfactual.trail_0_5r_after_1_0r.avg_r,0.7474568717245159
counterfactual.trail_0_5r_after_1_0r.median_r,0.8384761050898383
counterfactual.trail_0_5r_after_1_0r.profit_factor,3.2106532609343255
counterfactual.trail_0_5r_after_1_0r.trade_count,300
counterfactual.trail_0_5r_after_1_0r.win_rate,0.88
