probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.24, 0.366]","(0.24, 0.366]",30,0.3355578869581223,0.4666666666666667,-0.08537776275772728,-0.08537776275772728,-0.3829268229198297,3.7347288745338347,-3.167274540640187,3.8201066372915613,0.9483402151635639,-0.12171017337384539,24.033333333333335
"(0.366, 0.386]","(0.366, 0.386]",30,0.3781446903944016,0.6666666666666666,1.0335307908442515,1.0335307908442515,0.9570601975430532,3.7675493562777813,-2.607271939331331,2.7340185654335296,2.432207507076148,0.9887335360775444,24.066666666666666
"(0.386, 0.405]","(0.386, 0.405]",30,0.3960583577553431,0.7,1.1893391357825343,1.1893391357825343,1.636556897334155,4.430458354488262,-2.9465921840028515,3.2411192187057263,1.8743981641790408,1.1500729900805717,24.0
"(0.405, 0.415]","(0.405, 0.415]",30,0.40951430996259053,0.5333333333333333,0.47720917369808674,0.47720917369808674,0.14611335456354357,3.1868250882814584,-2.694389426060064,2.7096159145833716,1.4840420221407404,0.43967417197761877,24.3
"(0.415, 0.573]","(0.415, 0.573]",30,0.534317535161972,0.6666666666666666,2.856642042545197,2.856642042545197,1.7472514035292628,5.678027966869978,-1.8459325789231786,2.8213859243247823,6.556987226106471,2.81648916058789,24.033333333333335
"(0.573, 0.579]","(0.573, 0.579]",30,0.5760870476563772,0.43333333333333335,-0.8415247511443433,-0.8415247511443433,-0.8984265816281032,2.4786137489116817,-4.20435595700312,3.3201385000560255,0.633859904515019,-0.8843169395002761,24.033333333333335
"(0.579, 0.594]","(0.579, 0.594]",30,0.5855206410090129,0.6,1.574505620854438,1.574505620854438,0.5761127213416626,3.7355808042399685,-2.21682170363136,2.1610751833855306,4.033424336435876,1.5400779299766991,24.0
"(0.594, 0.613]","(0.594, 0.613]",30,0.6034331301848094,0.4666666666666667,-0.1739031028198307,-0.1739031028198307,-0.19757220666684383,2.514164635805545,-3.268317849003319,2.688067738625377,0.8844761641624922,-0.20748459546211653,24.2
"(0.613, 0.648]","(0.613, 0.648]",30,0.6285868803660075,0.5333333333333333,0.6377026373696796,0.6377026373696796,0.15962178691427698,3.0534800960220085,-1.8187225628050478,2.4157774586523293,1.9950342755544073,0.5983655190805368,24.333333333333332
"(0.648, 0.804]","(0.648, 0.804]",30,0.6831642190615336,0.6333333333333333,1.2214739561036174,1.2214739561036174,0.588831255191373,3.496799596344453,-2.4085562640198632,2.275325640240835,2.7004525442717746,1.1740854859946628,24.466666666666665
