feature,mean_importance,mean_importance_normalized,fold_count,source,rank
regime_vol_ratio_24_168,0.10225306557038345,0.10225306506716375,148,feature_importances_,1
shock_atr_multiple_1h,0.08872872852795832,0.08872872805331689,148,feature_importances_,2
lag_close_logret_1,0.0863034031983163,0.08630340272223998,148,feature_importances_,3
regime_absret_z_24_168,0.08306668059447327,0.08306668014745466,148,feature_importances_,4
bb_percent_b_24_2.0,0.08226301722429893,0.08226301680732451,148,feature_importances_,5
shock_strength,0.0815776685202444,0.0815776680768546,148,feature_importances_,6
shock_distance_ema,0.0804526525474078,0.08045265214180354,148,feature_importances_,7
close_rsi_2,0.07961431175873086,0.07961431133631836,148,feature_importances_,8
shock_ret_z_1h,0.07959675003547927,0.07959674963468696,148,feature_importances_,9
close_rsi_14,0.07949657350577213,0.0794965730929897,148,feature_importances_,10
shock_atr_multiple_4h,0.07882418684862755,0.07882418643299462,148,feature_importances_,11
shock_ret_z_4h,0.07782296690385083,0.07782296648685243,148,feature_importances_,12
shock_active_window,0.0,0.0,148,feature_importances_,13
bars_since_shock,0.0,0.0,148,feature_importances_,14
