fold,train_rows_raw,train_rows,train_rows_dropped_missing,test_rows,test_pred_rows,test_rows_missing_features,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,8736,195,8541,336,9,327,9,0,0.4444444444444444,
1,9072,204,8868,336,15,321,15,0,0.26666666666666666,
2,9408,221,9187,336,7,329,7,0,0.2857142857142857,
3,9744,228,9516,336,5,331,5,0,0.6,
4,10080,233,9847,336,17,319,17,0,0.35294117647058826,
5,10416,250,10166,336,6,330,6,0,0.6666666666666666,
6,10752,255,10497,336,8,328,8,0,0.125,
7,11088,264,10824,336,6,330,6,0,1.0,
8,11424,270,11154,336,4,332,4,0,0.75,
9,11760,274,11486,336,9,327,9,0,0.7777777777777778,
10,12096,283,11813,336,5,331,5,0,0.0,
11,12432,288,12144,336,7,329,7,0,0.42857142857142855,
12,12768,295,12473,336,3,333,3,0,0.6666666666666666,
13,13104,298,12806,336,16,320,16,0,0.4375,
14,13440,313,13127,336,4,332,4,0,0.25,
15,13776,317,13459,336,11,325,11,0,0.45454545454545453,
16,14112,329,13783,336,8,328,8,0,0.625,
17,14448,337,14111,336,11,325,11,0,0.5454545454545454,
18,14784,348,14436,336,10,326,10,0,0.5,
19,15120,358,14762,336,9,327,9,0,0.6666666666666666,
20,15456,366,15090,336,12,324,12,0,0.6666666666666666,
21,15792,379,15413,336,6,330,6,0,0.6666666666666666,
22,16128,385,15743,336,5,331,5,0,0.4,
23,16464,388,16076,336,2,334,2,0,0.5,
24,16800,392,16408,336,14,322,14,0,0.7142857142857143,
25,17136,404,16732,336,12,324,12,0,0.6666666666666666,
26,17472,418,17054,336,4,332,4,0,0.25,
27,17808,422,17386,336,7,329,7,0,0.5714285714285714,
28,18144,429,17715,336,3,333,3,0,1.0,
29,18480,432,18048,336,6,330,6,0,0.3333333333333333,
30,18816,438,18378,336,7,329,7,0,0.7142857142857143,
31,19152,442,18710,336,6,330,6,0,0.6666666666666666,
32,19488,451,19037,336,6,330,6,0,0.16666666666666666,
33,19824,455,19369,336,3,333,3,0,0.3333333333333333,
34,20160,460,19700,336,10,326,10,0,0.3,
35,20496,470,20026,336,7,329,7,0,0.5714285714285714,
36,20832,474,20358,336,10,326,10,0,0.5,
37,21168,487,20681,336,5,331,5,0,0.4,
38,21504,492,21012,336,11,325,11,0,0.5454545454545454,
39,21840,500,21340,336,3,333,3,0,0.3333333333333333,
40,22176,506,21670,336,4,332,4,0,0.25,
41,22512,510,22002,336,8,328,8,0,0.375,
42,22848,518,22330,336,3,333,3,0,0.6666666666666666,
43,23184,521,22663,336,3,333,3,0,0.3333333333333333,
44,23520,524,22996,336,4,332,4,0,0.5,
45,23856,528,23328,336,4,332,4,0,0.75,
46,24192,532,23660,336,6,330,6,0,0.6666666666666666,
47,24528,537,23991,336,0,336,0,0,,
48,24864,538,24326,336,7,329,7,0,0.14285714285714285,
49,25200,545,24655,336,4,332,4,0,0.0,
50,25536,549,24987,336,7,329,7,0,0.7142857142857143,
51,25872,556,25316,336,6,330,6,0,0.3333333333333333,
52,26208,562,25646,336,10,326,10,0,0.5,
53,26544,570,25974,336,4,332,4,0,0.75,
54,26880,576,26304,336,10,326,10,0,0.9,
55,27216,586,26630,336,6,330,6,0,0.5,
56,27552,592,26960,336,9,327,9,0,0.2222222222222222,
57,27888,599,27289,336,3,333,3,0,0.3333333333333333,
58,28224,604,27620,336,4,332,4,0,0.25,
59,28560,608,27952,336,5,331,5,0,1.0,
60,28896,612,28284,336,8,328,8,0,0.5,
61,29232,618,28614,336,9,327,9,0,0.5555555555555556,
62,29568,630,28938,336,5,331,5,0,0.4,
63,29904,635,29269,336,2,334,2,0,0.5,
64,30240,637,29603,336,4,332,4,0,0.5,
65,30576,641,29935,336,7,329,7,0,0.5714285714285714,
66,30912,648,30264,336,5,331,5,0,0.4,
67,31248,653,30595,336,9,327,9,0,0.3333333333333333,
68,31584,662,30922,336,2,334,2,0,0.0,
69,31920,664,31256,336,9,327,9,0,0.3333333333333333,
70,32256,673,31583,336,12,324,12,0,0.3333333333333333,
71,32592,683,31909,336,6,330,6,0,0.5,
72,32928,691,32237,336,12,324,12,0,0.5,
73,33264,701,32563,336,10,326,10,0,0.6,
74,33600,712,32888,336,3,333,3,0,0.3333333333333333,
75,33936,716,33220,336,2,334,2,0,1.0,
76,34272,718,33554,336,10,326,10,0,0.4,
77,34608,728,33880,336,10,326,10,0,0.4,
78,34944,736,34208,336,10,326,10,0,0.1,
79,35280,748,34532,336,9,327,9,0,0.5555555555555556,
80,35616,755,34861,336,9,327,9,0,0.7777777777777778,
81,35952,766,35186,336,9,327,9,0,0.6666666666666666,
82,36288,771,35517,336,1,335,1,0,0.0,
83,36624,776,35848,336,3,333,3,0,0.6666666666666666,
84,36960,779,36181,336,8,328,8,0,0.625,
85,37296,787,36509,336,5,331,5,0,0.4,
86,37632,792,36840,336,12,324,12,0,0.5,
87,37968,804,37164,336,13,323,13,0,0.6923076923076923,
88,38304,815,37489,336,2,334,2,0,1.0,
89,38640,819,37821,336,10,326,10,0,0.8,
90,38976,828,38148,336,6,330,6,0,0.3333333333333333,
91,39312,832,38480,336,10,326,10,0,0.6,
92,39648,845,38803,336,7,329,7,0,0.5714285714285714,
93,39984,852,39132,336,8,328,8,0,0.25,
94,40320,860,39460,336,10,326,10,0,0.7,
95,40656,870,39786,336,1,335,1,0,0.0,
96,40992,871,40121,336,5,331,5,0,0.4,
97,41328,876,40452,336,8,328,8,0,0.5,
98,41664,883,40781,336,6,330,6,0,0.3333333333333333,
99,42000,890,41110,336,14,322,14,0,0.21428571428571427,
100,42336,900,41436,336,1,335,1,0,1.0,
101,42672,905,41767,336,9,327,9,0,0.4444444444444444,
102,43008,914,42094,336,5,331,5,0,0.6,
103,43344,919,42425,336,6,330,6,0,0.3333333333333333,
104,43680,925,42755,336,6,330,6,0,0.6666666666666666,
105,44016,930,43086,336,5,331,5,0,0.8,
106,44352,936,43416,336,12,324,12,0,0.3333333333333333,
107,44688,948,43740,336,4,332,4,0,0.25,
108,45024,950,44074,336,5,331,5,0,0.6,
109,45360,957,44403,336,9,327,9,0,0.5555555555555556,
110,45696,966,44730,336,9,327,9,0,0.2222222222222222,
111,46032,975,45057,336,9,327,9,0,0.4444444444444444,
