fold,train_rows_raw,train_rows,train_rows_dropped_missing,test_rows,test_pred_rows,test_rows_missing_features,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,8736,175,8561,336,8,328,8,0,0.5,
1,9072,183,8889,336,14,322,14,0,0.2857142857142857,
2,9408,199,9209,336,6,330,6,0,0.5,
3,9744,205,9539,336,4,332,4,0,0.75,
4,10080,209,9871,336,13,323,13,0,0.38461538461538464,
5,10416,222,10194,336,6,330,6,0,0.6666666666666666,
6,10752,227,10525,336,7,329,7,0,0.0,
7,11088,235,10853,336,5,331,5,0,0.8,
8,11424,240,11184,336,3,333,3,0,1.0,
9,11760,243,11517,336,9,327,9,0,1.0,
10,12096,252,11844,336,4,332,4,0,0.25,
11,12432,256,12176,336,7,329,7,0,0.42857142857142855,
12,12768,263,12505,336,3,333,3,0,0.6666666666666666,
13,13104,266,12838,336,16,320,16,0,0.5,
14,13440,281,13159,336,4,332,4,0,0.25,
15,13776,285,13491,336,10,326,10,0,0.4,
16,14112,296,13816,336,7,329,7,0,0.5714285714285714,
17,14448,303,14145,336,11,325,11,0,0.5454545454545454,
18,14784,314,14470,336,8,328,8,0,0.5,
19,15120,322,14798,336,8,328,8,0,0.625,
20,15456,329,15127,336,11,325,11,0,0.6363636363636364,
21,15792,341,15451,336,4,332,4,0,0.5,
22,16128,345,15783,336,5,331,5,0,0.6,
23,16464,348,16116,336,2,334,2,0,0.0,
24,16800,352,16448,336,12,324,12,0,0.6666666666666666,
25,17136,363,16773,336,12,324,12,0,0.6666666666666666,
26,17472,376,17096,336,4,332,4,0,0.25,
27,17808,380,17428,336,7,329,7,0,0.5714285714285714,
28,18144,387,17757,336,3,333,3,0,1.0,
29,18480,390,18090,336,5,331,5,0,0.4,
30,18816,395,18421,336,7,329,7,0,0.7142857142857143,
31,19152,399,18753,336,6,330,6,0,0.6666666666666666,
32,19488,408,19080,336,4,332,4,0,0.5,
33,19824,410,19414,336,3,333,3,0,0.0,
34,20160,415,19745,336,9,327,9,0,0.5555555555555556,
35,20496,424,20072,336,7,329,7,0,0.5714285714285714,
36,20832,428,20404,336,8,328,8,0,0.375,
37,21168,439,20729,336,5,331,5,0,0.4,
38,21504,444,21060,336,9,327,9,0,0.3333333333333333,
39,21840,451,21389,336,3,333,3,0,0.6666666666666666,
40,22176,456,21720,336,4,332,4,0,0.25,
41,22512,460,22052,336,5,331,5,0,0.6,
42,22848,465,22383,336,3,333,3,0,0.3333333333333333,
43,23184,468,22716,336,3,333,3,0,0.3333333333333333,
44,23520,471,23049,336,3,333,3,0,0.3333333333333333,
45,23856,474,23382,336,3,333,3,0,1.0,
46,24192,477,23715,336,5,331,5,0,0.8,
47,24528,481,24047,336,0,336,0,0,,
48,24864,482,24382,336,6,330,6,0,0.3333333333333333,
49,25200,488,24712,336,3,333,3,0,0.3333333333333333,
50,25536,491,25045,336,7,329,7,0,0.42857142857142855,
51,25872,498,25374,336,6,330,6,0,0.5,
52,26208,504,25704,336,9,327,9,0,0.5555555555555556,
53,26544,511,26033,336,3,333,3,0,0.6666666666666666,
54,26880,516,26364,336,7,329,7,0,0.8571428571428571,
55,27216,523,26693,336,6,330,6,0,0.3333333333333333,
56,27552,529,27023,336,7,329,7,0,0.42857142857142855,
57,27888,534,27354,336,3,333,3,0,0.3333333333333333,
58,28224,539,27685,336,4,332,4,0,0.0,
59,28560,543,28017,336,5,331,5,0,1.0,
60,28896,547,28349,336,7,329,7,0,0.5714285714285714,
61,29232,552,28680,336,9,327,9,0,0.4444444444444444,
62,29568,564,29004,336,5,331,5,0,0.4,
63,29904,569,29335,336,2,334,2,0,0.5,
64,30240,571,29669,336,4,332,4,0,0.25,
65,30576,575,30001,336,5,331,5,0,0.4,
66,30912,580,30332,336,5,331,5,0,0.6,
67,31248,585,30663,336,8,328,8,0,0.375,
68,31584,593,30991,336,2,334,2,0,0.0,
69,31920,595,31325,336,8,328,8,0,0.375,
70,32256,603,31653,336,12,324,12,0,0.3333333333333333,
71,32592,613,31979,336,5,331,5,0,0.4,
72,32928,620,32308,336,11,325,11,0,0.5454545454545454,
73,33264,629,32635,336,8,328,8,0,0.625,
74,33600,638,32962,336,3,333,3,0,0.3333333333333333,
75,33936,642,33294,336,2,334,2,0,0.5,
76,34272,644,33628,336,9,327,9,0,0.3333333333333333,
77,34608,653,33955,336,9,327,9,0,0.4444444444444444,
78,34944,660,34284,336,8,328,8,0,0.0,
79,35280,670,34610,336,9,327,9,0,0.4444444444444444,
80,35616,677,34939,336,9,327,9,0,0.7777777777777778,
81,35952,688,35264,336,8,328,8,0,0.625,
82,36288,693,35595,336,1,335,1,0,0.0,
83,36624,697,35927,336,3,333,3,0,0.6666666666666666,
84,36960,700,36260,336,7,329,7,0,0.7142857142857143,
85,37296,707,36589,336,5,331,5,0,0.6,
86,37632,712,36920,336,12,324,12,0,0.5,
87,37968,724,37244,336,12,324,12,0,0.6666666666666666,
88,38304,734,37570,336,2,334,2,0,1.0,
89,38640,738,37902,336,9,327,9,0,0.5555555555555556,
90,38976,746,38230,336,4,332,4,0,0.0,
91,39312,749,38563,336,10,326,10,0,0.7,
92,39648,761,38887,336,6,330,6,0,0.5,
93,39984,767,39217,336,8,328,8,0,0.25,
94,40320,775,39545,336,8,328,8,0,0.75,
95,40656,783,39873,336,1,335,1,0,0.0,
96,40992,784,40208,336,5,331,5,0,0.6,
97,41328,789,40539,336,5,331,5,0,0.6,
98,41664,793,40871,336,6,330,6,0,0.3333333333333333,
99,42000,800,41200,336,13,323,13,0,0.3076923076923077,
100,42336,809,41527,336,1,335,1,0,1.0,
101,42672,814,41858,336,7,329,7,0,0.2857142857142857,
102,43008,821,42187,336,5,331,5,0,0.8,
103,43344,826,42518,336,5,331,5,0,0.2,
104,43680,831,42849,336,6,330,6,0,0.6666666666666666,
105,44016,836,43180,336,4,332,4,0,0.75,
106,44352,841,43511,336,11,325,11,0,0.36363636363636365,
107,44688,852,43836,336,4,332,4,0,0.25,
108,45024,854,44170,336,3,333,3,0,0.6666666666666666,
109,45360,859,44501,336,8,328,8,0,0.625,
110,45696,867,44829,336,8,328,8,0,0.25,
111,46032,875,45157,336,9,327,9,0,0.4444444444444444,
112,46368,883,45485,336,5,331,5,0,1.0,
113,46704,889,45815,336,4,332,4,0,0.5,
114,47040,893,46147,336,7,329,7,0,0.7142857142857143,
115,47376,898,46478,336,7,329,7,0,0.7142857142857143,
116,47712,907,46805,336,2,334,2,0,0.0,
117,48048,909,47139,336,4,332,4,0,0.5,
118,48384,913,47471,336,4,332,4,0,0.25,
119,48720,917,47803,336,5,331,5,0,1.0,
120,49056,922,48134,336,6,330,6,0,0.5,
121,49392,925,48467,336,7,329,7,0,0.2857142857142857,
122,49728,935,48793,336,9,327,9,0,0.6666666666666666,
123,50064,944,49120,336,7,329,7,0,0.7142857142857143,
124,50400,951,49449,336,3,333,3,0,0.3333333333333333,
125,50736,954,49782,336,3,333,3,0,0.3333333333333333,
126,51072,957,50115,336,4,332,4,0,0.25,
127,51408,961,50447,336,3,333,3,0,0.3333333333333333,
128,51744,964,50780,336,12,324,12,0,0.5833333333333334,
129,52080,976,51104,336,7,329,7,0,0.8571428571428571,
130,52416,983,51433,336,5,331,5,0,0.6,
131,52752,987,51765,336,2,334,2,0,0.5,
132,53088,990,52098,336,7,329,7,0,0.5714285714285714,
133,53424,997,52427,336,8,328,8,0,0.375,
134,53760,1005,52755,336,5,331,5,0,0.8,
135,54096,1010,53086,336,3,333,3,0,0.3333333333333333,
136,54432,1013,53419,336,12,324,12,0,0.5833333333333334,
137,54768,1025,53743,336,10,326,10,0,0.6,
138,55104,1035,54069,336,12,324,12,0,0.75,
139,55440,1046,54394,336,4,332,4,0,0.5,
140,55776,1051,54725,336,6,330,6,0,0.6666666666666666,
141,56112,1057,55055,336,2,334,2,0,0.5,
142,56448,1059,55389,336,8,328,8,0,0.625,
143,56784,1065,55719,336,1,335,1,0,1.0,
144,57120,1068,56052,336,2,334,2,0,0.0,
145,57456,1070,56386,336,6,330,6,0,0.6666666666666666,
146,57792,1076,56716,336,8,328,8,0,0.375,
147,58128,1084,57044,34,3,31,1,0,1.0,
