rank,feature,importance,importance_normalized,importance_type,asset,fold
1,ema_trend_48_192,100368.9406504631,0.19729358718856418,gain,asset,0
2,ema_trend_24_96,68134.38250136375,0.13393064276114552,gain,asset,0
3,mama_minus_fama_over_atr,67648.40089273453,0.1329753566511921,gain,asset,0
4,distance_from_ema96_atr,40385.48598527908,0.07938509013597358,gain,asset,0
5,close_over_ema_192,37941.25607609749,0.07458050732807692,gain,asset,0
6,close_over_ema_96,30195.224341392517,0.05935425927253017,gain,asset,0
7,fama_minus_close_over_atr,24397.000450849533,0.047956785280336756,gain,asset,0
8,close_minus_decycler_over_atr,22980.235018849373,0.045171872612407966,gain,asset,0
9,mama_minus_close_over_atr,21147.62060379982,0.04156953239106649,gain,asset,0
10,frama_slope_over_atr,20184.38373732567,0.0396761134163582,gain,asset,0
11,instantaneous_trendline_slope_over_atr,16957.761744737625,0.03333359526987151,gain,asset,0
12,roofing_filter_slope_over_atr,16387.41903424263,0.032212481919953066,gain,asset,0
13,distance_from_ema24_atr,15501.391932964325,0.03047083291952919,gain,asset,0
14,decycler_slope_over_atr,12030.21098279953,0.02364758922481295,gain,asset,0
15,supersmoother_slope_over_atr,10149.317043304443,0.019950346730877117,gain,asset,0
16,ema_alignment_score,4319.823705673218,0.00849140689730427,gain,asset,0
1,ema_trend_48_192,1670.0,0.16146185826162623,split,asset,0
2,mama_minus_fama_over_atr,1156.0,0.11176641206613168,split,asset,0
3,ema_trend_24_96,1107.0,0.10702890844049115,split,asset,0
4,distance_from_ema96_atr,797.0,0.07705694672725515,split,asset,0
5,close_over_ema_192,765.0,0.0739630668084695,split,asset,0
6,close_over_ema_96,635.0,0.06139417963840278,split,asset,0
7,mama_minus_close_over_atr,593.0,0.057333462244996615,split,asset,0
8,frama_slope_over_atr,552.0,0.0533694285990525,split,asset,0
9,close_minus_decycler_over_atr,546.0,0.05278932611428019,split,asset,0
10,fama_minus_close_over_atr,530.0,0.05124238615488736,split,asset,0
11,roofing_filter_slope_over_atr,482.0,0.04660156627670888,split,asset,0
12,distance_from_ema24_atr,439.0,0.042444165135840664,split,asset,0
13,supersmoother_slope_over_atr,377.0,0.03644977279319347,split,asset,0
14,instantaneous_trendline_slope_over_atr,356.0,0.03441941409649038,split,asset,0
15,decycler_slope_over_atr,278.0,0.026878081794450354,split,asset,0
16,ema_alignment_score,60.0,0.0058010248477230976,split,asset,0
1,ema_trend_48_192,100992.83767086267,0.1881432480837428,gain,asset,1
2,ema_trend_24_96,78276.95449829102,0.14582499916883476,gain,asset,1
3,mama_minus_fama_over_atr,68079.31890821457,0.12682745115514135,gain,asset,1
4,distance_from_ema96_atr,42189.38889861107,0.07859615439187692,gain,asset,1
5,close_over_ema_192,39425.21793103218,0.07344667927965205,gain,asset,1
6,close_over_ema_96,36884.71234416962,0.06871387857902257,gain,asset,1
7,fama_minus_close_over_atr,25862.12700867653,0.04817950153677596,gain,asset,1
8,close_minus_decycler_over_atr,22366.146096229553,0.04166671093423696,gain,asset,1
9,mama_minus_close_over_atr,21716.73007082939,0.04045689008758823,gain,asset,1
10,frama_slope_over_atr,21710.282269239426,0.040444878242371154,gain,asset,1
11,distance_from_ema24_atr,17501.593777179718,0.03260435864384883,gain,asset,1
12,roofing_filter_slope_over_atr,17235.834683179855,0.03210926631546134,gain,asset,1
13,instantaneous_trendline_slope_over_atr,16413.961134195328,0.03057816804566122,gain,asset,1
14,decycler_slope_over_atr,11992.216970920563,0.0223407392511056,gain,asset,1
15,supersmoother_slope_over_atr,11375.897105693817,0.02119257445074423,gain,asset,1
16,ema_alignment_score,4763.716648101807,0.008874501833936023,gain,asset,1
1,ema_trend_48_192,1553.0,0.15009181405238234,split,asset,1
2,ema_trend_24_96,1177.0,0.1137527785831642,split,asset,1
3,mama_minus_fama_over_atr,1140.0,0.11017686285879966,split,asset,1
4,distance_from_ema96_atr,811.0,0.07838020682323378,split,asset,1
5,close_over_ema_192,780.0,0.07538416932444186,split,asset,1
6,close_over_ema_96,689.0,0.06658934956992366,split,asset,1
7,frama_slope_over_atr,555.0,0.05363873586546825,split,asset,1
8,fama_minus_close_over_atr,547.0,0.05286556489803808,split,asset,1
9,mama_minus_close_over_atr,540.0,0.05218904030153668,split,asset,1
10,close_minus_decycler_over_atr,533.0,0.051512515705035275,split,asset,1
11,roofing_filter_slope_over_atr,492.0,0.04755001449695564,split,asset,1
12,distance_from_ema24_atr,471.0,0.04552044070745143,split,asset,1
13,supersmoother_slope_over_atr,370.0,0.0357591572436455,split,asset,1
14,instantaneous_trendline_slope_over_atr,361.0,0.03488933990528656,split,asset,1
15,decycler_slope_over_atr,265.0,0.025611288296124482,split,asset,1
16,ema_alignment_score,63.0,0.006088721368512612,split,asset,1
1,ema_trend_48_192,110654.52309947461,0.19871017613996964,gain,asset,2
2,mama_minus_fama_over_atr,72548.79748988152,0.130281021725589,gain,asset,2
3,ema_trend_24_96,70973.45286822319,0.12745206364522685,gain,asset,2
4,distance_from_ema96_atr,45221.96529382467,0.08120829078855937,gain,asset,2
5,close_over_ema_192,43907.48901295662,0.07884779249181742,gain,asset,2
6,close_over_ema_96,34914.34538960457,0.06269816658053087,gain,asset,2
7,fama_minus_close_over_atr,26290.526141166687,0.04721176264640657,gain,asset,2
8,close_minus_decycler_over_atr,24361.95403289795,0.04374848891300296,gain,asset,2
9,frama_slope_over_atr,23988.843968629837,0.04307846870493915,gain,asset,2
10,mama_minus_close_over_atr,21911.83998465538,0.03934864532367564,gain,asset,2
11,instantaneous_trendline_slope_over_atr,18679.740216970444,0.03354453450968509,gain,asset,2
12,distance_from_ema24_atr,18166.827371120453,0.03262346053016342,gain,asset,2
13,roofing_filter_slope_over_atr,18009.738684415817,0.03234136523274288,gain,asset,2
14,decycler_slope_over_atr,12034.32060623169,0.021610883137957504,gain,asset,2
15,supersmoother_slope_over_atr,10571.087461471558,0.01898325158901716,gain,asset,2
16,ema_alignment_score,4628.445582866669,0.008311628040716458,gain,asset,2
1,ema_trend_48_192,1662.0,0.15822543792840824,split,asset,2
2,mama_minus_fama_over_atr,1135.0,0.10805407463823305,split,asset,2
3,ema_trend_24_96,1113.0,0.10595963442498096,split,asset,2
4,distance_from_ema96_atr,845.0,0.08044554455445545,split,asset,2
5,close_over_ema_192,830.0,0.07901751713632901,split,asset,2
6,close_over_ema_96,734.0,0.06987814166031987,split,asset,2
7,frama_slope_over_atr,598.0,0.05693069306930693,split,asset,2
8,fama_minus_close_over_atr,597.0,0.056835491241431835,split,asset,2
9,close_minus_decycler_over_atr,523.0,0.04979055597867479,split,asset,2
10,mama_minus_close_over_atr,499.0,0.047505712109672506,split,asset,2
11,distance_from_ema24_atr,475.0,0.045220868240670224,split,asset,2
12,roofing_filter_slope_over_atr,464.0,0.044173648134044174,split,asset,2
13,instantaneous_trendline_slope_over_atr,397.0,0.03779512566641279,split,asset,2
14,supersmoother_slope_over_atr,319.0,0.03036938309215537,split,asset,2
15,decycler_slope_over_atr,256.0,0.024371667936024372,split,asset,2
16,ema_alignment_score,57.0,0.0054265041888804265,split,asset,2
1,ema_trend_48_192,121187.40202736855,0.2071832421452363,gain,asset,3
2,ema_trend_24_96,79982.86203956604,0.13673953229618768,gain,asset,3
3,mama_minus_fama_over_atr,71631.76240706444,0.12246240556193497,gain,asset,3
4,close_over_ema_192,46400.872567892075,0.07932741403939628,gain,asset,3
5,distance_from_ema96_atr,42997.1953766346,0.07350845213491335,gain,asset,3
6,close_over_ema_96,37734.37567734718,0.06451108087450841,gain,asset,3
7,fama_minus_close_over_atr,33594.73223781586,0.057433903422237705,gain,asset,3
8,close_minus_decycler_over_atr,26019.990340709686,0.04448404594199074,gain,asset,3
9,frama_slope_over_atr,22599.825053691864,0.03863689581761629,gain,asset,3
10,mama_minus_close_over_atr,21992.2800180912,0.037598230509843115,gain,asset,3
11,distance_from_ema24_atr,18762.352107524872,0.03207631218160472,gain,asset,3
12,roofing_filter_slope_over_atr,18387.686096429825,0.03143577927470435,gain,asset,3
13,instantaneous_trendline_slope_over_atr,15404.314620494843,0.026335376389854667,gain,asset,3
14,decycler_slope_over_atr,13301.951650381088,0.02274115480388579,gain,asset,3
15,supersmoother_slope_over_atr,10759.148390293121,0.018393951920177426,gain,asset,3
16,ema_alignment_score,4171.840970516205,0.00713222268590821,gain,asset,3
1,ema_trend_48_192,1706.0,0.16114102200812316,split,asset,3
2,ema_trend_24_96,1184.0,0.11183526967035043,split,asset,3
3,mama_minus_fama_over_atr,1088.0,0.10276754510248418,split,asset,3
4,close_over_ema_192,854.0,0.08066496646831019,split,asset,3
