fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,0.10043923156640244,0.4664398698633314,0.3230709276538807,1.4437692467427705,2.052636893620177,3.224613912564521,-0.14464983483631189,1.0705768409571879,0.5,0.015068493150684932,66.0,0.11536138328445933,0.10876138328445936,0.006600000000000001,0.006599999999999967,0.05721151924579173,65.0,0.014840182648401826
1,0.5220760448829553,4.367170644955893,0.545608257716119,8.004223878935754,13.028831173885846,38.461010888272206,-0.11354799429589513,1.1801767510311525,0.48264984227129337,0.017351598173515982,76.0,0.46463076814112125,0.45703076814112126,0.0076,0.007599999999999996,0.016357074307424405,75.0,0.017123287671232876
2,0.38937992495053875,2.7263537246118545,0.3510940464208998,7.765308903425373,13.355894115924103,39.653775400749936,-0.06875395084222657,1.282902323846882,0.49269588313413015,0.013926940639269407,61.0,0.35019498075751554,0.34409498075751555,0.006100000000000001,0.006099999999999994,0.01741886758857862,60.0,0.0136986301369863
3,0.23357344701807925,1.315581387270857,0.26913311427890213,4.88821819936852,7.828760354806474,12.090145466219138,-0.10881435553829355,1.1863857677267404,0.5005138746145941,0.01780821917808219,78.0,0.2267441832748982,0.21894418327489823,0.0078000000000000005,0.007799999999999974,0.034400000420489296,78.0,0.01780821917808219
4,0.12321105634847718,0.5916423241569237,0.163961650527043,3.608418933666085,5.6293150497441635,7.59157728412001,-0.07793404479916388,1.189460867252108,0.5030959752321982,0.011872146118721462,52.0,0.12474779669554437,0.1195477966955444,0.005200000000000001,0.0051999999999999685,0.04168410294805415,51.0,0.011643835616438357
5,-0.08358116485179534,-0.2946965200650099,0.15945166616231257,-1.8481871476026215,-2.431313522726779,-2.4852358948784445,-0.11857889251974763,0.8765596863120628,0.47092198581560285,0.012785388127853882,56.0,-0.07849751410407824,-0.08409751410407823,0.005600000000000001,0.005599999999999994,0.07133983876960838,56.0,0.012785388127853882
6,-0.01932224077207445,-0.07507758552429422,0.19432020366689487,-0.3863601628011505,-0.535143721225171,-0.8445644674818708,-0.08889503219114037,0.9856095302952507,0.4833512352309345,0.016894977168949773,74.0,-0.0073883040598421434,-0.014788304059842135,0.0074,0.007399999999999992,1.0015830344911532,74.0,0.016894977168949773
7,0.08490213223926979,0.3853587465685193,0.24187571570407376,1.5932097418162967,2.2986079063577067,3.8304651653371162,-0.10060364209958927,1.0827097837053867,0.48428571428571426,0.012785388127853882,56.0,0.09440466001497061,0.08880466001497064,0.005600000000000001,0.005599999999999966,0.059319105636437414,56.0,0.012785388127853882
8,-0.03772073397745057,-0.14255847312061998,0.24028539966532478,-0.5932881203734343,-0.808610581429549,-1.1921643941807523,-0.11957954273461191,0.9695361667785437,0.47030497592295345,0.01141552511415525,50.0,-0.02622556869679138,-0.03122556869679137,0.005000000000000001,0.0049999999999999906,0.19065363492429188,50.0,0.01141552511415525
9,0.3579194481804979,2.4001340029303013,0.3043038660527948,7.887293822661764,14.774709511892993,36.63882885352715,-0.0655079345610482,1.3834352251860025,0.5242070116861436,0.010958904109589041,48.0,0.3221373804290545,0.3173373804290545,0.0048000000000000004,0.004799999999999971,0.014900475050759043,48.0,0.010958904109589041
