rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.3341362612815925,asset,0
2,atr_over_price_48,0.2729279988494903,asset,0
3,vol_rolling_192,0.24417415125315384,asset,0
4,ema_trend_48_192,0.2216645727215916,asset,0
5,vol_rolling_96,0.18985255167620946,asset,0
6,atr_48,0.1764995722174923,asset,0
7,bollinger_bandwidth_rank_192,0.1262814136009993,asset,0
8,atr_pct_rank_192,0.12558030460760194,asset,0
9,permutation_entropy_48,0.12275692938674443,asset,0
10,ret_48,0.11902055171290839,asset,0
11,vol_rolling_48,0.10454807563223689,asset,0
12,bollinger_percent_b,0.09955812019340941,asset,0
13,mama_minus_fama_over_atr,0.09378256754795176,asset,0
14,vol_rolling_24,0.08776738585761987,asset,0
15,close_over_bb_upper_192,0.08339945246897389,asset,0
16,close_over_bb_mid_192,0.0810958741911344,asset,0
17,frama_slope_over_atr,0.07062895489596595,asset,0
18,ret_16,0.06755789913675878,asset,0
19,atr_pct,0.05558589264344646,asset,0
20,ret_24,0.04312302513740086,asset,0
21,distance_from_ema96_atr,0.04158401085687423,asset,0
22,close_minus_decycler_over_atr,0.041206414604349886,asset,0
23,roofing_filter_over_atr,0.033848176815943466,asset,0
24,instantaneous_trendline_slope_over_atr,0.03265699436306212,asset,0
25,rolling_return_48,0.028851464964597465,asset,0
26,ema_alignment_score,0.026364380787249363,asset,0
27,close_location,0.01901289191671423,asset,0
28,distance_from_ema24_atr,0.01666285994729247,asset,0
29,close_ret,0.015783859680980145,asset,0
30,lag_close_ret_1,0.01550099576366833,asset,0
31,supersmoother_slope_over_atr,0.013908730930577214,asset,0
32,ret_4,0.01365826081008742,asset,0
33,decycler_slope_over_atr,0.012463509359550127,asset,0
34,lower_wick_ratio,0.011251347374062517,asset,0
35,lag_close_ret_4,0.011037981188612796,asset,0
36,lag_close_ret_2,0.010743200924122778,asset,0
37,range_to_atr,0.010554628971531652,asset,0
38,lag_close_ret_24,0.009009184017375898,asset,0
39,rolling_return_24,0.008215742762357214,asset,0
40,upper_wick_ratio,0.007330881567271988,asset,0
41,lag_close_ret_16,0.00655766718187719,asset,0
42,ret_8,0.005309847486499804,asset,0
43,lag_close_ret_8,0.004868624655714307,asset,0
44,lag_close_ret_48,0.004548248951279299,asset,0
45,ret_1,0.00449903394389662,asset,0
46,dominant_cycle_phase_normalized,0.004032387085472899,asset,0
47,body_ratio,0.003407762873958745,asset,0
1,bollinger_bandwidth,0.28656234157235266,asset,1
2,ema_trend_48_192,0.21526104529918164,asset,1
3,atr_over_price_48,0.1818750381627978,asset,1
4,vol_rolling_192,0.17822921382938098,asset,1
5,atr_48,0.1709583450096063,asset,1
6,vol_rolling_96,0.15253090533289654,asset,1
7,permutation_entropy_48,0.1333209420580398,asset,1
8,ret_48,0.12808933788378257,asset,1
9,bollinger_bandwidth_rank_192,0.12191417765315762,asset,1
10,atr_pct_rank_192,0.11047799425162774,asset,1
11,vol_rolling_48,0.09916999421854866,asset,1
12,close_over_bb_mid_192,0.09311780955694905,asset,1
13,mama_minus_fama_over_atr,0.08678926150578013,asset,1
14,close_over_bb_upper_192,0.07875637048541285,asset,1
15,vol_rolling_24,0.07192056067529312,asset,1
16,bollinger_percent_b,0.06580312486540824,asset,1
17,ret_24,0.06455023805091047,asset,1
18,frama_slope_over_atr,0.0613489262946159,asset,1
19,distance_from_ema96_atr,0.05557394721050548,asset,1
20,ema_alignment_score,0.049240566075943286,asset,1
21,atr_pct,0.03812771300102418,asset,1
22,roofing_filter_over_atr,0.03535111823033477,asset,1
23,close_minus_decycler_over_atr,0.03316859986898819,asset,1
24,ret_16,0.03117342953315572,asset,1
25,rolling_return_48,0.030004287570293386,asset,1
26,ret_4,0.020647981064684694,asset,1
27,instantaneous_trendline_slope_over_atr,0.017235319862729036,asset,1
28,decycler_slope_over_atr,0.015837370378793618,asset,1
29,rolling_return_24,0.015529437702004233,asset,1
30,close_ret,0.014399333365146559,asset,1
31,range_to_atr,0.010770855207823463,asset,1
32,close_location,0.009825047392434559,asset,1
33,lag_close_ret_1,0.009742415542012,asset,1
34,distance_from_ema24_atr,0.009735072924838209,asset,1
35,lag_close_ret_2,0.009000451246716354,asset,1
36,lag_close_ret_24,0.00885168244493799,asset,1
37,lag_close_ret_4,0.00815754401769542,asset,1
38,lag_close_ret_16,0.006595744205885461,asset,1
39,lag_close_ret_48,0.006442365928443638,asset,1
40,lag_close_ret_8,0.006365862015487512,asset,1
41,upper_wick_ratio,0.006303191575009861,asset,1
42,ret_8,0.00571239789246324,asset,1
43,supersmoother_slope_over_atr,0.004976158774208526,asset,1
44,lower_wick_ratio,0.003966814472159942,asset,1
45,dominant_cycle_phase_normalized,0.0032660950986627356,asset,1
46,body_ratio,0.0032156033758444715,asset,1
47,ret_1,0.0026017789852543233,asset,1
1,vol_rolling_192,0.4091952271473894,asset,2
2,bollinger_bandwidth,0.30957121866895754,asset,2
3,ema_trend_48_192,0.24755397177361385,asset,2
4,vol_rolling_96,0.19631608664796726,asset,2
5,atr_over_price_48,0.17211701257251513,asset,2
6,bollinger_bandwidth_rank_192,0.1671717423490987,asset,2
7,atr_48,0.15278987253606466,asset,2
8,vol_rolling_24,0.14033079276282043,asset,2
9,permutation_entropy_48,0.13360455099048324,asset,2
10,vol_rolling_48,0.13265007668695974,asset,2
11,close_over_bb_mid_192,0.10795769580663293,asset,2
12,ret_48,0.10049947619203298,asset,2
