feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1080.2,0.09982504740874362,10,feature_importances_,1
vol_rolling_192,1025.1,0.09471269931433525,10,feature_importances_,2
bollinger_bandwidth,915.6,0.08457143937687461,10,feature_importances_,3
vol_rolling_96,760.3,0.07023826481567706,10,feature_importances_,4
ema_trend_48_192,733.2,0.06777334300325497,10,feature_importances_,5
bollinger_bandwidth_rank_192,600.9,0.05551996232981564,10,feature_importances_,6
atr_over_price_48,562.9,0.05200859601292971,10,feature_importances_,7
vol_rolling_48,520.3,0.04807106030296142,10,feature_importances_,8
atr_pct_rank_192,455.6,0.042099897368949736,10,feature_importances_,9
vol_rolling_24,418.0,0.03863782135133653,10,feature_importances_,10
mama_minus_fama_over_atr,388.4,0.03589293198899024,10,feature_importances_,11
permutation_entropy_48,317.8,0.029346205149490025,10,feature_importances_,12
close_over_bb_upper_192,297.6,0.027506071510950542,10,feature_importances_,13
ret_48,282.3,0.026086314695724328,10,feature_importances_,14
close_over_bb_mid_192,272.0,0.02512803987248196,10,feature_importances_,15
bollinger_percent_b,242.3,0.022377104177405082,10,feature_importances_,16
distance_from_ema96_atr,195.4,0.018050619897319393,10,feature_importances_,17
ret_24,180.6,0.016685640571213363,10,feature_importances_,18
roofing_filter_over_atr,168.8,0.01559848537792021,10,feature_importances_,19
atr_pct,147.6,0.013633392257376064,10,feature_importances_,20
