fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4863013698630137,2.731522832994903
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5577625570776256,2.642718476356637
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5150684931506849,2.726255991605159
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5381278538812785,2.6092599822512277
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5171232876712328,2.662078041008065
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5255707762557078,2.561296797705021
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.49794520547945204,2.6768606259244967
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5102739726027398,2.688056512156222
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5525114155251142,2.490404297138442
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5013698630136987,2.650022275924701
