metric,value
counterfactual.baseline.avg_r,0.6038722770676376
counterfactual.baseline.median_r,0.5267598373777135
counterfactual.baseline.profit_factor,1.500297448440934
counterfactual.baseline.trade_count,308
counterfactual.baseline.win_rate,0.5811688311688312
counterfactual.best_policy_by_avg_r,baseline
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.14941012842042314
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.10384092987585794
counterfactual.breakeven_after_0_5r.trade_count,308
counterfactual.breakeven_after_0_5r.win_rate,0.006493506493506494
counterfactual.breakeven_after_1_0r.avg_r,-0.11433947014054659
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.7856576195835064
counterfactual.breakeven_after_1_0r.trade_count,308
counterfactual.breakeven_after_1_0r.win_rate,0.09740259740259741
counterfactual.exit_at_first_0_5r.avg_r,0.31054995070168184
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,2.86267261791521
counterfactual.exit_at_first_0_5r.trade_count,308
counterfactual.exit_at_first_0_5r.win_rate,0.9545454545454546
counterfactual.exit_at_first_1_0r.avg_r,0.3072790506284857
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.5760296342362874
counterfactual.exit_at_first_1_0r.trade_count,308
counterfactual.exit_at_first_1_0r.win_rate,0.8441558441558441
counterfactual.partial_50pct_at_1r.avg_r,0.4555756638480616
counterfactual.partial_50pct_at_1r.median_r,0.7480099257293409
counterfactual.partial_50pct_at_1r.profit_factor,1.595513681997393
counterfactual.partial_50pct_at_1r.trade_count,308
counterfactual.partial_50pct_at_1r.win_rate,0.672077922077922
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.580566363801747
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.3880904183138755
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.4845001601018817
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,308
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5616883116883117
counterfactual.trail_0_5r_after_1_0r.avg_r,0.47630651976912947
counterfactual.trail_0_5r_after_1_0r.median_r,0.7790608829950766
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.8928909074855618
counterfactual.trail_0_5r_after_1_0r.trade_count,308
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8441558441558441
