trade_id,policy,counterfactual_r
0,baseline,2.420108841612632
0,breakeven_after_0_5r,2.420108841612632
0,breakeven_after_1_0r,2.420108841612632
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,1.8417759298802134
0,time_exit_after_4_bars_if_mfe_lt_0_3r,2.420108841612632
0,partial_50pct_at_1r,1.710054420806316
1,baseline,-2.1335387689952663
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,0.5157966575581747
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.1335387689952663
1,partial_50pct_at_1r,-0.5667693844976331
2,baseline,0.21152568091455873
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.6414876981898416
2,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21152568091455873
2,partial_50pct_at_1r,0.6057628404572794
3,baseline,0.5954139873923537
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.549247147605368
3,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923537
3,partial_50pct_at_1r,0.7977069936961769
4,baseline,-2.7366606227671055
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.5817296340935822
4,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.7366606227671055
4,partial_50pct_at_1r,-0.8683303113835528
5,baseline,0.9883816260852935
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.7798266803617286
5,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852935
5,partial_50pct_at_1r,0.9941908130426467
6,baseline,0.21266649223514628
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.8522449727660684
6,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21266649223514628
6,partial_50pct_at_1r,0.6063332461175731
7,baseline,4.254043492537447
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.5568227289338594
7,time_exit_after_4_bars_if_mfe_lt_0_3r,4.254043492537447
7,partial_50pct_at_1r,2.6270217462687233
8,baseline,0.8913175503576118
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,1.3593923927778782
8,time_exit_after_4_bars_if_mfe_lt_0_3r,0.8913175503576118
8,partial_50pct_at_1r,0.9456587751788059
9,baseline,1.2715962299358503
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.6150270415303414
9,time_exit_after_4_bars_if_mfe_lt_0_3r,1.2715962299358503
9,partial_50pct_at_1r,1.1357981149679253
10,baseline,1.439341309401987
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,1.506341759077185
10,time_exit_after_4_bars_if_mfe_lt_0_3r,1.439341309401987
10,partial_50pct_at_1r,1.2196706547009935
11,baseline,3.6717907479310306
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,0.8728900208635308
11,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6717907479310306
11,partial_50pct_at_1r,2.3358953739655153
12,baseline,-8.638127745073625
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,0.0
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,0.7123948418399448
12,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.638127745073625
12,partial_50pct_at_1r,-3.8190638725368125
13,baseline,-2.274596826944233
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,-2.274596826944233
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,-2.274596826944233
13,trail_0_5r_after_1_0r,-2.274596826944233
13,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.274596826944233
13,partial_50pct_at_1r,-2.274596826944233
14,baseline,-0.355720476359642
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,0.7953301306495049
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.355720476359642
14,partial_50pct_at_1r,0.322139761820179
15,baseline,0.46702773847000706
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,0.0
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,0.6700590456784732
15,time_exit_after_4_bars_if_mfe_lt_0_3r,0.46702773847000706
15,partial_50pct_at_1r,0.7335138692350035
16,baseline,-0.6491183300867377
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,0.6382696425844105
16,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.6491183300867377
16,partial_50pct_at_1r,0.17544083495663115
17,baseline,0.665776752128736
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,0.8396482413877022
17,time_exit_after_4_bars_if_mfe_lt_0_3r,0.665776752128736
17,partial_50pct_at_1r,0.8328883760643679
18,baseline,0.7462475272018473
18,breakeven_after_0_5r,0.0
18,breakeven_after_1_0r,0.0
18,exit_at_first_0_5r,0.5
18,exit_at_first_1_0r,1.0
18,trail_0_5r_after_1_0r,0.5545948899944306
18,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.1199784745156243
18,partial_50pct_at_1r,0.8731237636009237
19,baseline,-2.7687096301161955
19,breakeven_after_0_5r,0.0
19,breakeven_after_1_0r,-2.7687096301161955
19,exit_at_first_0_5r,0.5
19,exit_at_first_1_0r,-2.7687096301161955
19,trail_0_5r_after_1_0r,-2.7687096301161955
19,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.7687096301161955
