probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0587, 0.188]","(0.0587, 0.188]",31,0.13817232318462863,0.6129032258064516,1.0937744245375307,1.0937744245375307,0.43783100753073323,3.7690536778326202,-2.4949902834288187,2.6752792532950886,2.0677745869072033,1.0608934937045902,24.0
"(0.188, 0.231]","(0.188, 0.231]",31,0.21412288806130808,0.5806451612903226,0.3000455487583917,0.3000455487583917,0.5812959833177385,3.528965548801224,-3.3283354669431806,3.2289200000428324,1.1997462273508233,0.26308741297857346,24.193548387096776
"(0.231, 0.28]","(0.231, 0.28]",31,0.2591977893344818,0.7096774193548387,0.07042588411307373,0.07042588411307373,0.5491602615469624,2.9946230504615405,-3.023507274541788,2.9241971663484665,1.0602132757248421,0.03029013281374482,24.096774193548388
"(0.28, 0.313]","(0.28, 0.313]",30,0.2947234859069188,0.6,0.6074716448525659,0.6074716448525659,1.1151205238608837,3.5761659006264335,-2.871072990258686,2.968694255773867,1.4550302372830244,0.5671938621117645,24.133333333333333
"(0.313, 0.691]","(0.313, 0.691]",31,0.6265962191166417,0.5806451612903226,0.46841172283118987,0.46841172283118987,0.5373237448979818,3.309535270696741,-3.073404098001679,2.841123547865552,1.3323282701253618,0.42385493521999046,24.06451612903226
"(0.691, 0.723]","(0.691, 0.723]",31,0.7083377299770233,0.5483870967741935,1.2162831561920737,1.2162831561920737,0.32808539304174006,4.113268441229296,-3.096287583653422,2.896985285037222,1.9605677867193336,1.1751367509788384,24.032258064516128
"(0.723, 0.749]","(0.723, 0.749]",30,0.7368271629015605,0.6,0.16809795482737602,0.16809795482737602,0.867631295879199,2.88791884500152,-2.8700193167884653,2.719820890174143,1.1053972702702044,0.13178485592798247,24.033333333333335
"(0.749, 0.78]","(0.749, 0.78]",31,0.7636537801834845,0.5806451612903226,1.1246764186095513,1.1246764186095513,0.41749506164977757,3.667101687066575,-2.4853356652807768,2.542425268457023,2.414273981591574,1.0840063537681726,24.096774193548388
"(0.78, 0.816]","(0.78, 0.816]",31,0.7962271840341629,0.5161290322580645,0.48176239501124657,0.48176239501124657,0.34920927764034043,3.1479321784124403,-2.7212169191190845,2.6661697834011933,1.4767689459447748,0.4500335037620408,24.06451612903226
"(0.816, 0.95]","(0.816, 0.95]",31,0.8640277270347841,0.4838709677419355,0.4938324933803012,0.4938324933803012,-0.2056784211888053,3.265909801206615,-2.8296519797543978,2.772077307826314,1.5041684203448222,0.4459487068937442,24.35483870967742
