rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,154090.18584251404,0.12688436676456563,gain,asset,0
2,vol_rolling_192,128019.19414997101,0.10541641114010118,gain,asset,0
3,bollinger_bandwidth,121716.86743068695,0.10022680915119159,gain,asset,0
4,ema_trend_48_192,103001.71643924713,0.08481596342167143,gain,asset,0
5,vol_rolling_96,87364.65005302429,0.07193974255385326,gain,asset,0
6,bollinger_bandwidth_rank_192,75988.21236467361,0.06257190329640555,gain,asset,0
7,atr_over_price_48,75508.24044513702,0.062176674147046126,gain,asset,0
8,vol_rolling_48,55257.84914588928,0.04550164670976468,gain,asset,0
9,atr_pct_rank_192,51614.79521560669,0.0425018022452671,gain,asset,0
10,vol_rolling_24,43439.55587720871,0.03576996490644031,gain,asset,0
11,close_over_bb_upper_192,41767.48042392731,0.03439310736089214,gain,asset,0
12,mama_minus_fama_over_atr,36361.38096189499,0.029941496746266137,gain,asset,0
13,close_over_bb_mid_192,30641.974137306213,0.02523189561729756,gain,asset,0
14,bollinger_percent_b,29758.004140377045,0.02450399738882851,gain,asset,0
15,ret_48,29358.758193969727,0.024175241415070475,gain,asset,0
16,distance_from_ema96_atr,19394.018867492676,0.015969854209513867,gain,asset,0
17,fisher_48,18649.56216955185,0.015356837123543167,gain,asset,0
18,atr_pct,17725.463777542114,0.014595895479808984,gain,asset,0
19,ret_24,13182.6008310318,0.01085511026941738,gain,asset,0
20,roofing_filter_over_atr,11034.496897697449,0.0090862707691252,gain,asset,0
21,rolling_return_48,10802.861005783081,0.008895531992967588,gain,asset,0
22,ret_16,9492.91792678833,0.00781686953846352,gain,asset,0
23,ema_alignment_score,8018.908101081848,0.006603107595631773,gain,asset,0
24,close_minus_decycler_over_atr,6070.577486515045,0.004998769883105509,gain,asset,0
25,distance_from_ema24_atr,4687.431457996368,0.003859829028359034,gain,asset,0
26,frama_slope_over_atr,3560.3375205993652,0.0029317322793748902,gain,asset,0
27,rolling_return_24,3436.0275020599365,0.0028293701600833514,gain,asset,0
