rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.35219882576160755,asset,0
2,vol_rolling_192,0.2491461153311406,asset,0
3,atr_over_price_48,0.23544977981950393,asset,0
4,ema_trend_48_192,0.22834685079743647,asset,0
5,vol_rolling_96,0.20089071766883645,asset,0
6,atr_48,0.18314077120733166,asset,0
7,bollinger_bandwidth_rank_192,0.13870112898967302,asset,0
8,atr_pct_rank_192,0.12188056655737874,asset,0
9,bollinger_percent_b,0.10651586445531627,asset,0
10,fisher_48,0.10338688671759505,asset,0
11,vol_rolling_48,0.09621808548623118,asset,0
12,mama_minus_fama_over_atr,0.09284846730381936,asset,0
13,close_over_bb_mid_192,0.09249127810674512,asset,0
14,vol_rolling_24,0.09097157006320568,asset,0
15,ret_48,0.08787970743251063,asset,0
16,close_over_bb_upper_192,0.07932967480261131,asset,0
17,atr_pct,0.0774007267828027,asset,0
18,frama_slope_over_atr,0.06840465245043878,asset,0
19,ret_16,0.05764707694014213,asset,0
20,close_minus_decycler_over_atr,0.04670812865346347,asset,0
21,distance_from_ema96_atr,0.04512120659319497,asset,0
22,ret_24,0.04293805331636895,asset,0
23,rolling_return_48,0.03031396776132576,asset,0
24,roofing_filter_over_atr,0.02993791050140158,asset,0
25,ema_alignment_score,0.02255526484143636,asset,0
26,close_location,0.02065133272916392,asset,0
27,close_ret,0.018888617968403434,asset,0
28,lag_close_ret_1,0.01822830673264498,asset,0
29,instantaneous_trendline_slope_over_atr,0.01779874507016032,asset,0
30,range_to_atr,0.015271519114719691,asset,0
31,ret_4,0.014545854192890131,asset,0
32,lag_close_ret_2,0.013924931419031158,asset,0
33,rolling_return_24,0.013780613348053743,asset,0
34,lag_close_ret_4,0.013210934886709965,asset,0
35,distance_from_ema24_atr,0.012971729881939517,asset,0
36,decycler_slope_over_atr,0.012892367822660147,asset,0
37,upper_wick_ratio,0.010782721628976104,asset,0
38,lower_wick_ratio,0.009387382461979088,asset,0
39,lag_close_ret_16,0.008721894945791396,asset,0
40,lag_close_ret_24,0.008635079192066875,asset,0
41,supersmoother_slope_over_atr,0.007796526343028251,asset,0
42,dominant_cycle_phase_normalized,0.00652517629746124,asset,0
43,lag_close_ret_48,0.0058920309009252445,asset,0
44,body_ratio,0.004747585795140132,asset,0
45,ret_8,0.004536831326547339,asset,0
46,ret_1,0.0043334427864805455,asset,0
47,lag_close_ret_8,0.003927061194043016,asset,0
1,bollinger_bandwidth,0.3051887125569924,asset,1
2,ema_trend_48_192,0.2355864859272584,asset,1
3,vol_rolling_192,0.1915521460451658,asset,1
4,atr_48,0.18146558175683386,asset,1
5,atr_over_price_48,0.17297865696268067,asset,1
6,vol_rolling_96,0.1581438032148187,asset,1
7,bollinger_bandwidth_rank_192,0.1277220068649325,asset,1
8,ret_48,0.12268150295282,asset,1
9,atr_pct_rank_192,0.10832763706896956,asset,1
10,vol_rolling_48,0.10637546473888762,asset,1
11,close_over_bb_mid_192,0.10223996616122749,asset,1
12,bollinger_percent_b,0.08553811494174621,asset,1
13,mama_minus_fama_over_atr,0.08301481355660846,asset,1
14,fisher_48,0.0807241138452524,asset,1
15,close_over_bb_upper_192,0.08024303908687858,asset,1
16,ret_24,0.06171286160525856,asset,1
17,vol_rolling_24,0.05741335165435767,asset,1
18,frama_slope_over_atr,0.054509649331455606,asset,1
19,close_minus_decycler_over_atr,0.040901536329113676,asset,1
20,atr_pct,0.03918756521636558,asset,1
21,distance_from_ema96_atr,0.03576796358472987,asset,1
22,roofing_filter_over_atr,0.03179929251623487,asset,1
23,ema_alignment_score,0.031168003105222043,asset,1
24,rolling_return_24,0.02897995282942918,asset,1
25,rolling_return_48,0.028832287020004434,asset,1
26,ret_16,0.02863807010622572,asset,1
27,instantaneous_trendline_slope_over_atr,0.018675479168167027,asset,1
28,close_ret,0.01708814330637469,asset,1
29,ret_4,0.016775486879832407,asset,1
30,lag_close_ret_1,0.012812066755824369,asset,1
31,close_location,0.012729338863651908,asset,1
32,distance_from_ema24_atr,0.01259628339636384,asset,1
33,range_to_atr,0.011706671101452355,asset,1
34,lag_close_ret_24,0.010205769617737375,asset,1
35,lag_close_ret_2,0.009655413381049157,asset,1
36,decycler_slope_over_atr,0.009155083454690412,asset,1
37,supersmoother_slope_over_atr,0.007602410080948618,asset,1
38,lag_close_ret_8,0.006951911923242818,asset,1
39,lag_close_ret_4,0.006862135367491514,asset,1
40,upper_wick_ratio,0.006780370455293846,asset,1
41,lag_close_ret_48,0.006616754723367679,asset,1
42,lag_close_ret_16,0.006151126964426358,asset,1
