feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1120.0,0.10325216270786497,10,feature_importances_,1
vol_rolling_192,1045.7,0.09638578425605085,10,feature_importances_,2
bollinger_bandwidth,912.3,0.08406439740986489,10,feature_importances_,3
vol_rolling_96,792.4,0.07303350370900263,10,feature_importances_,4
ema_trend_48_192,737.0,0.06794315391538124,10,feature_importances_,5
bollinger_bandwidth_rank_192,587.0,0.05411013624205722,10,feature_importances_,6
atr_over_price_48,582.7,0.053701439178557006,10,feature_importances_,7
vol_rolling_48,538.1,0.049572783706210745,10,feature_importances_,8
atr_pct_rank_192,465.3,0.04287628162051936,10,feature_importances_,9
vol_rolling_24,398.3,0.03673781504878008,10,feature_importances_,10
mama_minus_fama_over_atr,363.6,0.03351281182578656,10,feature_importances_,11
close_over_bb_mid_192,298.2,0.0274734372723519,10,feature_importances_,12
close_over_bb_upper_192,295.3,0.027235804808054497,10,feature_importances_,13
ret_48,254.0,0.02340666908111482,10,feature_importances_,14
bollinger_percent_b,250.7,0.023107659802151514,10,feature_importances_,15
fisher_48,248.5,0.0229084726773019,10,feature_importances_,16
distance_from_ema96_atr,187.9,0.017324317364190916,10,feature_importances_,17
ret_24,184.7,0.01702529164353651,10,feature_importances_,18
roofing_filter_over_atr,165.3,0.015240355739490789,10,feature_importances_,19
atr_pct,148.2,0.013659459408512454,10,feature_importances_,20
