fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4780821917808219,2.755733995746848
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5632420091324201,2.632682202257089
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5196347031963471,2.751976270896371
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5440639269406393,2.592855424796246
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5127853881278539,2.686117168720752
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5102739726027398,2.5873044404396297
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.49817351598173515,2.6826586403905783
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5221461187214612,2.667611308706356
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.554337899543379,2.497173298454563
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5004566210045662,2.6477801812386668
