metric,value
counterfactual.baseline.avg_r,0.5312797388782071
counterfactual.baseline.median_r,0.43985579547307024
counterfactual.baseline.profit_factor,1.433902900491105
counterfactual.baseline.trade_count,302
counterfactual.baseline.win_rate,0.5629139072847682
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.1054294330025233
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.32510296359617835
counterfactual.breakeven_after_0_5r.trade_count,302
counterfactual.breakeven_after_0_5r.win_rate,0.023178807947019868
counterfactual.breakeven_after_1_0r.avg_r,0.06821678661328635
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.1688605558663385
counterfactual.breakeven_after_1_0r.trade_count,302
counterfactual.breakeven_after_1_0r.win_rate,0.1423841059602649
counterfactual.exit_at_first_0_5r.avg_r,0.32163223851617156
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,3.0588998575122375
counterfactual.exit_at_first_0_5r.trade_count,302
counterfactual.exit_at_first_0_5r.win_rate,0.956953642384106
counterfactual.exit_at_first_1_0r.avg_r,0.4682987579741108
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.1592042444230684
counterfactual.exit_at_first_1_0r.trade_count,302
counterfactual.exit_at_first_1_0r.win_rate,0.8807947019867549
counterfactual.partial_50pct_at_1r.avg_r,0.4997892484261589
counterfactual.partial_50pct_at_1r.median_r,0.6986649581369433
counterfactual.partial_50pct_at_1r.profit_factor,1.729721434731494
counterfactual.partial_50pct_at_1r.trade_count,302
counterfactual.partial_50pct_at_1r.win_rate,0.6754966887417219
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.5195322368723013
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.3325104447699295
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.4256305264249765
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,302
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5496688741721855
counterfactual.trail_0_5r_after_1_0r.avg_r,0.6854407587341944
counterfactual.trail_0_5r_after_1_0r.median_r,0.8440279790148683
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.6967071197510473
counterfactual.trail_0_5r_after_1_0r.trade_count,302
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8807947019867549
