trade_id,policy,counterfactual_r
0,baseline,-0.3021536549755927
0,breakeven_after_0_5r,-0.3021536549755927
0,breakeven_after_1_0r,-0.3021536549755927
0,exit_at_first_0_5r,-0.3021536549755927
0,exit_at_first_1_0r,-0.3021536549755927
0,trail_0_5r_after_1_0r,-0.3021536549755927
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.3021536549755927
0,partial_50pct_at_1r,-0.3021536549755927
1,baseline,-2.5205992372830193
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,0.9681921352293958
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830193
1,partial_50pct_at_1r,-0.7602996186415096
2,baseline,0.21152568091455873
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.6414876981898416
2,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21152568091455873
2,partial_50pct_at_1r,0.6057628404572794
3,baseline,0.5954139873923537
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.549247147605368
3,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923537
3,partial_50pct_at_1r,0.7977069936961769
4,baseline,-2.7366606227671055
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.5817296340935822
4,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.7366606227671055
4,partial_50pct_at_1r,-0.8683303113835528
5,baseline,0.9883816260852935
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.7798266803617286
5,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852935
5,partial_50pct_at_1r,0.9941908130426467
6,baseline,2.810488407956623
6,breakeven_after_0_5r,2.810488407956623
6,breakeven_after_1_0r,2.810488407956623
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.5159626043202712
6,time_exit_after_4_bars_if_mfe_lt_0_3r,2.810488407956623
6,partial_50pct_at_1r,1.9052442039783115
7,baseline,1.1060689210700168
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.6240887895856402
7,time_exit_after_4_bars_if_mfe_lt_0_3r,1.1060689210700168
7,partial_50pct_at_1r,1.0530344605350084
8,baseline,-1.4478390267666217
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,-1.4478390267666217
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,-1.4478390267666217
8,trail_0_5r_after_1_0r,-1.4478390267666217
8,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.4478390267666217
8,partial_50pct_at_1r,-1.4478390267666217
9,baseline,0.4622165292963629
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.9628615082072038
9,time_exit_after_4_bars_if_mfe_lt_0_3r,0.4622165292963629
9,partial_50pct_at_1r,0.7311082646481815
10,baseline,3.6717907479310306
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.8728900208635308
10,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6717907479310306
10,partial_50pct_at_1r,2.3358953739655153
11,baseline,-9.450741378690196
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,1.154459930287233
11,time_exit_after_4_bars_if_mfe_lt_0_3r,-9.450741378690196
11,partial_50pct_at_1r,-4.225370689345098
12,baseline,-1.4832947820155515
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,0.0
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,0.5121118890118377
12,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.4832947820155515
12,partial_50pct_at_1r,-0.24164739100777577
13,baseline,-0.355720476359642
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,0.7953301306495049
13,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.355720476359642
13,partial_50pct_at_1r,0.322139761820179
14,baseline,-1.4243171002564199
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,2.6459904855644956
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.4243171002564199
14,partial_50pct_at_1r,-0.21215855012820994
15,baseline,0.3100416484965683
15,breakeven_after_0_5r,0.3100416484965683
15,breakeven_after_1_0r,0.3100416484965683
15,exit_at_first_0_5r,0.3100416484965683
15,exit_at_first_1_0r,0.3100416484965683
15,trail_0_5r_after_1_0r,0.3100416484965683
15,time_exit_after_4_bars_if_mfe_lt_0_3r,0.3100416484965683
15,partial_50pct_at_1r,0.3100416484965683
16,baseline,0.3037083186988812
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,1.4242307891974357
16,time_exit_after_4_bars_if_mfe_lt_0_3r,0.3037083186988812
16,partial_50pct_at_1r,0.6518541593494406
17,baseline,2.434526959796833
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,1.1637603009366846
