trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,long,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,2809.1,2804.1,24,1.0,-0.001779929514791334,-0.001979314381474806,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.3021536549755927,-0.27163199723794795,0.030521657737644783,0.3123767968236401,-2.156758058069297,17,1,position_exit,18.407257064122792,atr_48,True,False,False,False,False,False,False,False,False,True,0.6145304517992328,-0.9672730434782609,-0.9672730434782609,2.156758058069297,0.8567042946815491,True
1,ETHUSD,short,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,3049.5,3099.45,24,1.0,-0.01677584747175176,-0.016971814464463608,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.5205992372830193,-2.4901934517727846,0.030405785510234772,2.2608663270850045,-4.00574662362252,16,20,position_exit,20.058682575219244,atr_48,True,True,True,True,True,True,True,True,True,True,4.781465564368023,-1.1148820286659298,-1.1148820286659298,4.00574662362252,0.10217274725437164,True
2,ETHUSD,short,2022-03-25 18:00:00,2022-03-25 18:00:00,2022-03-26 07:00:00,3125.0,3120.15,3125.0,3120.15,24,1.0,0.001236421651939823,0.001036251670329058,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.21152568091455873,0.2428164621149379,0.03129078120037918,2.080211134201217,-0.4080317868529491,3,22,position_exit,19.973934047783576,atr_48,True,True,False,True,False,True,False,True,False,False,1.8686854532866584,0.10168471720818029,0.10168471720818029,0.4080317868529491,0.2738262116909027,True
3,ETHUSD,long,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,3380.3,3390.8500000000004,24,1.0,0.003121024761115976,0.0029208542905958534,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.5954139873923537,0.6361814601860376,0.04076747279368391,3.1477414428161588,-3.7899530590229387,12,20,reversal,16.58331884886281,atr_48,True,True,False,True,False,True,False,True,False,False,2.552327455423805,0.18915593869732217,0.18915593869732217,3.7899530590229387,0.8583847284317017,True
4,ETHUSD,short,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,3390.8500000000004,3445.45,3390.8500000000004,3445.45,24,1.0,-0.016144767156005657,-0.016341152932975667,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.7366606227671055,-2.703086408307003,0.03357421446010218,1.0817296340935822,-4.576929275604111,3,21,position_exit,20.19913230750049,atr_48,True,True,True,True,True,False,False,False,False,True,3.818390256860688,-2.5298933638443266,-2.5298933638443266,4.576929275604111,0.22192692756652832,True
5,ETHUSD,short,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,3413.3,3391.65,3413.3,3391.65,24,1.0,0.005836750693178461,0.005635550367325326,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.9883816260852935,1.0205616069919503,0.0321799809066569,2.976834433327551,-1.6239421413797854,8,14,position_exit,21.213809976462162,atr_48,True,True,False,True,False,True,False,True,False,False,1.9884528072422576,0.33202438638163206,0.33202438638163206,1.6239421413797854,0.19788552820682526,True
6,ETHUSD,short,2022-04-02 13:30:00,2022-04-02 13:30:00,2022-04-03 01:30:00,3505.15,3441.1,3505.15,3441.1,24,1.0,0.018075744278278183,0.017871496748207205,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.810488407956623,2.8415897295507992,0.031101321594176286,4.041667827667085,-0.2661910753677556,24,1,position_exit,22.540199710718007,atr_48,True,True,False,True,False,True,False,True,False,False,1.2311794197104624,0.6953783754116383,0.6953783754116383,0.2661910753677556,0.2913266122341156,True
7,ETHUSD,short,2022-04-04 01:00:00,2022-04-04 01:00:00,2022-04-04 13:00:00,3487.8,3462.7,3487.8,3462.7,24,1.0,0.007040216481759787,0.006838951920592473,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,1.1060689210700168,1.137686637846765,0.03161771677674812,1.7359919613358832,-1.0923604769763557,19,13,position_exit,22.062314142588257,atr_48,True,True,False,True,False,True,False,False,False,False,0.6299230402658664,0.6371394255874738,0.6371394255874738,1.0923604769763557,0.2154826670885086,True
8,ETHUSD,short,2022-04-07 16:30:00,2022-04-07 16:30:00,2022-04-08 04:30:00,3221.25,3258.65,3221.25,3258.65,24,1.0,-0.011762558480213237,-0.011960227946410384,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-1.4478390267666217,-1.4233209907166433,0.024518036049978483,0.8543731615397943,-2.089313432896889,9,20,position_exit,26.276574464885226,atr_48,True,True,True,False,False,False,False,False,False,True,2.3022121883064157,-1.6946213808463428,-1.6946213808463428,2.089313432896889,0.24909240007400513,True
9,ETHUSD,short,2022-04-11 18:00:00,2022-04-11 18:00:00,2022-04-12 06:00:00,3025.9,3015.8,3025.9,3015.8,24,1.0,0.002765569099012044,0.0025651503800907527,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.4622165292963629,0.49167724568693966,0.029460716390576718,3.6754091137984433,-0.6912689988865858,7,2,position_exit,20.541930887789697,atr_48,True,True,False,True,False,True,False,True,False,False,3.2131925845020803,0.12575920529801204,0.12575920529801204,0.6912689988865858,0.25105926394462585,True
