rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,133491.84983825684,0.10707945039731408,gain,asset,0
2,vol_rolling_192,130852.20407009125,0.10496207904886669,gain,asset,0
3,bollinger_bandwidth,118129.55531835556,0.09475670518083967,gain,asset,0
4,ema_trend_48_192,102749.64300918579,0.08241982799155666,gain,asset,0
5,vol_rolling_96,89812.35486602783,0.07204228280299617,gain,asset,0
6,fractal_dimension_96,77431.99097681046,0.062111470078605936,gain,asset,0
7,bollinger_bandwidth_rank_192,75003.35152482986,0.06016335580761179,gain,asset,0
8,atr_over_price_48,67818.92917346954,0.054400427226294235,gain,asset,0
9,vol_rolling_48,63480.5446639061,0.0509204257920558,gain,asset,0
10,atr_pct_rank_192,63285.64385795593,0.050764087624531544,gain,asset,0
11,mama_minus_fama_over_atr,39217.82023477554,0.03145826986148284,gain,asset,0
12,vol_rolling_24,37939.67031240463,0.030433011829785212,gain,asset,0
13,ret_48,35477.345708847046,0.02845787727611624,gain,asset,0
14,close_over_bb_upper_192,33057.83568763733,0.02651708610709851,gain,asset,0
15,close_over_bb_mid_192,30758.381238937378,0.02467259658299061,gain,asset,0
16,bollinger_percent_b,20869.809539318085,0.01674055560751067,gain,asset,0
17,distance_from_ema96_atr,19572.536595344543,0.015699958192580084,gain,asset,0
18,atr_pct,17113.749718666077,0.013727661399046513,gain,asset,0
19,ret_24,13067.828135490417,0.010482256829389247,gain,asset,0
20,roofing_filter_over_atr,11058.968040466309,0.008870865308776496,gain,asset,0
21,ret_16,10893.103025913239,0.008737817975774482,gain,asset,0
22,rolling_return_48,10457.106570243835,0.00838808680563321,gain,asset,0
23,distance_from_ema24_atr,6011.693241119385,0.00482223303517237,gain,asset,0
24,ema_alignment_score,5806.81872177124,0.004657894530920658,gain,asset,0
25,close_minus_decycler_over_atr,4900.607537269592,0.003930984268624434,gain,asset,0
26,frama_slope_over_atr,3908.3364701271057,0.0031350417399718454,gain,asset,0
27,instantaneous_trendline_slope_over_atr,3483.9961161613464,0.0027946604212687968,gain,asset,0
28,rolling_return_24,2890.893811225891,0.0023189080145202315,gain,asset,0
29,decycler_slope_over_atr,1972.9803771972656,0.0015826108836677678,gain,asset,0
30,ret_4,1752.117621421814,0.0014054475397608064,gain,asset,0
31,lag_close_ret_8,1239.9980993270874,0.000994654843202317,gain,asset,0
32,lag_close_ret_16,1230.4279146194458,0.0009869781938792556,gain,asset,0
33,supersmoother_slope_over_atr,1228.1504611968994,0.0009851513523073752,gain,asset,0
34,range_to_atr,1103.5655250549316,0.0008852165135435844,gain,asset,0
35,lag_close_ret_24,1085.2997546195984,0.0008705647676754373,gain,asset,0
36,lag_close_ret_2,1058.7085275650024,0.0008492348214514071,gain,asset,0
37,close_location,1036.8015460968018,0.0008316623064377842,gain,asset,0
38,close_ret,1013.3853311538696,0.0008128791715159699,gain,asset,0
39,upper_wick_ratio,1010.3788976669312,0.0008104675842480767,gain,asset,0
40,lag_close_ret_1,726.6629428863525,0.0005828870349960949,gain,asset,0
41,lag_close_ret_48,714.0933904647827,0.0005728044661600745,gain,asset,0
42,lag_close_ret_4,673.4467372894287,0.0005402000690543285,gain,asset,0
43,dominant_cycle_phase_normalized,512.3112964630127,0.00041094652687832724,gain,asset,0
44,body_ratio,500.8874969482422,0.00040178301483640957,gain,asset,0
45,lower_wick_ratio,463.17973136901855,0.0003715360235869343,gain,asset,0
46,ret_8,449.18926906585693,0.0003603136829268713,gain,asset,0
47,ret_1,347.5486707687378,0.00027878346653615796,gain,asset,0
1,atr_48,965.0,0.09253931722286153,split,asset,0
2,vol_rolling_192,959.0,0.09196394322976602,split,asset,0
3,bollinger_bandwidth,800.0,0.07671653241273495,split,asset,0
4,ema_trend_48_192,724.0,0.06942846183352512,split,asset,0
5,vol_rolling_96,669.0,0.0641542002301496,split,asset,0
6,fractal_dimension_96,621.0,0.0595512082853855,split,asset,0
7,bollinger_bandwidth_rank_192,550.0,0.052742616033755275,split,asset,0
8,atr_over_price_48,506.0,0.04852320675105485,split,asset,0
9,vol_rolling_48,492.0,0.047180667433831994,split,asset,0
10,atr_pct_rank_192,451.0,0.043248945147679324,split,asset,0
11,vol_rolling_24,395.0,0.03787878787878788,split,asset,0
12,mama_minus_fama_over_atr,387.0,0.03711162255466053,split,asset,0
13,close_over_bb_upper_192,283.0,0.027138473341004988,split,asset,0
14,ret_48,276.0,0.026467203682393557,split,asset,0
15,close_over_bb_mid_192,258.0,0.02474108170310702,split,asset,0
16,bollinger_percent_b,184.0,0.017644802454929037,split,asset,0
17,distance_from_ema96_atr,172.0,0.016494054468738015,split,asset,0
18,roofing_filter_over_atr,166.0,0.015918680475642502,split,asset,0
19,ret_24,163.0,0.015630993479094746,split,asset,0
20,ret_16,144.0,0.01380897583429229,split,asset,0
21,atr_pct,137.0,0.01313770617568086,split,asset,0
22,rolling_return_48,85.0,0.008151131568853089,split,asset,0
23,frama_slope_over_atr,81.0,0.0077675489067894135,split,asset,0
24,close_minus_decycler_over_atr,69.0,0.006616800920598389,split,asset,0
25,ret_4,69.0,0.006616800920598389,split,asset,0
26,distance_from_ema24_atr,68.0,0.00652090525508247,split,asset,0
27,lag_close_ret_8,51.0,0.004890678941311853,split,asset,0
28,lag_close_ret_16,49.0,0.0046988876102800154,split,asset,0
29,instantaneous_trendline_slope_over_atr,49.0,0.0046988876102800154,split,asset,0
30,range_to_atr,46.0,0.004411200613732259,split,asset,0
31,lag_close_ret_2,46.0,0.004411200613732259,split,asset,0
32,close_location,44.0,0.004219409282700422,split,asset,0
33,upper_wick_ratio,44.0,0.004219409282700422,split,asset,0
34,supersmoother_slope_over_atr,41.0,0.003931722286152666,split,asset,0
35,ema_alignment_score,39.0,0.0037399309551208286,split,asset,0
36,close_ret,39.0,0.0037399309551208286,split,asset,0
37,lag_close_ret_24,38.0,0.00364403528960491,split,asset,0
38,lag_close_ret_4,37.0,0.003548139624088991,split,asset,0
39,lag_close_ret_48,37.0,0.003548139624088991,split,asset,0
40,rolling_return_24,36.0,0.0034522439585730723,split,asset,0
41,lag_close_ret_1,36.0,0.0034522439585730723,split,asset,0
42,decycler_slope_over_atr,29.0,0.0027809742999616418,split,asset,0
43,lower_wick_ratio,24.0,0.0023014959723820483,split,asset,0
44,body_ratio,21.0,0.0020138089758342925,split,asset,0
45,dominant_cycle_phase_normalized,18.0,0.0017261219792865361,split,asset,0
46,ret_8,16.0,0.0015343306482546988,split,asset,0
47,ret_1,14.0,0.0013425393172228615,split,asset,0
1,vol_rolling_192,148195.15607976913,0.10723013316329671,gain,asset,1
2,atr_48,141372.12551784515,0.10229316696894597,gain,asset,1
3,bollinger_bandwidth,130125.16685581207,0.0941551622802992,gain,asset,1
4,ema_trend_48_192,105010.54619073868,0.07598288061130919,gain,asset,1
5,vol_rolling_96,103850.72599935532,0.07514366510077944,gain,asset,1
6,fractal_dimension_96,86379.93739891052,0.06250226009368794,gain,asset,1
7,bollinger_bandwidth_rank_192,83798.27912807465,0.060634239792033494,gain,asset,1
8,atr_over_price_48,80450.58894252777,0.05821193886208658,gain,asset,1
9,vol_rolling_48,65864.54431629181,0.047657859032681216,gain,asset,1
10,atr_pct_rank_192,60690.399582862854,0.043913983433446976,gain,asset,1
11,mama_minus_fama_over_atr,46038.05433511734,0.03331193021097436,gain,asset,1
12,vol_rolling_24,43383.96234989166,0.03139149877089276,gain,asset,1
13,close_over_bb_upper_192,40816.19753217697,0.02953353140799619,gain,asset,1
14,ret_48,37396.649666786194,0.02705923614313107,gain,asset,1
15,close_over_bb_mid_192,35723.15407180786,0.02584833856560752,gain,asset,1
16,atr_pct,26447.61577320099,0.019136802013188087,gain,asset,1
17,bollinger_percent_b,24464.690751075745,0.01770200940727544,gain,asset,1
18,distance_from_ema96_atr,21637.8840341568,0.01565660611137446,gain,asset,1
19,ret_24,15557.54557800293,0.01125703247092198,gain,asset,1
20,ema_alignment_score,10339.578194141388,0.007481447949711065,gain,asset,1
21,rolling_return_48,10304.226857662201,0.007455868648616208,gain,asset,1
22,roofing_filter_over_atr,10059.318913459778,0.0072786596752308745,gain,asset,1
23,ret_16,9275.857178211212,0.006711767285348504,gain,asset,1
24,close_minus_decycler_over_atr,8321.547200202942,0.006021253582148867,gain,asset,1
25,rolling_return_24,5177.395702362061,0.0037462279151994045,gain,asset,1
26,distance_from_ema24_atr,4900.78208065033,0.003546077544056606,gain,asset,1
27,frama_slope_over_atr,4115.127453804016,0.002977598435253999,gain,asset,1
28,instantaneous_trendline_slope_over_atr,3638.471474647522,0.0026327026541090315,gain,asset,1
29,decycler_slope_over_atr,3195.707202911377,0.0023123300247049968,gain,asset,1
30,supersmoother_slope_over_atr,1643.866171836853,0.001189458503041911,gain,asset,1
31,ret_8,1605.7902688980103,0.0011619077770232604,gain,asset,1
32,range_to_atr,1414.4185047149658,0.0010234361811905525,gain,asset,1
33,ret_4,1367.3410015106201,0.0009893721330047922,gain,asset,1
34,lag_close_ret_24,1115.0214023590088,0.0008068002802367211,gain,asset,1
35,lag_close_ret_2,1054.3947486877441,0.0007629324216751667,gain,asset,1
36,lag_close_ret_8,925.1051263809204,0.0006693818375445316,gain,asset,1
37,lag_close_ret_16,869.2622208595276,0.0006289753738402715,gain,asset,1
38,close_ret,799.2099289894104,0.0005782873703701483,gain,asset,1
39,lag_close_ret_1,731.8529534339905,0.0005295496271850956,gain,asset,1
40,lag_close_ret_4,676.2778911590576,0.0004893369678381745,gain,asset,1
41,lag_close_ret_48,653.529079914093,0.0004728765238963278,gain,asset,1
42,body_ratio,623.3762731552124,0.0004510587427384771,gain,asset,1
43,upper_wick_ratio,603.5594139099121,0.0004367197824649845,gain,asset,1
44,close_location,492.8204984664917,0.0003565920039094877,gain,asset,1
45,lower_wick_ratio,354.93389892578125,0.00025682087223885536,gain,asset,1
46,dominant_cycle_phase_normalized,329.2992992401123,0.00023827234737072483,gain,asset,1
47,ret_1,237.7270965576172,0.00017201310012235387,gain,asset,1
1,vol_rolling_192,1049.0,0.09695905351696091,split,asset,1
2,atr_48,987.0,0.09122839449117294,split,asset,1
3,bollinger_bandwidth,852.0,0.07875034661244108,split,asset,1
4,ema_trend_48_192,741.0,0.06849061835659488,split,asset,1
5,vol_rolling_96,709.0,0.065532858859414,split,asset,1
6,fractal_dimension_96,630.0,0.05823089010074868,split,asset,1
7,bollinger_bandwidth_rank_192,574.0,0.053054810980682134,split,asset,1
8,atr_over_price_48,553.0,0.05111378131065718,split,asset,1
9,vol_rolling_48,516.0,0.04769387189204178,split,asset,1
10,atr_pct_rank_192,460.0,0.042517792771975225,split,asset,1
11,mama_minus_fama_over_atr,406.0,0.037526573620482485,split,asset,1
12,vol_rolling_24,386.0,0.03567797393474443,split,asset,1
13,close_over_bb_upper_192,310.0,0.02865329512893983,split,asset,1
14,ret_48,308.0,0.028468435160366023,split,asset,1
15,close_over_bb_mid_192,244.0,0.02255291616600425,split,asset,1
16,bollinger_percent_b,199.0,0.018393566873093632,split,asset,1
17,distance_from_ema96_atr,181.0,0.016729827155929383,split,asset,1
18,atr_pct,173.0,0.015990387281634162,split,asset,1
19,ret_24,164.0,0.015158517423052038,split,asset,1
20,roofing_filter_over_atr,145.0,0.013402347721600887,split,asset,1
21,ret_16,131.0,0.01210832794158425,split,asset,1
22,close_minus_decycler_over_atr,112.0,0.0103521582401331,split,asset,1
23,frama_slope_over_atr,90.0,0.00831869858582124,split,asset,1
24,rolling_return_48,87.0,0.008041408632960533,split,asset,1
25,distance_from_ema24_atr,60.0,0.00554579905721416,split,asset,1
26,ema_alignment_score,55.0,0.005083649135779647,split,asset,1
27,ret_4,53.0,0.004898789167205842,split,asset,1
28,rolling_return_24,51.0,0.0047139291986320365,split,asset,1
29,lag_close_ret_2,45.0,0.00415934929291062,split,asset,1
30,instantaneous_trendline_slope_over_atr,45.0,0.00415934929291062,split,asset,1
31,supersmoother_slope_over_atr,42.0,0.003882059340049912,split,asset,1
32,close_ret,42.0,0.003882059340049912,split,asset,1
33,lag_close_ret_1,40.0,0.003697199371476107,split,asset,1
34,lag_close_ret_24,40.0,0.003697199371476107,split,asset,1
35,range_to_atr,37.0,0.003419909418615399,split,asset,1
36,lag_close_ret_4,34.0,0.003142619465754691,split,asset,1
37,ret_8,34.0,0.003142619465754691,split,asset,1
38,lag_close_ret_16,34.0,0.003142619465754691,split,asset,1
39,lag_close_ret_8,33.0,0.003050189481467788,split,asset,1
40,lag_close_ret_48,32.0,0.0029577594971808853,split,asset,1
41,decycler_slope_over_atr,29.0,0.0026804695443201775,split,asset,1
42,upper_wick_ratio,26.0,0.0024031795914594696,split,asset,1
43,body_ratio,26.0,0.0024031795914594696,split,asset,1
44,close_location,19.0,0.0017561697014511508,split,asset,1
45,dominant_cycle_phase_normalized,13.0,0.0012015897957297348,split,asset,1
46,lower_wick_ratio,13.0,0.0012015897957297348,split,asset,1
47,ret_1,9.0,0.0008318698585821241,split,asset,1
1,atr_48,163554.7420039177,0.11142119423700919,gain,asset,2
2,vol_rolling_192,155953.66967773438,0.10624298573208586,gain,asset,2
