rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.3614401612730645,asset,0
2,atr_over_price_48,0.24658067727828822,asset,0
3,ema_trend_48_192,0.2340657349797246,asset,0
4,vol_rolling_192,0.2278956936570654,asset,0
5,vol_rolling_96,0.17747144562468933,asset,0
6,fractal_dimension_96,0.17617733217214712,asset,0
7,atr_48,0.17387647420204522,asset,0
8,bollinger_bandwidth_rank_192,0.13557435039013796,asset,0
9,vol_rolling_48,0.11929608831943982,asset,0
10,ret_48,0.1096355449969078,asset,0
11,atr_pct_rank_192,0.10955550059808936,asset,0
12,mama_minus_fama_over_atr,0.10349876079115186,asset,0
13,close_over_bb_mid_192,0.09768089327616541,asset,0
14,vol_rolling_24,0.08045641876166604,asset,0
15,close_over_bb_upper_192,0.0781404274340139,asset,0
16,bollinger_percent_b,0.07049819268245863,asset,0
17,atr_pct,0.06958819934965818,asset,0
18,frama_slope_over_atr,0.06947019750686609,asset,0
19,ret_16,0.062398217663182,asset,0
20,close_minus_decycler_over_atr,0.04194247427400173,asset,0
21,roofing_filter_over_atr,0.041884266739361735,asset,0
22,distance_from_ema96_atr,0.038086663961468224,asset,0
23,ret_24,0.03566001163880313,asset,0
24,rolling_return_48,0.02943830265421568,asset,0
25,instantaneous_trendline_slope_over_atr,0.020759339741337243,asset,0
26,ema_alignment_score,0.019819567871233908,asset,0
27,close_location,0.01753916152524762,asset,0
28,distance_from_ema24_atr,0.016529540729913018,asset,0
29,ret_4,0.015524838104786049,asset,0
30,close_ret,0.013614080071117479,asset,0
31,lag_close_ret_1,0.013525453426735154,asset,0
32,rolling_return_24,0.012296810610852233,asset,0
33,range_to_atr,0.011347857249997923,asset,0
34,lag_close_ret_2,0.011075559451457391,asset,0
35,decycler_slope_over_atr,0.010487402399871842,asset,0
36,lower_wick_ratio,0.010287883379474236,asset,0
37,lag_close_ret_4,0.01010704395627902,asset,0
38,lag_close_ret_24,0.009894358577623297,asset,0
39,upper_wick_ratio,0.009719170918582756,asset,0
40,supersmoother_slope_over_atr,0.00841241632139982,asset,0
41,lag_close_ret_8,0.007220844492035234,asset,0
42,lag_close_ret_16,0.006789798325519259,asset,0
43,lag_close_ret_48,0.005504337070150333,asset,0
44,ret_1,0.004157141947603636,asset,0
45,body_ratio,0.0032245849603027917,asset,0
46,ret_8,0.0027129085448305812,asset,0
47,dominant_cycle_phase_normalized,0.0025042493050039826,asset,0
1,bollinger_bandwidth,0.2746895605179043,asset,1
2,atr_48,0.24598980221700142,asset,1
3,ema_trend_48_192,0.19572990322071113,asset,1
4,fractal_dimension_96,0.19072500403484363,asset,1
5,vol_rolling_192,0.18260592881394383,asset,1
6,atr_over_price_48,0.1733249429408992,asset,1
7,vol_rolling_96,0.14344252990402637,asset,1
8,ret_48,0.12837680572597773,asset,1
9,bollinger_bandwidth_rank_192,0.12353565119771953,asset,1
10,vol_rolling_48,0.10811594983894098,asset,1
11,atr_pct_rank_192,0.10680131599011963,asset,1
12,mama_minus_fama_over_atr,0.094123614719747,asset,1
13,close_over_bb_mid_192,0.09094364851807661,asset,1
14,close_over_bb_upper_192,0.0830616960506209,asset,1
15,vol_rolling_24,0.06748535895191331,asset,1
16,bollinger_percent_b,0.06508394475193142,asset,1
17,frama_slope_over_atr,0.055596786693720854,asset,1
18,ret_24,0.053089412840774626,asset,1
19,atr_pct,0.05127586689792182,asset,1
20,close_minus_decycler_over_atr,0.04154457548836728,asset,1
21,ret_16,0.038473961514228265,asset,1
22,distance_from_ema96_atr,0.035369057118700024,asset,1
23,rolling_return_48,0.029523705485262466,asset,1
24,roofing_filter_over_atr,0.026438452778144113,asset,1
25,ema_alignment_score,0.023151949876055872,asset,1
26,rolling_return_24,0.022397317579800447,asset,1
27,ret_4,0.018898803761190384,asset,1
28,distance_from_ema24_atr,0.014202983635114574,asset,1
29,instantaneous_trendline_slope_over_atr,0.014077786595638022,asset,1
30,close_ret,0.013505722136365129,asset,1
31,lag_close_ret_1,0.008043820577077586,asset,1
32,lag_close_ret_2,0.007950124255485892,asset,1
33,lag_close_ret_24,0.0072004694724203885,asset,1
34,close_location,0.006947235121291747,asset,1
35,decycler_slope_over_atr,0.006940083927480353,asset,1
36,range_to_atr,0.0059916640960211275,asset,1
37,supersmoother_slope_over_atr,0.005816894771402633,asset,1
38,ret_1,0.005501233087825922,asset,1
39,lag_close_ret_8,0.005427247867192289,asset,1
40,lag_close_ret_48,0.005306070726553845,asset,1
41,upper_wick_ratio,0.00525485265469346,asset,1
42,lag_close_ret_4,0.005093608521818203,asset,1
43,ret_8,0.004483699004793387,asset,1
44,lag_close_ret_16,0.004366930578042449,asset,1
45,body_ratio,0.0041007988742662845,asset,1
46,lower_wick_ratio,0.0018954161635546943,asset,1
47,dominant_cycle_phase_normalized,0.001881943618372375,asset,1
1,vol_rolling_192,0.3492181676897757,asset,2
2,bollinger_bandwidth,0.3423305424278146,asset,2
3,ema_trend_48_192,0.21945362412371927,asset,2
4,atr_48,0.21521059708633994,asset,2
5,vol_rolling_96,0.207988685984806,asset,2
6,fractal_dimension_96,0.18694519246376334,asset,2
7,bollinger_bandwidth_rank_192,0.185121707967414,asset,2
8,atr_over_price_48,0.17113298699191862,asset,2
9,vol_rolling_24,0.13842161799478522,asset,2
10,vol_rolling_48,0.11889289336818788,asset,2
11,mama_minus_fama_over_atr,0.1055163077655213,asset,2
12,ret_48,0.1053766648440511,asset,2
13,bollinger_percent_b,0.10228439502904096,asset,2
14,close_over_bb_mid_192,0.09120712689620131,asset,2
15,atr_pct_rank_192,0.08808679919362905,asset,2
16,close_over_bb_upper_192,0.07158029889444192,asset,2
17,atr_pct,0.06990274846594918,asset,2
18,frama_slope_over_atr,0.05702980678962755,asset,2
19,ret_16,0.04346965969158547,asset,2
20,roofing_filter_over_atr,0.04052813915971784,asset,2
21,ret_24,0.037727442054947075,asset,2
22,distance_from_ema96_atr,0.03725795481897613,asset,2
23,close_minus_decycler_over_atr,0.03715058025493235,asset,2
24,ema_alignment_score,0.03261287161905083,asset,2
25,ret_4,0.02230249471223462,asset,2
26,rolling_return_48,0.020122792929856703,asset,2
27,rolling_return_24,0.01769066107520696,asset,2
28,instantaneous_trendline_slope_over_atr,0.014471117993504604,asset,2
29,distance_from_ema24_atr,0.014120579353484701,asset,2
30,close_ret,0.01186604972595093,asset,2
31,decycler_slope_over_atr,0.010624795464251413,asset,2
32,supersmoother_slope_over_atr,0.009347146259734172,asset,2
33,lag_close_ret_24,0.008735291476675107,asset,2
34,close_location,0.007791389374071482,asset,2
35,ret_8,0.0076774952009453536,asset,2
36,lag_close_ret_1,0.00672134535151215,asset,2
37,range_to_atr,0.005809600259646227,asset,2
38,lag_close_ret_8,0.0057148637712470095,asset,2
39,lag_close_ret_2,0.005691708268589866,asset,2
40,lag_close_ret_16,0.005221316526616394,asset,2
41,upper_wick_ratio,0.0038686705423664675,asset,2
42,lag_close_ret_4,0.0037966420798167195,asset,2
43,lag_close_ret_48,0.003441811225619268,asset,2
44,ret_1,0.0024835481791898955,asset,2
45,lower_wick_ratio,0.0020292477674740887,asset,2
46,body_ratio,0.0017525846065902927,asset,2
47,dominant_cycle_phase_normalized,0.0008212173155012089,asset,2
1,vol_rolling_96,0.30685295285062814,asset,3
2,bollinger_bandwidth,0.29207665522964077,asset,3
3,atr_over_price_48,0.28317438846537285,asset,3
4,vol_rolling_192,0.24464053943242384,asset,3
5,bollinger_bandwidth_rank_192,0.2136277936449635,asset,3
6,atr_48,0.20278310518694262,asset,3
7,ema_trend_48_192,0.19875248038879711,asset,3
8,vol_rolling_24,0.15078042347617215,asset,3
9,vol_rolling_48,0.1434982864320083,asset,3
10,fractal_dimension_96,0.12939496799777747,asset,3
11,bollinger_percent_b,0.11736867729017686,asset,3
12,close_over_bb_mid_192,0.11334340050389759,asset,3
13,ret_48,0.10434253951026949,asset,3
14,mama_minus_fama_over_atr,0.09768887727109558,asset,3
15,atr_pct,0.08476739852044327,asset,3
16,atr_pct_rank_192,0.07215797322263982,asset,3
17,ret_16,0.06469067101649309,asset,3
18,frama_slope_over_atr,0.06456104704309969,asset,3
19,ema_alignment_score,0.054179011058355576,asset,3
20,roofing_filter_over_atr,0.04991500885092541,asset,3
21,close_over_bb_upper_192,0.04625681328419948,asset,3
22,ret_24,0.04363218501961118,asset,3
23,close_minus_decycler_over_atr,0.03879548536252958,asset,3
24,rolling_return_48,0.037294880133352734,asset,3
25,distance_from_ema96_atr,0.03559915120526056,asset,3
26,ret_4,0.02070663457511966,asset,3
27,rolling_return_24,0.017809550891227523,asset,3
28,distance_from_ema24_atr,0.013841231671039168,asset,3
29,decycler_slope_over_atr,0.013439739729733158,asset,3
30,instantaneous_trendline_slope_over_atr,0.010693040263261743,asset,3
31,close_location,0.010410987544683357,asset,3
32,close_ret,0.008739304408867592,asset,3
33,lag_close_ret_1,0.008151026725703489,asset,3
34,upper_wick_ratio,0.007951690956113566,asset,3
35,lag_close_ret_24,0.007476735697876634,asset,3
36,lower_wick_ratio,0.0071492810744481295,asset,3
37,lag_close_ret_2,0.006314116395862324,asset,3
38,ret_8,0.00583743828226161,asset,3
39,lag_close_ret_4,0.005175412722345164,asset,3
40,supersmoother_slope_over_atr,0.004401130462370424,asset,3
41,ret_1,0.0037584093356901414,asset,3
42,lag_close_ret_48,0.00369948245551797,asset,3
43,body_ratio,0.0035659831439511474,asset,3
44,range_to_atr,0.0033634740800180403,asset,3
45,lag_close_ret_16,0.0027587810855699045,asset,3
46,lag_close_ret_8,0.002269327752461642,asset,3
47,dominant_cycle_phase_normalized,0.0014870371948862893,asset,3
1,bollinger_bandwidth,0.39175093391280513,asset,4
2,vol_rolling_192,0.28943901992617005,asset,4
3,vol_rolling_96,0.2643730178378655,asset,4
4,atr_over_price_48,0.22692681726822164,asset,4
5,atr_48,0.2037384193688296,asset,4
6,ema_trend_48_192,0.1952084095998191,asset,4
7,bollinger_bandwidth_rank_192,0.15007814170725517,asset,4
8,vol_rolling_24,0.1342596868910254,asset,4
9,ret_48,0.11387745472324448,asset,4
10,vol_rolling_48,0.11193672379029714,asset,4
11,fractal_dimension_96,0.11155939470820445,asset,4
12,atr_pct_rank_192,0.08312511517826204,asset,4
13,bollinger_percent_b,0.08189392942830205,asset,4
14,mama_minus_fama_over_atr,0.07670364190505963,asset,4
15,close_over_bb_mid_192,0.07440703819660835,asset,4
16,atr_pct,0.07082000790575564,asset,4
17,roofing_filter_over_atr,0.07076373006354615,asset,4
18,frama_slope_over_atr,0.058081224353586654,asset,4
19,ret_24,0.04997954834697291,asset,4
20,close_over_bb_upper_192,0.04820028289109165,asset,4
21,ret_16,0.04155914250117198,asset,4
22,distance_from_ema96_atr,0.03761548488956822,asset,4
23,rolling_return_48,0.03369236178127246,asset,4
24,ema_alignment_score,0.03138347572254708,asset,4
25,close_minus_decycler_over_atr,0.02379722326934537,asset,4
26,rolling_return_24,0.022368047480322145,asset,4
27,instantaneous_trendline_slope_over_atr,0.016806439474861108,asset,4
28,ret_4,0.013196839591349763,asset,4
29,distance_from_ema24_atr,0.009201124744602138,asset,4
30,lower_wick_ratio,0.009039391101050091,asset,4
31,supersmoother_slope_over_atr,0.008154749053751768,asset,4
32,lag_close_ret_24,0.007904794957246669,asset,4
33,decycler_slope_over_atr,0.0077938986393615815,asset,4
34,upper_wick_ratio,0.007085569296122203,asset,4
35,close_ret,0.006813536053778914,asset,4
36,lag_close_ret_48,0.00663255705154585,asset,4
37,close_location,0.006118423101373839,asset,4
38,ret_1,0.00570962263529504,asset,4
39,ret_8,0.0051312440067032995,asset,4
40,lag_close_ret_1,0.005129063132509802,asset,4
41,range_to_atr,0.00439913959921971,asset,4
42,lag_close_ret_8,0.003899751413245022,asset,4
43,lag_close_ret_2,0.0037081010142689134,asset,4
44,lag_close_ret_4,0.003569905840929871,asset,4
45,lag_close_ret_16,0.0027208039575427044,asset,4
46,dominant_cycle_phase_normalized,0.0022506663516270926,asset,4
47,body_ratio,0.001093230631838046,asset,4
1,bollinger_bandwidth,0.4291801772928852,asset,5
2,vol_rolling_96,0.3982836528274224,asset,5
3,atr_48,0.3866943065601701,asset,5
4,vol_rolling_192,0.2910818195665458,asset,5
5,atr_over_price_48,0.2028074263741852,asset,5
6,bollinger_bandwidth_rank_192,0.17395323874709703,asset,5
7,ema_trend_48_192,0.15722781315138862,asset,5
8,vol_rolling_24,0.1297797345526127,asset,5
9,atr_pct_rank_192,0.127026913747447,asset,5
10,mama_minus_fama_over_atr,0.11531218534679429,asset,5
11,atr_pct,0.10956825945951866,asset,5
12,ret_48,0.10297132150308665,asset,5
13,fractal_dimension_96,0.09693554164915068,asset,5
14,vol_rolling_48,0.09220595834270098,asset,5
15,bollinger_percent_b,0.071159537974752,asset,5
16,close_over_bb_upper_192,0.061106545883246606,asset,5
17,frama_slope_over_atr,0.047481597713788945,asset,5
18,close_over_bb_mid_192,0.04078357507594151,asset,5
19,distance_from_ema96_atr,0.03963590022614809,asset,5
20,roofing_filter_over_atr,0.03749576469163387,asset,5
21,ret_16,0.03653860943797618,asset,5
22,ema_alignment_score,0.03387709339189851,asset,5
23,ret_24,0.03349102859197462,asset,5
24,rolling_return_48,0.033464405773643256,asset,5
25,rolling_return_24,0.029144528186926758,asset,5
26,close_minus_decycler_over_atr,0.024049543595165056,asset,5
27,upper_wick_ratio,0.015958530411264108,asset,5
28,ret_4,0.015844840749083502,asset,5
29,distance_from_ema24_atr,0.009790461273483632,asset,5
30,lag_close_ret_24,0.00964696561110684,asset,5
31,instantaneous_trendline_slope_over_atr,0.007529980492633314,asset,5
32,ret_8,0.006556611856762651,asset,5
33,close_location,0.0063404203521621825,asset,5
34,body_ratio,0.0053574767978774055,asset,5
35,lag_close_ret_1,0.005108360730677728,asset,5
36,decycler_slope_over_atr,0.004971914453181674,asset,5
37,ret_1,0.004874474869706897,asset,5
38,lag_close_ret_48,0.0042260250817159,asset,5
39,lag_close_ret_2,0.00368968500169721,asset,5
40,lower_wick_ratio,0.003628467730750618,asset,5
41,supersmoother_slope_over_atr,0.0035944832133394506,asset,5
42,range_to_atr,0.0030045054690950733,asset,5
43,close_ret,0.00300320372215937,asset,5
44,lag_close_ret_4,0.0024460947243503,asset,5
45,dominant_cycle_phase_normalized,0.0023461192317659773,asset,5
46,lag_close_ret_8,0.001436957595764042,asset,5
47,lag_close_ret_16,0.0014052685150360207,asset,5
1,bollinger_bandwidth,0.30322293456650073,asset,6
2,atr_over_price_48,0.2884655822412697,asset,6
3,atr_48,0.24820784544096888,asset,6
4,ema_trend_48_192,0.217843885769153,asset,6
5,vol_rolling_192,0.2171297367064984,asset,6
6,vol_rolling_96,0.19260850378088695,asset,6
7,bollinger_bandwidth_rank_192,0.13547716285347783,asset,6
8,ret_48,0.1281550256200577,asset,6
9,bollinger_percent_b,0.08718265329435647,asset,6
10,atr_pct_rank_192,0.08418768620268664,asset,6
11,atr_pct,0.08113763436481847,asset,6
12,fractal_dimension_96,0.08054983088424106,asset,6
13,vol_rolling_48,0.07798394230345272,asset,6
14,vol_rolling_24,0.07534584681392253,asset,6
15,close_over_bb_mid_192,0.0730224062444418,asset,6
16,ema_alignment_score,0.06333468659491004,asset,6
17,mama_minus_fama_over_atr,0.059949320092946456,asset,6
18,close_over_bb_upper_192,0.04906992357412596,asset,6
19,ret_24,0.048271997441635524,asset,6
20,frama_slope_over_atr,0.04817066886276992,asset,6
21,distance_from_ema96_atr,0.04198502395619843,asset,6
22,roofing_filter_over_atr,0.03841297457130068,asset,6
23,ret_16,0.037354621790188905,asset,6
24,rolling_return_48,0.035556446816058615,asset,6
25,close_minus_decycler_over_atr,0.01691991604305585,asset,6
26,ret_4,0.01636581226707899,asset,6
27,ret_8,0.016234024359793334,asset,6
28,upper_wick_ratio,0.013603746001849023,asset,6
29,rolling_return_24,0.013428903342168876,asset,6
30,lag_close_ret_24,0.009201678214643506,asset,6
31,close_ret,0.008846329983945375,asset,6
32,instantaneous_trendline_slope_over_atr,0.007027407730914842,asset,6
33,distance_from_ema24_atr,0.006733580370765646,asset,6
34,decycler_slope_over_atr,0.005689313254486052,asset,6
35,lag_close_ret_1,0.005489012905560198,asset,6
36,lag_close_ret_48,0.0051950287848441315,asset,6
37,lower_wick_ratio,0.00447235768693284,asset,6
38,close_location,0.004287664815373421,asset,6
39,supersmoother_slope_over_atr,0.003971213506484038,asset,6
40,range_to_atr,0.0037770710688821603,asset,6
41,lag_close_ret_4,0.0030347539972984767,asset,6
42,lag_close_ret_2,0.0028069617897707637,asset,6
43,lag_close_ret_16,0.002416236641912936,asset,6
44,body_ratio,0.002215377051209058,asset,6
45,ret_1,0.0014634992213897857,asset,6
46,dominant_cycle_phase_normalized,0.0010508859281010631,asset,6
