fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.48904109589041095,2.738355204324785
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5559360730593608,2.6719120901751587
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.526255707762557,2.7473373576047053
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5424657534246575,2.564642099166069
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5047945205479452,2.700579097631238
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5470319634703197,2.546625996325146
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.495662100456621,2.640260902613739
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.517351598173516,2.6710524516336402
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.547945205479452,2.5369358939832165
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5027397260273972,2.6273290075180564
