trade_id,policy,counterfactual_r
0,baseline,2.420108841612632
0,breakeven_after_0_5r,2.420108841612632
0,breakeven_after_1_0r,2.420108841612632
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,1.8417759298802134
0,time_exit_after_4_bars_if_mfe_lt_0_3r,2.420108841612632
0,partial_50pct_at_1r,1.710054420806316
1,baseline,-2.5205992372830193
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,0.9681921352293958
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830193
1,partial_50pct_at_1r,-0.7602996186415096
2,baseline,0.21152568091455873
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.6414876981898416
2,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21152568091455873
2,partial_50pct_at_1r,0.6057628404572794
3,baseline,0.5954139873923537
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.549247147605368
3,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923537
3,partial_50pct_at_1r,0.7977069936961769
4,baseline,0.9883816260852935
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.7798266803617286
4,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852935
4,partial_50pct_at_1r,0.9941908130426467
5,baseline,2.810488407956623
5,breakeven_after_0_5r,2.810488407956623
5,breakeven_after_1_0r,2.810488407956623
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.5159626043202712
5,time_exit_after_4_bars_if_mfe_lt_0_3r,2.810488407956623
5,partial_50pct_at_1r,1.9052442039783115
6,baseline,0.11943887454474966
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.7715737299047185
6,time_exit_after_4_bars_if_mfe_lt_0_3r,0.11943887454474966
6,partial_50pct_at_1r,0.5597194372723748
7,baseline,0.014047214325983794
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.6282982709605771
7,time_exit_after_4_bars_if_mfe_lt_0_3r,0.014047214325983794
7,partial_50pct_at_1r,0.5070236071629919
8,baseline,3.6051773123944533
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.6819030487203603
8,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6051773123944533
8,partial_50pct_at_1r,2.3025886561972264
9,baseline,3.6717907479310306
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.8728900208635308
9,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6717907479310306
9,partial_50pct_at_1r,2.3358953739655153
10,baseline,4.730865209002453
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,4.730865209002453
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.8199279261763472
10,time_exit_after_4_bars_if_mfe_lt_0_3r,4.730865209002453
10,partial_50pct_at_1r,2.8654326045012266
11,baseline,-8.45009594099719
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,1.0833029057193007
11,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.45009594099719
11,partial_50pct_at_1r,-3.7250479704985953
12,baseline,-2.274596826944233
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,-2.274596826944233
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,-2.274596826944233
12,trail_0_5r_after_1_0r,-2.274596826944233
12,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.274596826944233
12,partial_50pct_at_1r,-2.274596826944233
13,baseline,3.521174626830046
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,0.6855802948758303
13,time_exit_after_4_bars_if_mfe_lt_0_3r,3.521174626830046
13,partial_50pct_at_1r,2.260587313415023
14,baseline,-0.28319756800815704
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,0.9189018932281121
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.28319756800815704
14,partial_50pct_at_1r,0.35840121599592145
15,baseline,-0.6491183300867377
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,0.0
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,0.6382696425844105
15,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.6491183300867377
15,partial_50pct_at_1r,0.17544083495663115
16,baseline,0.3037083186988812
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,1.4242307891974357
16,time_exit_after_4_bars_if_mfe_lt_0_3r,0.3037083186988812
16,partial_50pct_at_1r,0.6518541593494406
17,baseline,2.434526959796833
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,1.1637603009366846
17,time_exit_after_4_bars_if_mfe_lt_0_3r,2.434526959796833
17,partial_50pct_at_1r,1.7172634798984165
18,baseline,-2.3090419740799386
18,breakeven_after_0_5r,0.0
18,breakeven_after_1_0r,-2.3090419740799386
18,exit_at_first_0_5r,0.5
18,exit_at_first_1_0r,-2.3090419740799386
18,trail_0_5r_after_1_0r,-2.3090419740799386
18,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.3090419740799386
18,partial_50pct_at_1r,-2.3090419740799386
19,baseline,-6.1526298950054485
19,breakeven_after_0_5r,0.0
19,breakeven_after_1_0r,0.0
19,exit_at_first_0_5r,0.5
19,exit_at_first_1_0r,1.0
19,trail_0_5r_after_1_0r,1.0346013362083053
