rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,149729.6602396965,0.11875287408484593,gain,asset,0
2,vol_rolling_192,121059.206969738,0.09601390091364934,gain,asset,0
3,bollinger_bandwidth,120328.68245124817,0.09543451079133664,gain,asset,0
4,ema_trend_48_192,99923.1998372078,0.07925061173201582,gain,asset,0
5,vol_rolling_96,85727.37221240997,0.0679916846245939,gain,asset,0
6,garman_klass_vol_48,85461.27075529099,0.0677806355059326,gain,asset,0
7,bollinger_bandwidth_rank_192,77886.747382164,0.06177316565031613,gain,asset,0
8,atr_pct_rank_192,60068.6360874176,0.04764135019286139,gain,asset,0
9,atr_over_price_48,57555.75109958649,0.045648342834987934,gain,asset,0
10,vol_rolling_48,54575.82004404068,0.04328491412718049,gain,asset,0
11,mama_minus_fama_over_atr,44492.99718427658,0.0352880737445298,gain,asset,0
12,vol_rolling_24,41991.815858364105,0.03330434873918376,gain,asset,0
13,close_over_bb_upper_192,41452.28349113464,0.032876437401057904,gain,asset,0
14,ret_48,36227.58445119858,0.02873264901452519,gain,asset,0
15,close_over_bb_mid_192,31095.31603527069,0.024662168763714253,gain,asset,0
16,bollinger_percent_b,22928.73207473755,0.01818512663848676,gain,asset,0
17,distance_from_ema96_atr,20815.91449689865,0.01650941883694837,gain,asset,0
18,atr_pct,17207.43932914734,0.013647482220326995,gain,asset,0
19,ret_24,15275.035934448242,0.01211486365534483,gain,asset,0
20,rolling_return_48,11238.867635726929,0.008913717102310547,gain,asset,0
21,ret_16,10948.000836372375,0.008683026213518588,gain,asset,0
22,roofing_filter_over_atr,9942.211568832397,0.007885319426146889,gain,asset,0
23,ema_alignment_score,6935.523052215576,0.005500668968418225,gain,asset,0
24,distance_from_ema24_atr,5373.462460517883,0.004261774921227993,gain,asset,0
25,close_minus_decycler_over_atr,5252.85964345932,0.00416612299010422,gain,asset,0
26,instantaneous_trendline_slope_over_atr,4215.719666004181,0.003343551477192733,gain,asset,0
27,frama_slope_over_atr,4096.961806774139,0.0032493628102235146,gain,asset,0
28,rolling_return_24,3188.1818294525146,0.002528595568483043,gain,asset,0
29,decycler_slope_over_atr,1839.5883984565735,0.001459005577786915,gain,asset,0
30,range_to_atr,1332.8455228805542,0.001057100084911713,gain,asset,0
31,supersmoother_slope_over_atr,1272.274672985077,0.0010090604212984063,gain,asset,0
32,ret_4,1138.0168566703796,0.000902578502283815,gain,asset,0
33,lag_close_ret_16,1043.218586921692,0.0008273925506633721,gain,asset,0
34,ret_8,952.7996969223022,0.0007556799518249069,gain,asset,0
35,upper_wick_ratio,839.2003121376038,0.0006655825495075756,gain,asset,0
36,close_ret,837.2472085952759,0.0006640335133402228,gain,asset,0
37,lag_close_ret_1,829.5867676734924,0.0006579579009681473,gain,asset,0
38,close_location,696.7436323165894,0.0005525979869683423,gain,asset,0
39,lag_close_ret_4,694.1924848556519,0.0005505746330602683,gain,asset,0
40,lag_close_ret_48,686.8720021247864,0.00054476864670735,gain,asset,0
41,lag_close_ret_2,662.2934684753418,0.0005252750373116559,gain,asset,0
42,dominant_cycle_phase_normalized,660.6382427215576,0.0005239622525554062,gain,asset,0
43,lag_close_ret_8,645.7251558303833,0.0005121344561991671,gain,asset,0
44,lag_close_ret_24,609.4655046463013,0.0004833763745703802,gain,asset,0
45,body_ratio,406.6271438598633,0.0003225021811775184,gain,asset,0
46,ret_1,386.95976209640503,0.0003069036811448886,gain,asset,0
47,lower_wick_ratio,321.2833876609802,0.00025481474825614993,gain,asset,0
1,atr_48,1100.0,0.10582010582010581,split,asset,0
2,vol_rolling_192,952.0,0.09158249158249158,split,asset,0
3,bollinger_bandwidth,792.0,0.0761904761904762,split,asset,0
4,ema_trend_48_192,723.0,0.06955266955266955,split,asset,0
5,garman_klass_vol_48,670.0,0.06445406445406446,split,asset,0
6,vol_rolling_96,641.0,0.061664261664261664,split,asset,0
7,bollinger_bandwidth_rank_192,543.0,0.052236652236652234,split,asset,0
8,vol_rolling_48,466.0,0.04482924482924483,split,asset,0
9,atr_pct_rank_192,449.0,0.043193843193843194,split,asset,0
10,vol_rolling_24,434.0,0.041750841750841754,split,asset,0
11,atr_over_price_48,425.0,0.040885040885040885,split,asset,0
12,mama_minus_fama_over_atr,392.0,0.03771043771043771,split,asset,0
13,close_over_bb_upper_192,325.0,0.031265031265031266,split,asset,0
14,ret_48,278.0,0.026743626743626743,split,asset,0
15,close_over_bb_mid_192,252.0,0.024242424242424242,split,asset,0
16,bollinger_percent_b,187.0,0.01798941798941799,split,asset,0
17,distance_from_ema96_atr,184.0,0.0177008177008177,split,asset,0
18,ret_24,164.0,0.015776815776815778,split,asset,0
19,roofing_filter_over_atr,150.0,0.01443001443001443,split,asset,0
20,atr_pct,118.0,0.011351611351611352,split,asset,0
21,ret_16,113.0,0.010870610870610871,split,asset,0
22,rolling_return_48,93.0,0.008946608946608947,split,asset,0
23,frama_slope_over_atr,81.0,0.007792207792207792,split,asset,0
24,close_minus_decycler_over_atr,79.0,0.0075998075998075995,split,asset,0
25,distance_from_ema24_atr,72.0,0.006926406926406926,split,asset,0
26,ret_4,50.0,0.00481000481000481,split,asset,0
27,range_to_atr,48.0,0.004617604617604618,split,asset,0
28,lag_close_ret_1,45.0,0.004329004329004329,split,asset,0
29,instantaneous_trendline_slope_over_atr,44.0,0.004232804232804233,split,asset,0
30,lag_close_ret_4,41.0,0.0039442039442039445,split,asset,0
31,lag_close_ret_16,41.0,0.0039442039442039445,split,asset,0
32,close_ret,41.0,0.0039442039442039445,split,asset,0
33,ema_alignment_score,38.0,0.0036556036556036555,split,asset,0
34,rolling_return_24,37.0,0.0035594035594035595,split,asset,0
35,upper_wick_ratio,35.0,0.003367003367003367,split,asset,0
36,lag_close_ret_2,34.0,0.003270803270803271,split,asset,0
37,close_location,33.0,0.0031746031746031746,split,asset,0
38,supersmoother_slope_over_atr,33.0,0.0031746031746031746,split,asset,0
39,lag_close_ret_48,30.0,0.002886002886002886,split,asset,0
40,decycler_slope_over_atr,26.0,0.002501202501202501,split,asset,0
41,ret_8,26.0,0.002501202501202501,split,asset,0
42,lag_close_ret_8,26.0,0.002501202501202501,split,asset,0
43,lag_close_ret_24,20.0,0.001924001924001924,split,asset,0
44,dominant_cycle_phase_normalized,19.0,0.0018278018278018277,split,asset,0
45,lower_wick_ratio,17.0,0.0016354016354016355,split,asset,0
46,body_ratio,15.0,0.001443001443001443,split,asset,0
47,ret_1,13.0,0.0012506012506012505,split,asset,0
1,atr_48,150146.72848510742,0.1093585091819464,gain,asset,1
2,vol_rolling_192,135139.78509998322,0.0984282879741108,gain,asset,1
3,bollinger_bandwidth,126812.25150537491,0.09236297660664222,gain,asset,1
4,ema_trend_48_192,112958.43505048752,0.08227262878972609,gain,asset,1
