rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.32602380141367193,asset,0
2,ema_trend_48_192,0.24523670798004019,asset,0
3,garman_klass_vol_48,0.23908744687318703,asset,0
4,vol_rolling_192,0.21706926176074684,asset,0
5,atr_48,0.20415559233247002,asset,0
6,vol_rolling_96,0.17143015135217662,asset,0
7,atr_over_price_48,0.16291557601777498,asset,0
8,bollinger_bandwidth_rank_192,0.1355461977012411,asset,0
9,atr_pct_rank_192,0.1287318798124563,asset,0
10,ret_48,0.10824425609384353,asset,0
11,close_over_bb_mid_192,0.10012298426759533,asset,0
12,mama_minus_fama_over_atr,0.09636631543385779,asset,0
13,bollinger_percent_b,0.09581595465210781,asset,0
14,vol_rolling_24,0.08916678295985285,asset,0
15,close_over_bb_upper_192,0.08139369659441187,asset,0
16,vol_rolling_48,0.08062583979318262,asset,0
17,frama_slope_over_atr,0.07231228163476519,asset,0
18,ret_16,0.06035055931255801,asset,0
19,atr_pct,0.05935151855343955,asset,0
20,distance_from_ema96_atr,0.05089046292474806,asset,0
21,close_minus_decycler_over_atr,0.042781917807667054,asset,0
22,ret_24,0.040311485147652364,asset,0
23,instantaneous_trendline_slope_over_atr,0.0365975923553162,asset,0
24,roofing_filter_over_atr,0.03357477723376487,asset,0
25,rolling_return_48,0.0290021638645165,asset,0
26,close_location,0.01666851243039337,asset,0
27,distance_from_ema24_atr,0.014525093184164577,asset,0
28,ret_4,0.01391681275751482,asset,0
29,lag_close_ret_1,0.013533619294566647,asset,0
30,range_to_atr,0.013354342958500052,asset,0
31,close_ret,0.013028814407869157,asset,0
32,decycler_slope_over_atr,0.011873846181908423,asset,0
33,lag_close_ret_4,0.011241143651123473,asset,0
34,ema_alignment_score,0.010932283955948308,asset,0
35,lag_close_ret_2,0.010910428515242359,asset,0
36,supersmoother_slope_over_atr,0.007940465622336442,asset,0
37,rolling_return_24,0.007841527162566067,asset,0
38,upper_wick_ratio,0.00657299860000195,asset,0
39,lower_wick_ratio,0.006431570979721721,asset,0
40,lag_close_ret_16,0.006056864261031766,asset,0
41,lag_close_ret_24,0.0058093311392319125,asset,0
42,ret_1,0.00461998420317539,asset,0
43,dominant_cycle_phase_normalized,0.004370916452822489,asset,0
44,lag_close_ret_8,0.0037467490595129048,asset,0
45,ret_8,0.0033672167221732944,asset,0
46,lag_close_ret_48,0.003281964869250253,asset,0
47,body_ratio,0.002616752452257019,asset,0
