feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1060.2,0.09811962564856412,10,feature_importances_,1
vol_rolling_192,1017.7,0.09413427748375128,10,feature_importances_,2
bollinger_bandwidth,905.5,0.08374372376596051,10,feature_importances_,3
vol_rolling_96,758.0,0.07009503163571153,10,feature_importances_,4
ema_trend_48_192,716.5,0.06631380661769277,10,feature_importances_,5
garman_klass_vol_48,633.6,0.05863871784167388,10,feature_importances_,6
bollinger_bandwidth_rank_192,578.6,0.05352136845644086,10,feature_importances_,7
atr_over_price_48,502.7,0.04648163994929318,10,feature_importances_,8
vol_rolling_48,489.5,0.045270425575390516,10,feature_importances_,9
atr_pct_rank_192,444.6,0.041140187274691174,10,feature_importances_,10
vol_rolling_24,388.3,0.03594791740650507,10,feature_importances_,11
mama_minus_fama_over_atr,386.8,0.035794780528815864,10,feature_importances_,12
close_over_bb_upper_192,298.2,0.027603603715829084,10,feature_importances_,13
close_over_bb_mid_192,282.9,0.026163078678501994,10,feature_importances_,14
ret_48,276.2,0.025553918523382298,10,feature_importances_,15
bollinger_percent_b,236.2,0.02184398713832513,10,feature_importances_,16
distance_from_ema96_atr,184.1,0.017036122057100055,10,feature_importances_,17
ret_24,177.4,0.016404160286684805,10,feature_importances_,18
roofing_filter_over_atr,159.9,0.014794575142224379,10,feature_importances_,19
atr_pct,132.3,0.012235119975114122,10,feature_importances_,20
