metric,value
counterfactual.baseline.avg_r,0.4213281208505702
counterfactual.baseline.median_r,0.22426080323861025
counterfactual.baseline.profit_factor,1.3388019306257166
counterfactual.baseline.trade_count,310
counterfactual.baseline.win_rate,0.5419354838709678
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.0875781207135808
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.3072122584299137
counterfactual.breakeven_after_0_5r.trade_count,310
counterfactual.breakeven_after_0_5r.win_rate,0.012903225806451613
counterfactual.breakeven_after_1_0r.avg_r,0.04323244643005864
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.1085545889462807
counterfactual.breakeven_after_1_0r.trade_count,310
counterfactual.breakeven_after_1_0r.win_rate,0.11935483870967742
counterfactual.exit_at_first_0_5r.avg_r,0.34939237777969745
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,3.7638724643958197
counterfactual.exit_at_first_0_5r.trade_count,310
counterfactual.exit_at_first_0_5r.win_rate,0.9516129032258065
counterfactual.exit_at_first_1_0r.avg_r,0.4488238354626395
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.126975015091085
counterfactual.exit_at_first_1_0r.trade_count,310
counterfactual.exit_at_first_1_0r.win_rate,0.8483870967741935
counterfactual.partial_50pct_at_1r.avg_r,0.435075978156605
counterfactual.partial_50pct_at_1r.median_r,0.606949841636937
counterfactual.partial_50pct_at_1r.profit_factor,1.624366803895786
counterfactual.partial_50pct_at_1r.trade_count,310
counterfactual.partial_50pct_at_1r.win_rate,0.6548387096774193
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.41028156993662307
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.1807627581354151
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.332260586205627
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,310
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.532258064516129
counterfactual.trail_0_5r_after_1_0r.avg_r,0.6321178587390499
counterfactual.trail_0_5r_after_1_0r.median_r,0.7846918293837751
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.5872174717670156
counterfactual.trail_0_5r_after_1_0r.trade_count,310
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8483870967741935
