probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0772, 0.187]","(0.0772, 0.187]",31,0.1350936675744672,0.5806451612903226,0.7484342837043362,0.7484342837043362,1.9259577996835362,4.208568424055286,-2.641595461610617,3.460134140350949,1.5480124648628646,0.712768347611757,24.032258064516128
"(0.187, 0.225]","(0.187, 0.225]",31,0.20348077579852072,0.5806451612903226,0.9597156030835419,0.9597156030835419,0.17278783458233796,3.6210029030585895,-2.278279006115836,2.6612872999750463,2.0900240126635956,0.9238534190370438,24.0
"(0.225, 0.26]","(0.225, 0.26]",31,0.24287976997513924,0.5483870967741935,-0.09318392673894003,-0.09318392673894003,0.15783933169627232,3.2279127631059983,-3.324211724746815,3.3210966898449374,0.9384243407085514,-0.13216380070465597,24.29032258064516
"(0.26, 0.294]","(0.26, 0.294]",31,0.27465042183476107,0.5483870967741935,-0.6227383931186522,-0.6227383931186522,0.494785387984288,2.7129633280209022,-3.9648838655319483,3.335701721139555,0.7038416851746085,-0.665403557038086,24.0
"(0.294, 0.68]","(0.294, 0.68]",31,0.5048401086561142,0.5483870967741935,0.49645478695492534,0.49645478695492534,0.5008331257228521,3.319828997099284,-3.107286884050797,2.8233742101443595,1.4792174587380293,0.44840838822309886,24.0
"(0.68, 0.713]","(0.68, 0.713]",31,0.6932156220559151,0.7096774193548387,1.0079587500902214,1.0079587500902214,0.33929083537460647,3.4400224560107375,-2.2197865246650315,2.4320637059205152,2.0101048079706705,0.9686862173602969,24.06451612903226
"(0.713, 0.739]","(0.713, 0.739]",31,0.7273465664156021,0.5161290322580645,0.7139587856115241,0.7139587856115241,0.34920927764034043,2.8886490996988337,-2.8111260601278056,2.1746903140873095,1.6917064665954828,0.6770231362965998,24.032258064516128
"(0.739, 0.77]","(0.739, 0.77]",31,0.7511963248252869,0.5161290322580645,0.7553818754783252,0.7553818754783252,0.21627368563318944,3.505529206231344,-3.070088974109969,2.750147330753019,1.5640914257569287,0.7163715337243193,24.0
"(0.77, 0.816]","(0.77, 0.816]",31,0.7903675090882086,0.41935483870967744,-0.2024782984974758,-0.2024782984974758,-0.4377118802943797,2.4673029318109454,-2.6494359053967513,2.669781230308421,0.817480692285557,-0.24114811506824715,24.06451612903226
"(0.816, 0.981]","(0.816, 0.981]",31,0.8627585922518084,0.45161290322580644,0.449777741937897,0.449777741937897,-0.25503744176640974,3.2839331898864907,-2.63564087661638,2.8341554479485938,1.424671346636198,0.4040561009859126,24.451612903225808
