trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,long,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,2809.1,2804.1,24,1.0,-0.001779929514791334,-0.001979314381474806,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.3021536549755927,-0.27163199723794795,0.030521657737644783,0.3123767968236401,-2.156758058069297,17,1,position_exit,18.407257064122792,atr_48,True,False,False,False,False,False,False,False,False,True,0.6145304517992328,-0.9672730434782609,-0.9672730434782609,2.156758058069297,0.723907470703125,True
1,ETHUSD,short,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,3049.5,3099.45,24,1.0,-0.01677584747175176,-0.016971814464463608,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.5205992372830193,-2.4901934517727846,0.030405785510234772,2.2608663270850045,-4.00574662362252,16,20,position_exit,20.058682575219244,atr_48,True,True,True,True,True,True,True,True,True,True,4.781465564368023,-1.1148820286659298,-1.1148820286659298,4.00574662362252,0.16547587513923645,True
2,ETHUSD,short,2022-03-25 18:00:00,2022-03-25 18:00:00,2022-03-26 07:00:00,3125.0,3120.15,3125.0,3120.15,24,1.0,0.001236421651939823,0.001036251670329058,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.21152568091455873,0.2428164621149379,0.03129078120037918,2.080211134201217,-0.4080317868529491,3,22,position_exit,19.973934047783576,atr_48,True,True,False,True,False,True,False,True,False,False,1.8686854532866584,0.10168471720818029,0.10168471720818029,0.4080317868529491,0.20680640637874603,True
3,ETHUSD,long,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,3380.3,3390.8500000000004,24,1.0,0.003121024761115976,0.0029208542905958534,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.5954139873923537,0.6361814601860376,0.04076747279368391,3.1477414428161588,-3.7899530590229387,12,20,reversal,16.58331884886281,atr_48,True,True,False,True,False,True,False,True,False,False,2.552327455423805,0.18915593869732217,0.18915593869732217,3.7899530590229387,0.7466718554496765,True
4,ETHUSD,short,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,3390.8500000000004,3445.45,3390.8500000000004,3445.45,24,1.0,-0.016144767156005657,-0.016341152932975667,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.7366606227671055,-2.703086408307003,0.03357421446010218,1.0817296340935822,-4.576929275604111,3,21,position_exit,20.19913230750049,atr_48,True,True,True,True,True,False,False,False,False,True,3.818390256860688,-2.5298933638443266,-2.5298933638443266,4.576929275604111,0.13083142042160034,True
5,ETHUSD,short,2022-03-31 00:00:00,2022-03-31 00:00:00,2022-03-31 12:00:00,3399.1,3422.7,3399.1,3422.7,24,1.0,-0.007022800288842501,-0.007221740773898255,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-1.1091273233823966,-1.078072441715983,0.03105488166641366,0.5847172565239127,-1.2904892575625901,10,20,position_exit,21.890922248634293,atr_48,True,True,True,False,False,False,False,False,False,True,1.6938445799063093,-1.8968609375000334,-1.8968609375000334,1.2904892575625901,0.19404354691505432,True
6,ETHUSD,short,2022-04-02 13:30:00,2022-04-02 13:30:00,2022-04-03 01:30:00,3505.15,3441.1,3505.15,3441.1,24,1.0,0.018075744278278183,0.017871496748207205,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.810488407956623,2.8415897295507992,0.031101321594176286,4.041667827667085,-0.2661910753677556,24,1,position_exit,22.540199710718007,atr_48,True,True,False,True,False,True,False,True,False,False,1.2311794197104624,0.6953783754116383,0.6953783754116383,0.2661910753677556,0.28898999094963074,True
7,ETHUSD,short,2022-04-04 00:00:00,2022-04-04 00:00:00,2022-04-04 12:00:00,3490.7,3487.4,3490.7,3487.4,24,1.0,0.000739340999930338,0.0005389783281821714,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.11943887454474966,0.1514871230572293,0.03204824851247964,1.8912937787752535,-0.9731900026707783,21,15,position_exit,21.78402978022787,atr_48,True,True,False,True,False,True,False,False,False,False,1.7718549042305038,0.06315194174756646,0.06315194174756646,0.9731900026707783,0.21164517104625702,True
8,ETHUSD,short,2022-04-07 16:30:00,2022-04-07 16:30:00,2022-04-08 04:30:00,3221.25,3258.65,3221.25,3258.65,24,1.0,-0.011762558480213237,-0.011960227946410384,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-1.4478390267666217,-1.4233209907166433,0.024518036049978483,0.8543731615397943,-2.089313432896889,9,20,position_exit,26.276574464885226,atr_48,True,True,True,False,False,False,False,False,False,True,2.3022121883064157,-1.6946213808463428,-1.6946213808463428,2.089313432896889,0.2923451364040375,True
9,ETHUSD,long,2022-04-09 02:30:00,2022-04-09 02:30:00,2022-04-09 14:30:00,3189.4,3228.75,3189.4,3228.75,24,1.0,0.012337743776259957,0.01213542115899613,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,1.6069152700166414,1.6333932596601488,0.02647798964350745,1.861694731785456,-0.309244721333382,21,1,position_exit,24.090952847563024,atr_48,True,True,False,True,False,True,False,False,False,False,0.2547794617688146,0.8631464882943142,0.8631464882943142,0.309244721333382,0.6921937465667725,True
10,ETHUSD,short,2022-04-11 17:30:00,2022-04-11 17:30:00,2022-04-12 05:30:00,3023.4,3019.55,3023.4,3019.55,24,1.0,0.0006936303232845109,0.0004931915183461477,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.15783933169627232,0.18724853852028492,0.029409206824012612,3.550426834280811,-0.8122209333217657,8,3,position_exit,20.56090814072139,atr_48,True,True,False,True,False,True,False,True,False,False,3.3925875025845387,0.04445643835616314,0.04445643835616314,0.8122209333217657,0.24132250249385834,True
11,ETHUSD,long,2022-04-12 19:00:00,2022-04-12 19:00:00,2022-04-13 07:00:00,2976.4,3058.3,2976.4,3058.3,24,1.0,0.027516462841015388,0.027311275531514134,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,3.6717907479310306,3.698674102260624,0.026883354329593427,4.242862416451603,-0.3928994467602979,21,3,position_exit,22.143070120707023,atr_48,True,True,False,True,False,True,False,True,False,False,0.5710716685205721,0.8654041511442241,0.8654041511442241,0.3928994467602979,0.7482290267944336,True
