fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,-0.06264450719613102,-0.2279999746425283,0.31976539568116086,-0.7130226651224882,-0.9952414769222668,-1.8760791008441748,-0.1215300434506923,0.968519754431947,0.48109965635738833,0.01598173515981735,70.0,-0.04490464514384851,-0.051904645143848495,0.007,0.006999999999999985,0.15588587723109823,68.0,0.015525114155251141
1,0.21206299820490027,1.1582451480852112,0.47088031554611975,2.4597442489009045,3.7625479808527533,7.142919133862085,-0.1621529134488413,1.105789000966318,0.48756218905472637,0.014611872146118721,64.0,0.2263172178421302,0.2199172178421302,0.006400000000000001,0.006400000000000017,0.028278891288175803,64.0,0.014611872146118721
2,0.3393946357921458,2.218357029999347,0.34194031727693525,6.487556213509372,11.312289982270718,32.26515717023925,-0.06875395084222669,1.268752264444204,0.4924346629986245,0.013470319634703196,59.0,0.3125452005385293,0.3066452005385293,0.0059,0.005900000000000016,0.018877269559199876,59.0,0.013470319634703196
3,0.26731595910777184,1.5795242536054213,0.26380620905198443,5.987441536276227,9.8270157011192,16.863523760623977,-0.09366513642264862,1.2284025333470536,0.4931216931216931,0.017351598173515982,76.0,0.25316811766256686,0.2455681176625668,0.007600000000000001,0.007600000000000051,0.030019577781628892,75.0,0.017123287671232876
4,0.0055324250565231825,0.022314024864785287,0.16794772060675556,0.13286292177214415,0.18887388500711805,0.24241674366093954,-0.09204819983884938,1.0118849179149547,0.48194444444444445,0.013242009132420091,58.0,0.014842171714442687,0.009042171714442715,0.0058000000000000005,0.005799999999999972,0.3907783922453956,58.0,0.013242009132420091
5,-0.07898725457279931,-0.280447376653853,0.15915383355927604,-1.7621151208362305,-2.3137051793473793,-2.254606240419312,-0.1243886278792945,0.8925989919033052,0.46691635455680397,0.014611872146118721,64.0,-0.07270845278235372,-0.07910845278235369,0.0064,0.006399999999999975,0.08802277802771888,63.0,0.014383561643835616
6,0.018194847611908926,0.07478990871877644,0.18976287791690324,0.39412296830535415,0.5461746506943238,0.9830231945721232,-0.07608153005110929,1.0232928922029978,0.47676991150442477,0.01643835616438356,72.0,0.029736671603461162,0.022536671603461185,0.0072,0.007199999999999977,0.242125282076356,71.0,0.016210045662100457
7,0.10185074307656938,0.4739782513586528,0.2673523113464674,1.7728601221794358,2.508374774139663,3.949829374899506,-0.1199996775482769,1.0885479538994347,0.49583333333333335,0.013242009132420091,58.0,0.11173279167589778,0.10593279167589782,0.0058000000000000005,0.005799999999999958,0.05190955952146979,57.0,0.013013698630136987
8,0.11010248711808934,0.5186311458929609,0.2859914273993998,1.8134499715918733,2.7673631388241464,7.438442540417432,-0.0697230829000739,1.1094514221106189,0.5008025682182986,0.01141552511415525,50.0,0.11962848604221255,0.11462848604221255,0.005000000000000001,0.0049999999999999906,0.04179606517995791,50.0,0.01141552511415525
9,0.34234982281863746,2.2468545901436223,0.2990762120218962,7.512648949757073,14.50357042946095,25.19741984209134,-0.0891700263052464,1.3325921620291354,0.5147492625368731,0.012557077625570776,55.0,0.31090671261561986,0.3054067126156199,0.0055000000000000005,0.005499999999999949,0.01769019380034988,55.0,0.012557077625570776
