feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1091.6,0.10049624005248847,10,feature_importances_,1
vol_rolling_192,1030.6,0.09483943949406068,10,feature_importances_,2
bollinger_bandwidth,876.8,0.08068985611911131,10,feature_importances_,3
ema_trend_48_192,744.6,0.06854402792291038,10,feature_importances_,4
vol_rolling_96,744.6,0.0685196176141418,10,feature_importances_,5
hurst_96,617.2,0.056798502662695025,10,feature_importances_,6
bollinger_bandwidth_rank_192,594.6,0.054734359307425685,10,feature_importances_,7
atr_over_price_48,566.3,0.052127356793875534,10,feature_importances_,8
vol_rolling_48,493.0,0.04538266605311978,10,feature_importances_,9
atr_pct_rank_192,467.7,0.043045938145390705,10,feature_importances_,10
vol_rolling_24,366.6,0.03375440517091961,10,feature_importances_,11
mama_minus_fama_over_atr,365.5,0.03364832421219208,10,feature_importances_,12
close_over_bb_upper_192,294.7,0.027138835060792593,10,feature_importances_,13
close_over_bb_mid_192,277.4,0.025529381100785054,10,feature_importances_,14
ret_48,275.7,0.025373289572975855,10,feature_importances_,15
bollinger_percent_b,228.3,0.02100300674315861,10,feature_importances_,16
distance_from_ema96_atr,183.5,0.016895561762414087,10,feature_importances_,17
ret_24,159.1,0.014639432804420488,10,feature_importances_,18
roofing_filter_over_atr,151.7,0.013958444156883288,10,feature_importances_,19
atr_pct,145.8,0.013422883386060356,10,feature_importances_,20
