metric,value
counterfactual.baseline.avg_r,0.4368789431532392
counterfactual.baseline.median_r,0.32808539304174006
counterfactual.baseline.profit_factor,1.3482529559506573
counterfactual.baseline.trade_count,313
counterfactual.baseline.win_rate,0.549520766773163
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.134987290977787
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.19556556447928083
counterfactual.breakeven_after_0_5r.trade_count,313
counterfactual.breakeven_after_0_5r.win_rate,0.009584664536741214
counterfactual.breakeven_after_1_0r.avg_r,-0.1691231821262533
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.6684047616987941
counterfactual.breakeven_after_1_0r.trade_count,313
counterfactual.breakeven_after_1_0r.win_rate,0.10223642172523961
counterfactual.exit_at_first_0_5r.avg_r,0.30983181387547537
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,2.8463914528241956
counterfactual.exit_at_first_0_5r.trade_count,313
counterfactual.exit_at_first_0_5r.win_rate,0.9552715654952076
counterfactual.exit_at_first_1_0r.avg_r,0.34304787330402625
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.67260466523183
counterfactual.exit_at_first_1_0r.trade_count,313
counterfactual.exit_at_first_1_0r.win_rate,0.8562300319488818
counterfactual.partial_50pct_at_1r.avg_r,0.3899634082286327
counterfactual.partial_50pct_at_1r.median_r,0.6518541593494406
counterfactual.partial_50pct_at_1r.profit_factor,1.5140027152544062
counterfactual.partial_50pct_at_1r.trade_count,313
counterfactual.partial_50pct_at_1r.win_rate,0.6741214057507987
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.3973918293950763
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.2701802895298566
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.3127699519106186
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,313
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5399361022364217
counterfactual.trail_0_5r_after_1_0r.avg_r,0.5025970763565193
counterfactual.trail_0_5r_after_1_0r.median_r,0.814615678205884
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.9854284623116643
counterfactual.trail_0_5r_after_1_0r.trade_count,313
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8562300319488818
