timestamp,asset,event_type,side,position_before,position_after,price,signal,target,target_hit_type,target_hit_step,target_exit_timestamp,take_profit,stop_loss,upper_barrier,lower_barrier,trade_r,target_entry_price,target_exit_price,target_lookup_timestamp
2022-03-16 01:00:00,ETHUSD,entry,short,0.0,-1.0,2626.2,-1.0,2.7304182824674768,,,,,,,,,,,2022-03-16 01:00:00
2022-03-16 13:00:00,ETHUSD,exit,short,-1.0,0.0,2674.9,0.0,4.0,,,,,,,,,,,2022-03-16 13:00:00
2022-03-18 00:00:00,ETHUSD,entry,long,0.0,1.0,2809.1,1.0,-0.2716319972379662,,,,,,,,,,,2022-03-18 00:00:00
2022-03-18 12:00:00,ETHUSD,exit,long,1.0,0.0,2804.1,0.0,4.0,,,,,,,,,,,2022-03-18 12:00:00
2022-03-24 05:30:00,ETHUSD,entry,short,0.0,-1.0,3049.5,-1.0,2.4901934517727278,,,,,,,,,,,2022-03-24 05:30:00
2022-03-24 17:30:00,ETHUSD,exit,short,-1.0,0.0,3099.45,0.0,1.3147825234719814,,,,,,,,,,,2022-03-24 17:30:00
2022-03-25 18:00:00,ETHUSD,entry,short,0.0,-1.0,3125.0,-1.0,-0.24281646211489002,,,,,,,,,,,2022-03-25 18:00:00
2022-03-26 07:00:00,ETHUSD,exit,short,-1.0,0.0,3120.15,0.0,0.9349998704888897,,,,,,,,,,,2022-03-26 07:00:00
2022-03-28 13:30:00,ETHUSD,entry,long,0.0,1.0,3380.3,1.0,0.6361814601860467,,,,,,,,,,,2022-03-28 13:30:00
2022-03-29 01:30:00,ETHUSD,exit,long,1.0,0.0,3390.8500000000004,-1.0,2.7030864083070765,,,,,,,,,,,2022-03-29 01:30:00
2022-03-29 01:30:00,ETHUSD,entry,short,0.0,-1.0,3390.8500000000004,-1.0,2.7030864083070765,,,,,,,,,,,2022-03-29 01:30:00
2022-03-29 13:30:00,ETHUSD,exit,short,-1.0,0.0,3445.45,0.0,-4.0,,,,,,,,,,,2022-03-29 13:30:00
2022-03-30 11:00:00,ETHUSD,entry,short,0.0,-1.0,3413.3,-1.0,-1.0205616069920147,,,,,,,,,,,2022-03-30 11:00:00
2022-03-30 23:00:00,ETHUSD,exit,short,-1.0,0.0,3391.65,0.0,0.6426629739421885,,,,,,,,,,,2022-03-30 23:00:00
2022-04-02 12:30:00,ETHUSD,entry,short,0.0,-1.0,3508.8,-1.0,-1.8315819478747581,,,,,,,,,,,2022-04-02 12:30:00
2022-04-03 00:30:00,ETHUSD,exit,short,-1.0,0.0,3467.65,0.0,1.1541409382127041,,,,,,,,,,,2022-04-03 00:30:00
2022-04-04 03:30:00,ETHUSD,entry,short,0.0,-1.0,3490.4,-1.0,-3.0477024297724498,,,,,,,,,,,2022-04-04 03:30:00
2022-04-04 15:30:00,ETHUSD,exit,short,-1.0,0.0,3425.2,1.0,4.0,,,,,,,,,,,2022-04-04 15:30:00
2022-04-04 15:30:00,ETHUSD,entry,long,0.0,1.0,3425.2,1.0,4.0,,,,,,,,,,,2022-04-04 15:30:00
2022-04-05 03:30:00,ETHUSD,exit,long,1.0,0.0,3524.6,0.0,-3.471630460561827,,,,,,,,,,,2022-04-05 03:30:00
2022-04-07 16:30:00,ETHUSD,entry,short,0.0,-1.0,3221.25,-1.0,1.4233209907166475,,,,,,,,,,,2022-04-07 16:30:00
2022-04-08 04:30:00,ETHUSD,exit,short,-1.0,0.0,3258.65,0.0,0.3671131996496781,,,,,,,,,,,2022-04-08 04:30:00
2022-04-08 19:30:00,ETHUSD,entry,long,0.0,1.0,3238.45,1.0,-1.4529630378878795,,,,,,,,,,,2022-04-08 19:30:00
2022-04-09 08:00:00,ETHUSD,exit,long,1.0,0.0,3202.65,0.0,1.6808564620332578,,,,,,,,,,,2022-04-09 08:00:00
2022-04-11 14:00:00,ETHUSD,entry,short,0.0,-1.0,3026.6,-1.0,-3.636624765293399,,,,,,,,,,,2022-04-11 14:00:00
2022-04-12 02:00:00,ETHUSD,exit,short,-1.0,0.0,2956.6,0.0,2.6954016380282138,,,,,,,,,,,2022-04-12 02:00:00
2022-04-12 14:00:00,ETHUSD,entry,short,0.0,-1.0,3018.0,-1.0,0.3385871998507367,,,,,,,,,,,2022-04-12 14:00:00
2022-04-13 02:00:00,ETHUSD,exit,short,-1.0,0.0,3025.3500000000004,0.0,2.2804641161646666,,,,,,,,,,,2022-04-13 02:00:00
2022-04-18 12:30:00,ETHUSD,entry,short,0.0,-1.0,2942.3,-1.0,4.0,,,,,,,,,,,2022-04-18 12:30:00
2022-04-19 00:30:00,ETHUSD,exit,short,-1.0,0.0,3060.5,0.0,0.07066881755383202,,,,,,,,,,,2022-04-19 00:30:00
2022-04-19 15:00:00,ETHUSD,entry,long,0.0,1.0,3119.7,1.0,-2.2375648322118162,,,,,,,,,,,2022-04-19 15:00:00
2022-04-20 03:00:00,ETHUSD,exit,long,1.0,0.0,3082.0,0.0,-1.291496041719168,,,,,,,,,,,2022-04-20 03:00:00
2022-04-20 22:00:00,ETHUSD,entry,long,0.0,1.0,3089.9,1.0,1.6229788502669755,,,,,,,,,,,2022-04-20 22:00:00
2022-04-21 11:00:00,ETHUSD,exit,long,1.0,0.0,3142.55,0.0,-4.0,,,,,,,,,,,2022-04-21 11:00:00
2022-04-25 00:00:00,ETHUSD,entry,long,0.0,1.0,2880.3,1.0,-0.8206931701473098,,,,,,,,,,,2022-04-25 00:00:00
2022-04-25 12:00:00,ETHUSD,exit,long,1.0,0.0,2868.3,0.0,4.0,,,,,,,,,,,2022-04-25 12:00:00
2022-04-27 08:00:00,ETHUSD,entry,short,0.0,-1.0,2890.05,-1.0,-0.8654144588744411,,,,,,,,,,,2022-04-27 08:00:00
2022-04-27 20:00:00,ETHUSD,exit,short,-1.0,0.0,2872.9,0.0,2.5714645831456178,,,,,,,,,,,2022-04-27 20:00:00
2022-04-28 08:00:00,ETHUSD,entry,short,0.0,-1.0,2930.8,-1.0,0.7966470357055152,,,,,,,,,,,2022-04-28 08:00:00
2022-04-28 20:00:00,ETHUSD,exit,short,-1.0,0.0,2946.9,0.0,-1.217857032914198,,,,,,,,,,,2022-04-28 20:00:00
2022-04-29 16:30:00,ETHUSD,entry,long,0.0,1.0,2814.9,1.0,0.3306897246690678,,,,,,,,,,,2022-04-29 16:30:00
2022-04-30 04:30:00,ETHUSD,exit,long,1.0,0.0,2821.8,0.0,-1.046029688780949,,,,,,,,,,,2022-04-30 04:30:00
2022-05-02 12:30:00,ETHUSD,entry,long,0.0,1.0,2795.05,1.0,2.4675663433075736,,,,,,,,,,,2022-05-02 12:30:00
2022-05-03 00:30:00,ETHUSD,exit,long,1.0,0.0,2836.8,0.0,0.0372454675780023,,,,,,,,,,,2022-05-03 00:30:00
2022-05-07 21:30:00,ETHUSD,entry,long,0.0,1.0,2620.0,1.0,-4.0,,,,,,,,,,,2022-05-07 21:30:00
2022-05-08 09:30:00,ETHUSD,exit,long,1.0,0.0,2550.85,0.0,0.2196253731244647,,,,,,,,,,,2022-05-08 09:30:00
2022-05-12 21:30:00,ETHUSD,entry,long,0.0,1.0,1908.9,1.0,2.918940686811821,,,,,,,,,,,2022-05-12 21:30:00
2022-05-13 09:30:00,ETHUSD,exit,long,1.0,0.0,2073.9,0.0,-0.010571353711897852,,,,,,,,,,,2022-05-13 09:30:00
2022-05-13 23:30:00,ETHUSD,entry,short,0.0,-1.0,2005.65,-1.0,-0.6047199551675693,,,,,,,,,,,2022-05-13 23:30:00
2022-05-14 11:30:00,ETHUSD,exit,short,-1.0,0.0,1981.8,0.0,2.2573979877292847,,,,,,,,,,,2022-05-14 11:30:00
2022-05-18 20:00:00,ETHUSD,entry,long,0.0,1.0,1953.3,1.0,-0.18554382389871438,,,,,,,,,,,2022-05-18 20:00:00
2022-05-19 08:00:00,ETHUSD,exit,long,1.0,0.0,1949.7,0.0,2.6884533445733942,,,,,,,,,,,2022-05-19 08:00:00
2022-05-20 15:00:00,ETHUSD,entry,long,0.0,1.0,1965.5,1.0,-0.8898605899413228,,,,,,,,,,,2022-05-20 15:00:00
2022-05-21 03:00:00,ETHUSD,exit,long,1.0,0.0,1949.1,0.0,0.9959656757049735,,,,,,,,,,,2022-05-21 03:00:00
2022-05-23 22:00:00,ETHUSD,entry,long,0.0,1.0,1968.2,1.0,0.13114034460017449,,,,,,,,,,,2022-05-23 22:00:00
2022-05-24 10:00:00,ETHUSD,exit,long,1.0,0.0,1970.1,0.0,0.8038041605330564,,,,,,,,,,,2022-05-24 10:00:00
2022-05-25 23:00:00,ETHUSD,entry,long,0.0,1.0,1950.9,1.0,-4.0,,,,,,,,,,,2022-05-25 23:00:00
2022-05-26 11:00:00,ETHUSD,exit,long,1.0,0.0,1816.1,0.0,-0.2939933637400272,,,,,,,,,,,2022-05-26 11:00:00
2022-05-31 06:00:00,ETHUSD,entry,long,0.0,1.0,1968.8,1.0,-0.5801685525360415,,,,,,,,,,,2022-05-31 06:00:00
2022-05-31 18:00:00,ETHUSD,exit,long,1.0,0.0,1960.0,0.0,-1.331145852376398,,,,,,,,,,,2022-05-31 18:00:00
2022-06-01 14:00:00,ETHUSD,entry,short,0.0,-1.0,1921.0,-1.0,-4.0,,,,,,,,,,,2022-06-01 14:00:00
2022-06-02 02:00:00,ETHUSD,exit,short,-1.0,0.0,1827.6,0.0,-2.1775186610243957,,,,,,,,,,,2022-06-02 02:00:00
2022-06-03 17:00:00,ETHUSD,entry,short,0.0,-1.0,1751.5,-1.0,0.9480320638998456,,,,,,,,,,,2022-06-03 17:00:00
2022-06-04 05:00:00,ETHUSD,exit,short,-1.0,0.0,1766.15,0.0,0.17611239294339262,,,,,,,,,,,2022-06-04 05:00:00
2022-06-07 00:30:00,ETHUSD,entry,long,0.0,1.0,1757.4,1.0,-0.5541631818318237,,,,,,,,,,,2022-06-07 00:30:00
2022-06-07 12:30:00,ETHUSD,exit,long,1.0,0.0,1749.6,0.0,4.0,,,,,,,,,,,2022-06-07 12:30:00
2022-06-10 00:30:00,ETHUSD,entry,long,0.0,1.0,1773.05,1.0,-3.428307935209852,,,,,,,,,,,2022-06-10 00:30:00
2022-06-10 12:30:00,ETHUSD,exit,long,1.0,0.0,1727.25,0.0,-3.9407859018602784,,,,,,,,,,,2022-06-10 12:30:00
2022-06-11 08:30:00,ETHUSD,entry,long,0.0,1.0,1577.5,1.0,-4.0,,,,,,,,,,,2022-06-11 08:30:00
2022-06-11 20:30:00,ETHUSD,exit,long,1.0,0.0,1521.65,0.0,-3.1254995369728418,,,,,,,,,,,2022-06-11 20:30:00
2022-06-14 21:00:00,ETHUSD,entry,long,0.0,1.0,1165.8000000000002,1.0,-4.0,,,,,,,,,,,2022-06-14 21:00:00
2022-06-15 09:00:00,ETHUSD,exit,long,1.0,0.0,1021.75,0.0,4.0,,,,,,,,,,,2022-06-15 09:00:00
2022-06-18 20:00:00,ETHUSD,entry,long,0.0,1.0,900.1500000000001,1.0,3.4917261623025184,,,,,,,,,,,2022-06-18 20:00:00
2022-06-19 08:00:00,ETHUSD,exit,long,1.0,0.0,960.45,0.0,4.0,,,,,,,,,,,2022-06-19 08:00:00
2022-06-19 20:00:00,ETHUSD,entry,long,0.0,1.0,1124.1,1.0,-0.44939713475337484,,,,,,,,,,,2022-06-19 20:00:00
2022-06-20 08:00:00,ETHUSD,exit,long,1.0,0.0,1114.45,0.0,0.11358686157044157,,,,,,,,,,,2022-06-20 08:00:00
2022-06-20 20:00:00,ETHUSD,entry,long,0.0,1.0,1116.85,1.0,1.879123750061816,,,,,,,,,,,2022-06-20 20:00:00
2022-06-21 08:00:00,ETHUSD,exit,long,1.0,0.0,1156.05,0.0,-2.086293372892145,,,,,,,,,,,2022-06-21 08:00:00
2022-06-25 15:30:00,ETHUSD,entry,long,0.0,1.0,1183.05,1.0,3.742251267238425,,,,,,,,,,,2022-06-25 15:30:00
2022-06-26 03:30:00,ETHUSD,exit,long,1.0,0.0,1232.6,0.0,-0.8006650618881602,,,,,,,,,,,2022-06-26 03:30:00
