rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.348942830959231,asset,0
2,atr_over_price_48,0.2610460150924661,asset,0
3,ema_trend_48_192,0.22415712022437279,asset,0
4,vol_rolling_192,0.21254925785866052,asset,0
5,vol_rolling_96,0.18988328528807788,asset,0
6,atr_48,0.189080170954598,asset,0
7,bollinger_bandwidth_rank_192,0.14064970842750701,asset,0
8,ret_48,0.12420112614618586,asset,0
9,atr_pct_rank_192,0.11687048973082684,asset,0
10,mama_minus_fama_over_atr,0.11213464676629473,asset,0
11,vol_rolling_48,0.1036184135275548,asset,0
12,bollinger_percent_b,0.0999179647780762,asset,0
13,close_over_bb_mid_192,0.09289725047465863,asset,0
14,mfi_14,0.08574249414963356,asset,0
15,vol_rolling_24,0.08272295902457943,asset,0
16,ret_16,0.07108204722055665,asset,0
17,close_over_bb_upper_192,0.07077941445525816,asset,0
18,frama_slope_over_atr,0.0699418839769069,asset,0
19,roofing_filter_over_atr,0.05169804269936639,asset,0
20,close_minus_decycler_over_atr,0.05125934793999821,asset,0
21,atr_pct,0.04623617769420053,asset,0
22,distance_from_ema96_atr,0.040926116509259376,asset,0
23,ret_24,0.03390957947194857,asset,0
24,instantaneous_trendline_slope_over_atr,0.03049097063046496,asset,0
25,rolling_return_48,0.027662601098523733,asset,0
26,lag_close_ret_1,0.01986773663669705,asset,0
27,close_ret,0.017702347250082066,asset,0
28,distance_from_ema24_atr,0.014942552020506674,asset,0
29,range_to_atr,0.013525112885595166,asset,0
30,lag_close_ret_2,0.013495178569384716,asset,0
31,ema_alignment_score,0.012835470637309516,asset,0
32,ret_4,0.012264659352400661,asset,0
33,rolling_return_24,0.011863666690300978,asset,0
34,lower_wick_ratio,0.011799658980521415,asset,0
35,supersmoother_slope_over_atr,0.011494010679473352,asset,0
36,close_location,0.010634275735299592,asset,0
37,lag_close_ret_4,0.009844011294606407,asset,0
38,lag_close_ret_24,0.008228753393569476,asset,0
39,lag_close_ret_48,0.007625940143786425,asset,0
40,decycler_slope_over_atr,0.0076126893815258116,asset,0
41,lag_close_ret_16,0.005841007682280946,asset,0
42,ret_1,0.005792357082330043,asset,0
43,lag_close_ret_8,0.005700773239529075,asset,0
44,ret_8,0.005283719300860677,asset,0
45,upper_wick_ratio,0.00522653556596562,asset,0
46,dominant_cycle_phase_normalized,0.002804971887076767,asset,0
47,body_ratio,0.0025416500800310516,asset,0
1,bollinger_bandwidth,0.3021428250440281,asset,1
2,ema_trend_48_192,0.22491272720398112,asset,1
3,atr_48,0.19295663049849232,asset,1
4,vol_rolling_192,0.179977718368214,asset,1
5,atr_over_price_48,0.15196655074567306,asset,1
6,vol_rolling_96,0.1314068615144117,asset,1
7,bollinger_bandwidth_rank_192,0.12475987307829797,asset,1
8,ret_48,0.1144333165192934,asset,1
9,vol_rolling_48,0.1099588446536925,asset,1
10,atr_pct_rank_192,0.1066135768130387,asset,1
11,close_over_bb_mid_192,0.097565336539518,asset,1
12,mama_minus_fama_over_atr,0.0944369438160781,asset,1
13,close_over_bb_upper_192,0.08518922347228503,asset,1
14,vol_rolling_24,0.06719169173585139,asset,1
15,mfi_14,0.06240526916698912,asset,1
16,frama_slope_over_atr,0.06087902507315813,asset,1
17,atr_pct,0.05999817542432412,asset,1
18,ret_24,0.059956327192723355,asset,1
19,bollinger_percent_b,0.05662386735143527,asset,1
20,close_minus_decycler_over_atr,0.05012248529531003,asset,1
21,ema_alignment_score,0.03968300155263385,asset,1
22,distance_from_ema96_atr,0.039566360975052214,asset,1
23,rolling_return_48,0.03890195909487502,asset,1
24,roofing_filter_over_atr,0.03663687399973058,asset,1
25,ret_16,0.03430022795784368,asset,1
26,ret_4,0.0188529495527606,asset,1
27,instantaneous_trendline_slope_over_atr,0.01566425806332137,asset,1
28,rolling_return_24,0.012137142696084282,asset,1
29,close_ret,0.011689969441484227,asset,1
30,lag_close_ret_2,0.011148539260527335,asset,1
31,distance_from_ema24_atr,0.01063845535546324,asset,1
32,lag_close_ret_8,0.009221927725068382,asset,1
33,range_to_atr,0.008316486771858537,asset,1
34,lag_close_ret_1,0.008145457085994557,asset,1
35,lag_close_ret_24,0.007889540959903104,asset,1
36,close_location,0.00677734337230038,asset,1
37,supersmoother_slope_over_atr,0.006356643923012189,asset,1
38,lag_close_ret_48,0.006234295517165699,asset,1
39,lag_close_ret_16,0.006069457156483754,asset,1
40,upper_wick_ratio,0.005469201336604576,asset,1
41,ret_8,0.0049739380105645,asset,1
