feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1115.1,0.10269688281553946,10,feature_importances_,1
vol_rolling_192,1052.0,0.09685108540074312,10,feature_importances_,2
bollinger_bandwidth,937.5,0.0862790731312518,10,feature_importances_,3
vol_rolling_96,803.0,0.07392318046645059,10,feature_importances_,4
ema_trend_48_192,740.2,0.06816839163880878,10,feature_importances_,5
bollinger_bandwidth_rank_192,601.7,0.05540931513833795,10,feature_importances_,6
atr_over_price_48,577.1,0.053139961780391584,10,feature_importances_,7
vol_rolling_48,525.4,0.048370190368562514,10,feature_importances_,8
atr_pct_rank_192,469.0,0.04319221411404221,10,feature_importances_,9
vol_rolling_24,409.4,0.03771128389861795,10,feature_importances_,10
mama_minus_fama_over_atr,405.7,0.03735365308633636,10,feature_importances_,11
close_over_bb_mid_192,292.0,0.026870450851721257,10,feature_importances_,12
close_over_bb_upper_192,291.7,0.026864663163997066,10,feature_importances_,13
ret_48,285.3,0.02626324035737205,10,feature_importances_,14
bollinger_percent_b,248.1,0.02283230928304546,10,feature_importances_,15
distance_from_ema96_atr,190.1,0.017511774810439813,10,feature_importances_,16
ret_24,184.5,0.016987834555576672,10,feature_importances_,17
mfi_14,168.8,0.01553869604284833,10,feature_importances_,18
roofing_filter_over_atr,167.3,0.015405515732407796,10,feature_importances_,19
atr_pct,149.8,0.013784015960893212,10,feature_importances_,20
