fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4997716894977169,2.7180959160695166
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5545662100456621,2.638026703671006
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5187214611872146,2.7460155660526495
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5358447488584475,2.5991668117669318
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5333333333333333,2.6254362897122205
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5221461187214612,2.5859844632606253
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5146118721461187,2.648089518401354
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5269406392694064,2.6733290120835034
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5657534246575342,2.486657602434102
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.495662100456621,2.651788826466567
