metric,value
counterfactual.baseline.avg_r,0.3747973413453953
counterfactual.baseline.median_r,0.31042352768782744
counterfactual.baseline.profit_factor,1.3161208301026899
counterfactual.baseline.trade_count,308
counterfactual.baseline.win_rate,0.5616883116883117
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.10786478111963561
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.21901662446643946
counterfactual.breakeven_after_0_5r.trade_count,308
counterfactual.breakeven_after_0_5r.win_rate,0.00974025974025974
counterfactual.breakeven_after_1_0r.avg_r,-0.011778152227978029
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.9759623258141333
counterfactual.breakeven_after_1_0r.trade_count,308
counterfactual.breakeven_after_1_0r.win_rate,0.1331168831168831
counterfactual.exit_at_first_0_5r.avg_r,0.34402880183925555
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,3.490903630937585
counterfactual.exit_at_first_0_5r.trade_count,308
counterfactual.exit_at_first_0_5r.win_rate,0.9642857142857143
counterfactual.exit_at_first_1_0r.avg_r,0.36601824317015985
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.7469955477827963
counterfactual.exit_at_first_1_0r.trade_count,308
counterfactual.exit_at_first_1_0r.win_rate,0.8603896103896104
counterfactual.partial_50pct_at_1r.avg_r,0.3704077922577776
counterfactual.partial_50pct_at_1r.median_r,0.6398643209477686
counterfactual.partial_50pct_at_1r.profit_factor,1.5105345139321777
counterfactual.partial_50pct_at_1r.trade_count,308
counterfactual.partial_50pct_at_1r.win_rate,0.698051948051948
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.33437596552528287
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.21447008893416786
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.2793360960130495
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,308
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5454545454545454
counterfactual.trail_0_5r_after_1_0r.avg_r,0.5448522177653806
counterfactual.trail_0_5r_after_1_0r.median_r,0.8216052428993872
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.1119723906251004
counterfactual.trail_0_5r_after_1_0r.trade_count,308
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8603896103896104
