rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,145230.43311023712,0.1156531335104088,gain,asset,0
2,bollinger_bandwidth,129036.35448932648,0.10275710409899326,gain,asset,0
3,vol_rolling_192,127660.11362934113,0.10166114532152717,gain,asset,0
4,ema_trend_48_192,102247.18416261673,0.0814237552541522,gain,asset,0
5,vol_rolling_96,85836.80203962326,0.06835547421978538,gain,asset,0
6,atr_over_price_48,79031.59605169296,0.06293620100113065,gain,asset,0
7,bollinger_bandwidth_rank_192,76742.0480003357,0.06111293709706223,gain,asset,0
8,vol_regime_ratio_48_384,75005.62803268433,0.05973015246956966,gain,asset,0
9,vol_rolling_48,56147.22868728638,0.04471241183093642,gain,asset,0
10,atr_pct_rank_192,55844.28614282608,0.044471165875869585,gain,asset,0
11,vol_rolling_24,41200.63437747955,0.032809806913922254,gain,asset,0
12,mama_minus_fama_over_atr,40539.11250734329,0.03228300908285849,gain,asset,0
13,close_over_bb_upper_192,36438.530754089355,0.029017542480418157,gain,asset,0
14,ret_48,31124.878578186035,0.024786056617801786,gain,asset,0
15,close_over_bb_mid_192,30460.986917495728,0.024257371622336803,gain,asset,0
16,bollinger_percent_b,23001.50157737732,0.018317068095838267,gain,asset,0
17,atr_pct,18897.7756690979,0.015049097669831814,gain,asset,0
18,distance_from_ema96_atr,16991.490350723267,0.013531042082491056,gain,asset,0
19,ret_24,12603.410097122192,0.01003662827020903,gain,asset,0
20,roofing_filter_over_atr,9983.449672698975,0.007950243025266542,gain,asset,0
21,ret_16,9703.527973651886,0.0077273295426097755,gain,asset,0
22,rolling_return_48,8395.706919670105,0.006685856349115479,gain,asset,0
23,ema_alignment_score,6377.709136962891,0.005078839403775975,gain,asset,0
24,close_minus_decycler_over_atr,5647.017415523529,0.004496958695960196,gain,asset,0
25,distance_from_ema24_atr,4162.649118423462,0.0033148934692261768,gain,asset,0
26,frama_slope_over_atr,3974.6066331863403,0.0031651472887252187,gain,asset,0
27,rolling_return_24,3466.754677772522,0.00276072330715922,gain,asset,0
28,instantaneous_trendline_slope_over_atr,3184.5056943893433,0.00253595650959955,gain,asset,0
29,decycler_slope_over_atr,1465.4766035079956,0.0011670209724792436,gain,asset,0
30,upper_wick_ratio,1255.386549949646,0.0009997173812619007,gain,asset,0
31,lag_close_ret_24,1234.7869033813477,0.0009833130118483476,gain,asset,0
32,supersmoother_slope_over_atr,1180.2095966339111,0.000939850795226652,gain,asset,0
33,range_to_atr,1165.9331283569336,0.0009284818399991955,gain,asset,0
34,lag_close_ret_1,1031.9444699287415,0.000821781006914756,gain,asset,0
35,ret_4,969.8301296234131,0.0007723167318423935,gain,asset,0
36,lag_close_ret_2,944.1945471763611,0.0007519020337941164,gain,asset,0
37,lag_close_ret_48,938.5694217681885,0.0007474225086290956,gain,asset,0
38,lag_close_ret_16,903.3865032196045,0.0007194048632289979,gain,asset,0
39,lag_close_ret_4,781.0427813529968,0.0006219773854188961,gain,asset,0
40,lag_close_ret_8,773.5635719299316,0.0006160213747713104,gain,asset,0
41,close_location,682.4308724403381,0.0005434485535277512,gain,asset,0
42,lower_wick_ratio,681.4963135719299,0.000542704324792309,gain,asset,0
43,close_ret,678.0884561538696,0.0005399905038629436,gain,asset,0
44,ret_8,654.4516906738281,0.0005211675482655967,gain,asset,0
45,dominant_cycle_phase_normalized,582.7225961685181,0.00046404663795951423,gain,asset,0
46,ret_1,534.5148973464966,0.0004256568094043598,gain,asset,0
47,body_ratio,347.49456214904785,0.00027672461019144354,gain,asset,0
1,atr_48,1082.0,0.10253008623140339,split,asset,0
2,vol_rolling_192,950.0,0.09002179475030797,split,asset,0
3,bollinger_bandwidth,854.0,0.08092485549132948,split,asset,0
4,ema_trend_48_192,756.0,0.07163839666445561,split,asset,0
5,vol_rolling_96,679.0,0.06434189330048327,split,asset,0
6,vol_regime_ratio_48_384,593.0,0.05619255188098171,split,asset,0
7,bollinger_bandwidth_rank_192,559.0,0.052970719226760166,split,asset,0
8,atr_over_price_48,524.0,0.04965412678859092,split,asset,0
9,vol_rolling_48,455.0,0.04311570169620013,split,asset,0
10,vol_rolling_24,432.0,0.040936226665403204,split,asset,0
11,atr_pct_rank_192,416.0,0.03942007012224012,split,asset,0
12,mama_minus_fama_over_atr,373.0,0.03534539941248934,split,asset,0
13,close_over_bb_upper_192,296.0,0.02804889604851701,split,asset,0
14,close_over_bb_mid_192,258.0,0.024448024258504692,split,asset,0
15,ret_48,240.0,0.022742348147446224,split,asset,0
16,bollinger_percent_b,188.0,0.017814839382166207,split,asset,0
