rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.32801295963766786,asset,0
2,ema_trend_48_192,0.24580878274757584,asset,0
3,atr_over_price_48,0.22184423910587006,asset,0
4,vol_rolling_192,0.21391357290824575,asset,0
5,atr_48,0.20457887671901737,asset,0
6,vol_rolling_96,0.1882750004071445,asset,0
7,vol_regime_ratio_48_384,0.16833961769551758,asset,0
8,ret_48,0.12212546369828661,asset,0
9,bollinger_bandwidth_rank_192,0.12087116031154106,asset,0
10,atr_pct_rank_192,0.10559509797126312,asset,0
11,vol_rolling_48,0.09808549149547796,asset,0
12,close_over_bb_upper_192,0.0952290297375562,asset,0
13,mama_minus_fama_over_atr,0.09483447036942817,asset,0
14,close_over_bb_mid_192,0.09244259559406086,asset,0
15,bollinger_percent_b,0.08729591466458961,asset,0
16,vol_rolling_24,0.08653424512293084,asset,0
17,frama_slope_over_atr,0.07276908514005091,asset,0
18,atr_pct,0.06765973438659283,asset,0
19,ret_16,0.06283464395241378,asset,0
20,roofing_filter_over_atr,0.043808429047116286,asset,0
21,close_minus_decycler_over_atr,0.04300845693331746,asset,0
22,ret_24,0.03494839082501797,asset,0
23,distance_from_ema96_atr,0.03116693264703039,asset,0
24,ema_alignment_score,0.02819891925777654,asset,0
25,instantaneous_trendline_slope_over_atr,0.026996604224172504,asset,0
26,rolling_return_48,0.024342374055752618,asset,0
27,close_location,0.01765771410743213,asset,0
28,lag_close_ret_1,0.0169762056161881,asset,0
29,ret_4,0.015832558147081722,asset,0
30,lag_close_ret_2,0.014389845566730801,asset,0
31,range_to_atr,0.011585148877786208,asset,0
32,supersmoother_slope_over_atr,0.011359750991553856,asset,0
33,lag_close_ret_4,0.011203158608463644,asset,0
34,rolling_return_24,0.011175880121757756,asset,0
35,ret_1,0.011172205903982095,asset,0
36,distance_from_ema24_atr,0.009520635706526096,asset,0
37,upper_wick_ratio,0.009306179798140902,asset,0
38,close_ret,0.008339363923467355,asset,0
39,lag_close_ret_24,0.008115510682027706,asset,0
40,lag_close_ret_16,0.007496003796348011,asset,0
41,decycler_slope_over_atr,0.007003676301868156,asset,0
42,lower_wick_ratio,0.006586207256385221,asset,0
43,lag_close_ret_48,0.006267550535268462,asset,0
44,lag_close_ret_8,0.006170768431627425,asset,0
45,dominant_cycle_phase_normalized,0.0030561302982037492,asset,0
46,ret_8,0.002889778110245875,asset,0
47,body_ratio,0.0027114910229313932,asset,0
1,bollinger_bandwidth,0.3256369063466409,asset,1
2,ema_trend_48_192,0.223558407465169,asset,1
3,atr_48,0.2037533287996548,asset,1
4,vol_rolling_192,0.1896009894952374,asset,1
5,vol_rolling_96,0.1521466968452586,asset,1
6,atr_over_price_48,0.15096278754107756,asset,1
7,bollinger_bandwidth_rank_192,0.13475853045827696,asset,1
8,vol_regime_ratio_48_384,0.11633296210819148,asset,1
9,ret_48,0.10614644697669362,asset,1
10,mama_minus_fama_over_atr,0.09742995311229789,asset,1
11,atr_pct_rank_192,0.09703082858879741,asset,1
12,close_over_bb_mid_192,0.09460110218703566,asset,1
13,vol_rolling_48,0.0939263740185785,asset,1
14,close_over_bb_upper_192,0.07903096638553633,asset,1
15,bollinger_percent_b,0.07283882956690263,asset,1
16,vol_rolling_24,0.06054685493820812,asset,1
17,frama_slope_over_atr,0.05653031799673413,asset,1
18,atr_pct,0.0461470425699665,asset,1
19,close_minus_decycler_over_atr,0.04093075790275764,asset,1
20,rolling_return_48,0.03957111238376493,asset,1
21,distance_from_ema96_atr,0.037731832236993404,asset,1
22,ret_24,0.03682680546237602,asset,1
23,ret_16,0.03585545245178245,asset,1
24,ema_alignment_score,0.03423437538860042,asset,1
25,roofing_filter_over_atr,0.0340029585485144,asset,1
26,rolling_return_24,0.024004273299522278,asset,1
27,ret_4,0.014135966882645871,asset,1
28,distance_from_ema24_atr,0.012229874780720034,asset,1
29,close_ret,0.011284673820620148,asset,1
30,instantaneous_trendline_slope_over_atr,0.010879079844083468,asset,1
31,lag_close_ret_2,0.010851969870508486,asset,1
32,close_location,0.010498176886120118,asset,1
33,lag_close_ret_1,0.009242271278975457,asset,1
34,decycler_slope_over_atr,0.009172284734547552,asset,1
35,lag_close_ret_24,0.008885352626520059,asset,1
36,lag_close_ret_8,0.00791255226701263,asset,1
37,range_to_atr,0.006536000239910934,asset,1
38,upper_wick_ratio,0.006219724704858303,asset,1
39,lag_close_ret_16,0.006100660624494023,asset,1
40,ret_8,0.0060049235305819825,asset,1
41,lag_close_ret_48,0.005779967746938977,asset,1
42,lag_close_ret_4,0.005438327301017132,asset,1
43,supersmoother_slope_over_atr,0.004434436454576428,asset,1
44,ret_1,0.003152254924135174,asset,1
45,lower_wick_ratio,0.0028324098065637122,asset,1
46,body_ratio,0.0025042020156790528,asset,1
47,dominant_cycle_phase_normalized,0.0019780807415637177,asset,1
1,vol_rolling_192,0.31622805487584416,asset,2
2,bollinger_bandwidth,0.2921449417702692,asset,2
3,ema_trend_48_192,0.22464378283734543,asset,2
4,vol_rolling_96,0.22078375286428215,asset,2
5,atr_over_price_48,0.16817045302205766,asset,2
6,vol_regime_ratio_48_384,0.1599544577757463,asset,2
7,atr_48,0.15954437635024737,asset,2
8,bollinger_bandwidth_rank_192,0.14819119350127466,asset,2
9,vol_rolling_24,0.11655935924258025,asset,2
10,ret_48,0.11018375191726916,asset,2
11,vol_rolling_48,0.10635349811948729,asset,2
12,close_over_bb_mid_192,0.09804673055178366,asset,2
13,bollinger_percent_b,0.0941902697330054,asset,2
14,close_over_bb_upper_192,0.09067675130554521,asset,2
15,mama_minus_fama_over_atr,0.0840770435399169,asset,2
16,atr_pct_rank_192,0.0728806190262915,asset,2
17,frama_slope_over_atr,0.06302358509358957,asset,2
18,atr_pct,0.05862806633043894,asset,2
19,ret_16,0.054735061810557255,asset,2
20,roofing_filter_over_atr,0.04803550559367132,asset,2
21,ret_24,0.040439357270207005,asset,2
22,rolling_return_48,0.039845091112265196,asset,2
23,close_minus_decycler_over_atr,0.033170099326684126,asset,2
24,ema_alignment_score,0.031459339509112304,asset,2
25,distance_from_ema96_atr,0.029041130208323183,asset,2
26,ret_4,0.02023339673487503,asset,2
27,distance_from_ema24_atr,0.012912103682960141,asset,2
28,rolling_return_24,0.011315795845138126,asset,2
29,close_location,0.0108864913458559,asset,2
30,lag_close_ret_2,0.00892423405409877,asset,2
31,range_to_atr,0.008540660691143237,asset,2
32,close_ret,0.008436554245164159,asset,2
33,lag_close_ret_8,0.007927418136751446,asset,2
34,lag_close_ret_24,0.007910363052979014,asset,2
35,lag_close_ret_1,0.007838827375060201,asset,2
36,decycler_slope_over_atr,0.007584815568799816,asset,2
37,supersmoother_slope_over_atr,0.0074950777229161126,asset,2
38,lag_close_ret_4,0.007265979924637706,asset,2
39,instantaneous_trendline_slope_over_atr,0.007222287588050764,asset,2
40,lag_close_ret_16,0.006925573558502112,asset,2
41,ret_8,0.006673531313337065,asset,2
42,lag_close_ret_48,0.005736790360955103,asset,2
43,ret_1,0.0050978250987967,asset,2
44,upper_wick_ratio,0.003078681118019376,asset,2
45,lower_wick_ratio,0.0023370342953667415,asset,2
46,dominant_cycle_phase_normalized,0.0019032266855287744,asset,2
47,body_ratio,0.0011551852440856462,asset,2
1,vol_rolling_96,0.310594922994423,asset,3
2,bollinger_bandwidth,0.2971402869843296,asset,3
3,atr_over_price_48,0.25494716006779755,asset,3
4,bollinger_bandwidth_rank_192,0.2271608115871863,asset,3
5,ema_trend_48_192,0.2157361109530288,asset,3
6,vol_rolling_192,0.1987429505003058,asset,3
7,vol_regime_ratio_48_384,0.17811822421324308,asset,3
8,atr_48,0.17075429533816852,asset,3
9,vol_rolling_48,0.15526227514554203,asset,3
10,vol_rolling_24,0.14585929243648754,asset,3
11,close_over_bb_mid_192,0.12399041990905094,asset,3
12,bollinger_percent_b,0.11441027737251237,asset,3
13,ret_48,0.1112316256718064,asset,3
14,atr_pct,0.09936905171998595,asset,3
15,mama_minus_fama_over_atr,0.09474796556453308,asset,3
16,atr_pct_rank_192,0.08305750762376299,asset,3
17,frama_slope_over_atr,0.06905636082997169,asset,3
18,ret_16,0.06851912432169549,asset,3
19,roofing_filter_over_atr,0.06201370864809107,asset,3
20,close_over_bb_upper_192,0.060482483773399924,asset,3
21,ema_alignment_score,0.049291185877714624,asset,3
22,ret_24,0.03575492768561378,asset,3
23,close_minus_decycler_over_atr,0.03348103326837871,asset,3
24,rolling_return_48,0.02980206575184203,asset,3
25,distance_from_ema96_atr,0.028523195732045172,asset,3
26,ret_4,0.01956776390420721,asset,3
27,rolling_return_24,0.01631816802232585,asset,3
28,distance_from_ema24_atr,0.01354402244077082,asset,3
29,decycler_slope_over_atr,0.012436812765450977,asset,3
30,close_location,0.012266069129785801,asset,3
31,instantaneous_trendline_slope_over_atr,0.009731854341041872,asset,3
32,close_ret,0.009699539584139692,asset,3
33,supersmoother_slope_over_atr,0.009521457953208018,asset,3
34,lag_close_ret_1,0.00839995756889502,asset,3
35,lag_close_ret_24,0.008024741689422892,asset,3
36,ret_8,0.007459298795407488,asset,3
37,lag_close_ret_4,0.006773801571536062,asset,3
38,lag_close_ret_2,0.006641474595034665,asset,3
39,upper_wick_ratio,0.006322135248104199,asset,3
40,lower_wick_ratio,0.005711770378898774,asset,3
41,range_to_atr,0.005393927923244913,asset,3
42,lag_close_ret_48,0.004719259343784295,asset,3
43,lag_close_ret_16,0.003530393962318944,asset,3
44,lag_close_ret_8,0.0033935458800724676,asset,3
45,body_ratio,0.0028359997547294084,asset,3
46,ret_1,0.0028204023880937317,asset,3
47,dominant_cycle_phase_normalized,0.0019273235987842408,asset,3
1,bollinger_bandwidth,0.3530759873366987,asset,4
2,atr_over_price_48,0.24838004949181358,asset,4
3,vol_rolling_96,0.23417793182963575,asset,4
4,vol_rolling_192,0.23297577549320092,asset,4
5,ema_trend_48_192,0.19958518951634388,asset,4
6,atr_48,0.16243845855905525,asset,4
7,bollinger_bandwidth_rank_192,0.15385159014315483,asset,4
8,vol_regime_ratio_48_384,0.15349472321607907,asset,4
9,vol_rolling_24,0.13558462221707865,asset,4
10,bollinger_percent_b,0.11122016536516284,asset,4
11,ret_48,0.11120877952551364,asset,4
12,vol_rolling_48,0.0944175046796881,asset,4
13,atr_pct_rank_192,0.08665492560147779,asset,4
14,mama_minus_fama_over_atr,0.08595007192542331,asset,4
15,close_over_bb_mid_192,0.07210731765269862,asset,4
16,roofing_filter_over_atr,0.06772386524532466,asset,4
17,atr_pct,0.0656662271599889,asset,4
18,frama_slope_over_atr,0.06297477264432774,asset,4
19,ret_24,0.04671755436799607,asset,4
20,ret_16,0.044026060967655704,asset,4
21,close_over_bb_upper_192,0.04400863022506382,asset,4
22,distance_from_ema96_atr,0.03590743502314437,asset,4
23,ema_alignment_score,0.03567449868970422,asset,4
24,rolling_return_48,0.03431790998585009,asset,4
25,close_minus_decycler_over_atr,0.027729123139807892,asset,4
26,distance_from_ema24_atr,0.014653286815422191,asset,4
27,supersmoother_slope_over_atr,0.012767874881783405,asset,4
28,ret_4,0.012511109760645407,asset,4
29,rolling_return_24,0.011990952178887127,asset,4
30,instantaneous_trendline_slope_over_atr,0.011212866269977678,asset,4
31,lower_wick_ratio,0.01093455334393756,asset,4
32,lag_close_ret_24,0.009502173554809801,asset,4
33,decycler_slope_over_atr,0.008416812481859347,asset,4
34,range_to_atr,0.006751557489165093,asset,4
35,ret_1,0.00636240912109314,asset,4
36,lag_close_ret_48,0.006145429896326926,asset,4
37,upper_wick_ratio,0.005871066906448999,asset,4
38,close_location,0.00570489479653248,asset,4
39,lag_close_ret_1,0.005508288293628355,asset,4
40,ret_8,0.005501055557453369,asset,4
